,날짜,시가,고가,저가,종가,거래량
0,2003-07-21,7500,7500,6380,6380,2100405
1,2003-07-22,6210,6570,6150,6400,1153562
2,2003-07-23,6400,6490,6180,6190,725706
3,2003-07-24,6050,6300,6010,6240,743783
4,2003-07-25,6100,7170,6100,7030,1568701
5,2003-07-28,7210,7240,6850,7050,805350
6,2003-07-29,6980,7170,6880,7150,420740
7,2003-07-30,7030,7320,7030,7170,586598
8,2003-07-31,7230,7230,7070,7090,254064
9,2003-08-01,7150,7220,7080,7080,427769
10,2003-08-04,6990,7130,6850,6950,294272
11,2003-08-05,6950,7020,6840,6840,344016
12,2003-08-06,6660,6700,6580,6620,352514
13,2003-08-07,6620,6650,6410,6530,369612
14,2003-08-08,6550,6620,6520,6560,309686
15,2003-08-11,6450,6630,6400,6610,242124
16,2003-08-12,6660,6670,6530,6590,148617
17,2003-08-13,6580,6730,6550,6660,223360
18,2003-08-14,6740,6930,6670,6780,297742
19,2003-08-18,6850,6980,6820,6850,371476
20,2003-08-19,6980,6980,6780,6790,350596
21,2003-08-20,6790,6820,6530,6600,420021
22,2003-08-21,6620,7140,6600,7050,1116868
23,2003-08-22,7000,7000,6810,6900,467886
24,2003-08-25,6980,7050,6860,6890,330728
25,2003-08-26,6810,6860,6610,6670,294348
26,2003-08-27,6730,7050,6700,6700,818753
27,2003-08-28,6810,6950,6720,6750,419999
28,2003-08-29,6840,6840,6640,6760,366062
29,2003-09-01,6710,6870,6710,6740,293947
30,2003-09-02,6770,6890,6750,6830,308664
31,2003-09-03,6990,6990,6800,6810,589126
32,2003-09-04,6810,7120,6810,7000,1152472
33,2003-09-05,7010,7010,6790,6790,327928
34,2003-09-08,6740,6740,6520,6530,535553
35,2003-09-09,6570,6630,6530,6560,412036
36,2003-09-15,6560,6630,6490,6540,281944
37,2003-09-16,6510,6640,6510,6620,171317
38,2003-09-17,6630,6700,6510,6520,256606
39,2003-09-18,6570,6610,6450,6450,182779
40,2003-09-19,6540,6600,6260,6300,316284
41,2003-09-22,6120,6250,5820,5860,503276
42,2003-09-23,5720,5780,5640,5710,574992
43,2003-09-24,5800,5890,5760,5850,597004
44,2003-09-25,5620,5760,5620,5690,223563
45,2003-09-26,5570,5730,5560,5560,282446
46,2003-09-29,5530,5610,5500,5530,191514
47,2003-09-30,5610,5660,5500,5500,290937
48,2003-10-01,5380,5480,5160,5280,397762
49,2003-10-02,5360,5370,5080,5100,905845
50,2003-10-06,5130,5200,5120,5170,392621
51,2003-10-07,5200,5210,5050,5070,304634
52,2003-10-08,5100,5130,5000,5000,300589
53,2003-10-09,5000,5060,4980,4990,335587
54,2003-10-10,5050,5440,5040,5400,796253
55,2003-10-13,5300,5570,5250,5500,455370
56,2003-10-14,5600,5670,5470,5530,335087
57,2003-10-15,5600,5620,5460,5520,201414
58,2003-10-16,5490,5550,5420,5500,285866
59,2003-10-17,5430,5530,5290,5300,438804
60,2003-10-20,5240,5360,5240,5300,212316
61,2003-10-21,5370,5430,5260,5280,283528
62,2003-10-22,5250,5280,5100,5110,233600
63,2003-10-23,5020,5070,4980,5000,433152
64,2003-10-24,4950,5150,4950,5060,461220
65,2003-10-27,5130,5280,5130,5260,456301
66,2003-10-28,5300,5390,5220,5260,465792
67,2003-10-29,5380,5380,5130,5130,786675
68,2003-10-30,5170,5210,5130,5210,429668
69,2003-10-31,5200,5230,5030,5130,255840
70,2003-11-03,5020,5170,5020,5130,290066
71,2003-11-04,5160,5360,5160,5300,643144
72,2003-11-05,5300,5500,5280,5470,553190
73,2003-11-06,5520,5680,5460,5510,644502
74,2003-11-07,5520,5770,5520,5740,604866
75,2003-11-10,5820,5830,5580,5650,324083
76,2003-11-11,5520,5590,5320,5400,468739
77,2003-11-12,5390,5440,5340,5400,281664
78,2003-11-13,5500,5530,5400,5480,355647
79,2003-11-14,5430,5730,5430,5610,490113
80,2003-11-17,5730,5890,5700,5800,1241957
81,2003-11-18,5750,5930,5750,5870,607337
82,2003-11-19,5730,5850,5700,5770,715017
