,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,1337,1644,1337,1585,1244220
1,2000-01-05,1569,1569,1495,1520,1051010
2,2000-01-06,1540,1554,1436,1436,1391080
3,2000-01-07,1475,1495,1445,1461,1188930
4,2000-01-10,1480,1634,1465,1629,2922830
5,2000-01-11,1673,1678,1540,1545,1632680
6,2000-01-12,1517,1535,1485,1493,1097910
7,2000-01-13,1475,1522,1468,1500,1305190
8,2000-01-14,1485,1535,1460,1471,1796780
9,2000-01-17,1470,1500,1438,1443,1372410
10,2000-01-18,1445,1468,1371,1387,1237890
11,2000-01-19,1386,1436,1337,1367,1873000
12,2000-01-20,1361,1411,1289,1312,1478860
13,2000-01-21,1312,1341,1247,1312,1420900
14,2000-01-24,1272,1450,1272,1419,2451930
15,2000-01-25,1418,1569,1386,1486,4782710
16,2000-01-26,1549,1549,1411,1471,2089080
17,2000-01-27,1485,1584,1463,1557,2986180
18,2000-01-28,1584,1599,1537,1550,2848950
19,2000-01-31,1505,1535,1485,1500,1404660
20,2000-02-01,1510,1545,1475,1483,1644170
21,2000-02-02,1480,1500,1458,1495,1799770
22,2000-02-03,1500,1535,1485,1498,1594510
23,2000-02-07,1391,1497,1391,1463,1655840
24,2000-02-08,1445,1460,1413,1419,1324890
25,2000-02-09,1401,1416,1366,1382,1408380
26,2000-02-10,1381,1386,1319,1337,1648400
27,2000-02-11,1317,1337,1292,1300,1515350
28,2000-02-14,1267,1322,1240,1255,1716280
29,2000-02-15,1237,1282,1237,1248,1240410
30,2000-02-16,1247,1297,1218,1238,1115620
31,2000-02-17,1237,1287,1188,1228,1356750
32,2000-02-18,1208,1213,1141,1154,1832390
33,2000-02-21,1089,1129,1017,1030,1671820
34,2000-02-22,1030,1094,1030,1075,2510010
35,2000-02-23,1136,1235,1124,1236,3047370
36,2000-02-24,1262,1351,1188,1238,4159280
37,2000-02-25,1287,1312,1247,1278,2050090
38,2000-02-28,1237,1337,1213,1278,2218360
39,2000-02-29,1337,1416,1289,1317,2152230
40,2000-03-02,1322,1361,1237,1288,2195910
41,2000-03-03,1312,1322,1237,1245,1478320
42,2000-03-06,1250,1391,1237,1347,3005400
43,2000-03-07,1386,1408,1337,1339,1941960
44,2000-03-08,1344,1361,1292,1312,1219240
45,2000-03-09,1386,1386,1337,1337,2292140
46,2000-03-10,1361,1361,1292,1312,1304980
47,2000-03-13,1322,1366,1317,1337,1839890
48,2000-03-14,1351,1376,1287,1297,1308300
49,2000-03-15,1302,1319,1237,1263,1204790
50,2000-03-16,1267,1302,1228,1228,1049540
51,2000-03-17,1252,1287,1237,1243,1129800
52,2000-03-20,1257,1272,1233,1263,1007860
53,2000-03-21,1267,1277,1213,1216,889870
54,2000-03-22,1228,1242,1220,1223,934320
55,2000-03-23,1228,1230,1183,1198,1396090
56,2000-03-24,1203,1218,1173,1196,1508880
57,2000-03-27,1200,1210,1178,1191,907470
58,2000-03-28,1195,1195,1171,1179,932750
59,2000-03-29,1183,1205,1161,1164,1165840
60,2000-03-30,1188,1213,1168,1171,1094140
61,2000-03-31,1166,1171,1138,1149,765190
62,2000-04-03,1163,1188,1138,1139,898350
63,2000-04-04,1143,1173,1133,1156,1345140
64,2000-04-06,1181,1329,1171,1330,3413750
65,2000-04-07,1337,1371,1265,1283,5162280
66,2000-04-10,1309,1361,1297,1302,2616350
67,2000-04-11,1307,1312,1200,1201,1360190
68,2000-04-12,1205,1228,1178,1186,1062620
69,2000-04-14,1143,1260,1138,1166,1307650
70,2000-04-17,1039,1138,1030,1099,1467510
71,2000-04-18,1233,1233,1114,1134,1091890
72,2000-04-19,1138,1173,1119,1134,1099660
73,2000-04-20,1114,1138,1099,1109,646500
74,2000-04-21,1114,1166,1114,1154,1439450
75,2000-04-24,1237,1247,1148,1156,1835770
76,2000-04-25,1138,1203,1126,1159,1737710
77,2000-04-26,1163,1198,1109,1119,1327440
78,2000-04-27,1138,1148,1089,1092,1278260
79,2000-04-28,1089,1131,1089,1114,1184930
80,2000-05-02,1119,1148,1099,1119,941220
81,2000-05-03,1116,1121,1101,1109,585100
82,2000-05-04,1099,1116,1094,1104,828680
83,2000-05-08,1099,1114,1091,1107,971750
84,2000-05-09,1106,1111,1099,1099,692550
85,2000-05-10,1104,1133,1099,1129,1126320
86,2000-05-12,1129,1138,1091,1097,1008360
87,2000-05-15,1089,1096,1020,1045,900890
88,2000-05-16,1067,1086,1044,1080,967770
89,2000-05-17,1094,1114,1017,1018,860700
90,2000-05-18,1017,1039,995,1028,1217760
91,2000-05-19,1039,1054,1020,1023,967240
92,2000-05-22,995,1020,973,995,994460
93,2000-05-23,990,1049,982,1025,1251040
94,2000-05-24,1025,1124,995,1065,2052800
95,2000-05-25,1069,1163,1049,1097,2985570
96,2000-05-26,1096,1096,975,1005,1600520
97,2000-05-29,990,1054,973,1025,1239840
98,2000-05-30,1049,1072,1034,1060,1145590
99,2000-05-31,1089,1126,1067,1087,2879190
100,2000-06-01,1079,1104,1047,1080,1394740
101,2000-06-02,1094,1163,1084,1136,3255000
102,2000-06-05,1163,1257,1156,1231,4657160
103,2000-06-07,1168,1280,1163,1233,6494530
104,2000-06-08,1237,1257,1129,1216,2814030
105,2000-06-09,1198,1386,1168,1283,8649090
106,2000-06-12,1282,1379,1228,1312,4496370
107,2000-06-13,1272,1302,1163,1171,2352740
108,2000-06-14,1173,1218,1143,1164,1534120
109,2000-06-15,1158,1208,1153,1208,2774790
110,2000-06-16,1195,1228,1178,1213,7054750
111,2000-06-19,1223,1233,1193,1196,1429950
112,2000-06-20,1213,1237,1166,1238,1794500
113,2000-06-21,1252,1351,1198,1198,9300850
114,2000-06-22,1198,1247,1148,1156,4264000
115,2000-06-23,1156,1178,1116,1159,1912790
116,2000-06-26,1116,1158,1116,1134,1712910
117,2000-06-27,1129,1163,1129,1164,2090040
118,2000-06-28,1158,1163,1138,1139,1765790
119,2000-06-29,1143,1151,1114,1119,1231290
120,2000-06-30,1109,1133,1104,1119,1098430
121,2000-07-03,1129,1173,1124,1174,2127850
122,2000-07-04,1188,1188,1138,1139,1390490
123,2000-07-05,1143,1158,1116,1132,849630
124,2000-07-06,1124,1210,1114,1174,4434920
125,2000-07-07,1193,1344,1183,1322,8445660
126,2000-07-10,1371,1475,1327,1362,9270030
127,2000-07-11,1431,1460,1351,1357,5133860
128,2000-07-12,1411,1426,1297,1317,3124290
129,2000-07-13,1272,1334,1262,1297,2232510
130,2000-07-14,1282,1302,1237,1240,1939520
131,2000-07-18,1213,1237,1173,1203,1521760
132,2000-07-19,1178,1242,1163,1201,2263640
133,2000-07-20,1178,1245,1178,1213,2222050
134,2000-07-21,1247,1324,1223,1285,4561170
135,2000-07-24,1287,1287,1213,1213,2018190
136,2000-07-25,1235,1247,1203,1218,1209630
137,2000-07-26,1228,1267,1228,1248,1671230
138,2000-07-27,1282,1312,1257,1288,2830810
139,2000-07-28,1317,1332,1240,1280,3296650
140,2000-07-31,1287,1329,1267,1295,1698000
141,2000-08-01,1307,1346,1297,1339,3074680
142,2000-08-02,1346,1364,1297,1307,2479950
143,2000-08-03,1334,1346,1292,1312,1942670
144,2000-08-04,1312,1312,1252,1260,1292000
145,2000-08-07,1237,1304,1218,1223,2657570
146,2000-08-08,1237,1245,1208,1216,1349790
147,2000-08-09,1233,1275,1230,1268,1830020
148,2000-08-10,1275,1302,1240,1302,1372360
149,2000-08-11,1277,1319,1272,1310,1309890
150,2000-08-14,1386,1406,1332,1377,2162260
151,2000-08-16,1386,1574,1381,1486,9374190
152,2000-08-17,1460,1520,1396,1456,4187900
153,2000-08-18,1485,1574,1465,1476,5682350
154,2000-08-21,1431,1453,1364,1369,2300570
155,2000-08-22,1411,1431,1396,1426,1794170
156,2000-08-23,1436,1505,1421,1476,2762220
157,2000-08-24,1485,1552,1421,1493,4378100
158,2000-08-25,1495,1522,1460,1476,1405780
159,2000-08-28,1465,1495,1445,1461,1329890
160,2000-08-29,1460,1475,1421,1436,1744260
161,2000-08-30,1450,1455,1396,1396,2170760
162,2000-08-31,1436,1436,1319,1347,1886550
163,2000-09-01,1346,1379,1319,1362,1230230
164,2000-09-04,1361,1403,1332,1387,1383030
165,2000-09-05,1366,1401,1356,1396,862010
166,2000-09-06,1386,1406,1371,1372,1010350
167,2000-09-07,1337,1341,1282,1283,1309640
168,2000-09-08,1262,1282,1228,1260,1570240
169,2000-09-14,1218,1233,1163,1218,1697640
170,2000-09-15,1193,1237,1163,1164,1452880
171,2000-09-18,1089,1129,990,1065,2972450
172,2000-09-19,1039,1133,1027,1082,2238490
173,2000-09-20,1089,1129,1089,1114,1681040
174,2000-09-21,1114,1114,1064,1089,1052330
175,2000-09-22,1104,1104,1037,1045,1200020
176,2000-09-25,1086,1109,1064,1109,717180
177,2000-09-26,1099,1131,1086,1089,1133100
178,2000-09-27,1094,1131,1094,1114,1033360
179,2000-09-28,1114,1121,1089,1104,893530
180,2000-09-29,1114,1114,1089,1104,893470
181,2000-10-02,1089,1104,1079,1099,725410
182,2000-10-04,1099,1114,1081,1109,819490
183,2000-10-05,1114,1146,1114,1114,1028670
184,2000-10-06,1114,1188,1104,1174,2354080
185,2000-10-09,1178,1178,1124,1139,983510
186,2000-10-10,1161,1161,1124,1129,654280
187,2000-10-11,1114,1129,1089,1107,938930
188,2000-10-12,1091,1138,1091,1117,1357560
189,2000-10-13,1081,1101,1034,1080,1350040
190,2000-10-16,1138,1158,1106,1112,1264980
191,2000-10-17,1094,1114,1054,1065,738530
192,2000-10-18,1039,1089,1020,1075,1050750
193,2000-10-19,1059,1089,1057,1089,1429690
194,2000-10-20,1114,1124,1099,1114,757390
195,2000-10-23,1119,1119,1089,1089,415060
196,2000-10-24,1072,1111,1069,1102,423770
197,2000-10-25,1104,1104,1079,1080,351690
198,2000-10-26,1059,1074,1049,1060,320380
199,2000-10-27,1064,1089,1059,1060,521720
200,2000-10-30,1049,1086,1049,1060,447180
201,2000-10-31,1049,1064,1030,1065,537000
202,2000-11-01,1074,1114,1067,1099,902280
203,2000-11-02,1089,1119,1089,1104,559240
204,2000-11-03,1114,1129,1094,1107,644450
205,2000-11-06,1101,1126,1089,1089,820120
