,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,35600,38500,34550,36000,2341020
1,2000-01-05,34500,35700,33500,34000,1681950
2,2000-01-06,36900,36900,34500,35000,2995650
3,2000-01-07,34500,38600,34200,36800,2708690
4,2000-01-10,37500,38000,36100,36600,1547710
5,2000-01-11,37500,37600,36300,36300,1267880
6,2000-01-12,36000,37000,35800,36500,1396090
7,2000-01-13,36000,37000,35700,36000,1743570
8,2000-01-14,36000,36700,35000,35650,1375690
9,2000-01-17,35100,36300,35100,36100,1217780
10,2000-01-18,37100,38600,36300,36300,2569930
11,2000-01-19,36300,36300,34200,35000,2117640
12,2000-01-20,34500,36000,34500,36000,1256420
13,2000-01-21,35200,35800,34000,34700,1271190
14,2000-01-24,34400,35700,34200,35100,1027230
15,2000-01-25,34200,34500,33450,33450,1145380
16,2000-01-26,33700,34000,33100,34000,783680
17,2000-01-27,33500,34500,33000,33850,804740
18,2000-01-28,34300,34850,33800,34850,955320
19,2000-01-31,33500,34900,33500,34700,1230380
20,2000-02-01,34250,35200,33800,34000,1274280
21,2000-02-02,34150,35100,34100,35100,1027770
22,2000-02-03,35500,36000,34600,35800,1068200
23,2000-02-07,34500,35500,34500,35000,2192600
24,2000-02-08,34500,35300,34500,34700,1433250
25,2000-02-09,34300,34300,33000,33100,3708310
26,2000-02-10,32600,32800,30650,31300,5010890
27,2000-02-11,31300,31300,28750,28900,6473780
28,2000-02-14,28500,29450,26500,27000,4719830
29,2000-02-15,27150,27700,26500,27150,6444580
30,2000-02-16,27800,28500,27200,28500,4123700
31,2000-02-17,28500,31000,28400,30700,4609880
32,2000-02-18,30700,30700,28100,28100,2959120
33,2000-02-21,27500,28650,27100,27950,1906950
34,2000-02-22,27100,28600,27000,27000,2054810
35,2000-02-23,27500,28300,27000,27400,2539350
36,2000-02-24,27900,28850,27600,28450,2935410
37,2000-02-25,27950,28200,27600,27600,1234720
38,2000-02-28,27900,28850,27600,28000,2472440
39,2000-02-29,28000,28400,27500,28300,2046240
40,2000-03-02,28300,29500,27600,29000,3649010
41,2000-03-03,29000,29300,27600,27700,2223290
