,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,39061,40424,38062,39516,438060
1,2000-01-05,38243,39333,37698,39335,465710
2,2000-01-06,39742,40605,37244,37245,561870
3,2000-01-07,34746,36245,34746,36245,672350
4,2000-01-10,36336,36971,35563,36337,752920
5,2000-01-11,35700,36517,35428,35610,625150
6,2000-01-12,34973,35336,33474,33657,619220
7,2000-01-13,33702,34155,32611,33157,542950
8,2000-01-14,33156,34064,32702,32703,652350
9,2000-01-17,32702,33293,31975,32430,722330
10,2000-01-18,32430,34155,31022,34156,1025880
11,2000-01-19,32702,33156,31794,32612,865970
12,2000-01-20,31521,32247,30658,31704,597680
13,2000-01-21,31112,32521,30521,31749,651540
14,2000-01-24,31340,31748,30885,31749,764590
15,2000-01-25,30931,31430,30885,30887,354830
16,2000-01-26,30931,31249,30431,30887,439490
17,2000-01-27,31794,32475,31340,32340,633770
18,2000-01-28,32702,33111,32247,32885,580120
19,2000-01-31,32430,33519,31885,33066,635850
20,2000-02-01,33066,33519,32338,33157,477310
21,2000-02-02,34064,36063,33247,35019,1037670
22,2000-02-03,35018,35881,34110,35883,646380
23,2000-02-07,36336,36971,35563,35883,586320
24,2000-02-08,34792,35609,34519,34974,459620
25,2000-02-09,34247,34973,32656,32658,519890
26,2000-02-10,31930,32247,30885,30887,604070
27,2000-02-11,31748,31748,30431,30523,595580
28,2000-02-14,29977,30794,29250,30341,512840
29,2000-02-15,29068,30249,29068,29069,324170
30,2000-02-16,28614,29704,27388,29069,409620
31,2000-02-17,27978,29523,27978,28525,350330
32,2000-02-18,28069,28978,27342,28706,609210
33,2000-02-21,27706,28523,27342,28525,461610
34,2000-02-22,27615,29068,27433,28570,485920
35,2000-02-23,29477,31340,28705,29932,652020
36,2000-02-24,29886,29886,27978,28115,369100
37,2000-02-25,27706,28614,27524,27525,378090
38,2000-02-28,27252,28159,26843,27889,902760
39,2000-02-29,28069,28750,27524,28615,331920
40,2000-03-02,28705,29886,28251,29750,576600
41,2000-03-03,29068,29250,28523,29069,346580
42,2000-03-06,28660,29886,28387,29887,537140
43,2000-03-07,29886,30159,29205,30159,373390
44,2000-03-08,29068,31748,29068,31340,651610
45,2000-03-09,31249,32066,30839,30841,485950
46,2000-03-10,31476,32247,30704,32249,527010
47,2000-03-13,31794,32066,31249,31658,376360
48,2000-03-14,31430,32883,31340,32885,447200
49,2000-03-15,32293,33111,32066,32975,309110
50,2000-03-16,32975,33247,32748,33021,307100
51,2000-03-17,33201,34519,31839,34293,727680
52,2000-03-20,33883,34337,33428,33975,389910
53,2000-03-21,33428,33792,33201,33611,358730
54,2000-03-22,33338,33611,32748,33611,820230
55,2000-03-23,32748,33519,32702,33248,1190430
56,2000-03-24,32430,32656,31157,31613,330090
57,2000-03-27,30704,30794,29340,29932,514720
58,2000-03-28,29750,29750,28796,28843,361220
59,2000-03-29,28614,29931,28342,29614,397560
60,2000-03-30,29613,29704,28887,28887,195550
61,2000-03-31,28614,29795,28523,29342,204670
62,2000-04-03,29068,29523,28705,29296,195550
63,2000-04-04,28932,31839,28705,31840,331990
64,2000-04-06,30885,31294,29976,31295,376550
65,2000-04-07,30794,33156,30794,33157,950120
66,2000-04-10,33156,33565,32247,33157,817310
67,2000-04-11,32702,32702,31294,31658,595400
68,2000-04-12,30249,31203,28614,28615,649580
69,2000-04-14,28887,29704,28705,29069,362840
70,2000-04-17,25435,27252,24708,24709,407210
71,2000-04-18,26434,26525,24980,25345,457000
72,2000-04-19,25525,26161,24617,24618,434200
73,2000-04-20,24708,25435,24435,24799,230750
74,2000-04-21,24799,25843,24799,25618,319840
75,2000-04-24,25616,25616,24617,24618,168440
76,2000-04-25,24072,24344,23300,23346,274330
77,2000-04-26,23391,23982,19848,21757,1017700
78,2000-04-27,20484,21165,19121,19985,412150
79,2000-04-28,20256,21347,20256,20712,411670
80,2000-05-02,19848,20711,19803,20530,310840
81,2000-05-03,20529,21210,20075,21030,200650
82,2000-05-04,21029,21620,20892,21121,180330
83,2000-05-08,21347,21393,20757,20894,180690
84,2000-05-09,20892,20892,20121,20258,119760
85,2000-05-10,20892,23254,20347,22620,587700
86,2000-05-12,22618,22709,21665,22710,304350
87,2000-05-15,21892,22073,20892,20894,115830
88,2000-05-16,20892,20892,20212,20530,103190
89,2000-05-17,20529,20620,18485,18532,182260
90,2000-05-18,17894,18940,17622,17987,178260
91,2000-05-19,17894,18758,17804,18532,128540
92,2000-05-22,18530,18758,17804,18532,143340
93,2000-05-23,17986,19031,17986,18668,151080
94,2000-05-24,18622,18667,17986,18168,208810
95,2000-05-25,18622,20620,18349,20167,9469610
96,2000-05-26,19166,19485,17214,17214,406360
97,2000-05-29,14715,16805,14669,15806,600460
98,2000-05-30,16714,17667,16168,16715,599240
99,2000-05-31,17441,19212,16714,19168,1101160
100,2000-06-01,18713,19938,17804,18804,731070
101,2000-06-02,19166,20439,19166,19803,561140
102,2000-06-05,20347,21620,19894,20803,418740
103,2000-06-07,20439,20892,20075,20212,458470
104,2000-06-08,20212,20439,18894,18895,572600
105,2000-06-09,18622,20347,18622,19894,530980
106,2000-06-12,20439,22437,19984,21166,952450
107,2000-06-13,21801,22256,20574,20803,951610
108,2000-06-14,21119,21574,20075,20258,325740
109,2000-06-15,20256,20256,18530,18532,297020
110,2000-06-16,18168,19075,18168,18305,249460
111,2000-06-19,17986,18667,17894,18123,171010
112,2000-06-20,18168,18667,18168,18441,133610
113,2000-06-21,18440,18803,18212,18441,202100
114,2000-06-22,18622,19439,18440,18895,289990
115,2000-06-23,18894,19348,18622,19077,142580
116,2000-06-26,19258,19621,19166,19168,138400
117,2000-06-27,19530,20439,19439,20394,337350
118,2000-06-28,20711,20802,19621,19622,229910
119,2000-06-29,19439,19530,18713,19077,254780
120,2000-06-30,18713,19258,18713,19077,125110
121,2000-07-03,19075,19393,18985,19258,177120
