,날짜,시가,고가,저가,종가,거래량
0,2012-10-19,22500,25850,21500,24500,3696906
1,2012-10-22,24000,28150,23300,28150,2488615
2,2012-10-23,29750,31650,26250,26600,3593525
3,2012-10-24,26550,29450,25450,27250,2480632
4,2012-10-25,27500,28150,24900,25800,1050155
5,2012-10-26,25150,26500,24500,26250,922611
6,2012-10-29,26000,27000,25800,26050,418469
7,2012-10-30,26400,29900,26300,29500,1669989
8,2012-10-31,29950,30400,28800,29000,740738
9,2012-11-01,28950,32600,28600,31000,1746104
10,2012-11-02,31250,32850,30600,31100,988778
11,2012-11-05,30800,31500,30300,30800,491158
12,2012-11-06,30800,30800,29200,29850,539051
13,2012-11-07,30350,34300,30200,32850,2214492
14,2012-11-08,32900,34500,32850,33000,1298660
15,2012-11-09,32850,32900,31200,32500,491701
16,2012-11-12,32550,33900,32500,33500,529297
17,2012-11-13,33500,34400,31850,32400,725826
18,2012-11-14,32500,32850,31600,32250,365669
19,2012-11-15,31800,32000,27450,29950,1498429
20,2012-11-16,29200,30900,27200,28350,609923
21,2012-11-19,28800,29750,28250,28700,392146
22,2012-11-20,29000,29050,27350,28600,409983
23,2012-11-21,29100,30200,28500,29800,902868
24,2012-11-22,30350,30350,29050,29500,452952
25,2012-11-23,29900,29900,28550,29400,268316
26,2012-11-26,29400,29400,28050,28250,234567
27,2012-11-27,28000,28250,26650,27100,406844
28,2012-11-28,27000,27900,26900,27300,234720
29,2012-11-29,27700,31300,27400,30350,1250358
30,2012-11-30,30200,30650,29450,30550,363365
31,2012-12-03,30450,30750,29550,30400,280495
32,2012-12-04,31100,32150,30550,30850,742450
33,2012-12-05,31050,32000,30000,31000,565928
34,2012-12-06,30900,31450,26900,28250,958953
35,2012-12-07,27750,28950,27250,28350,454626
36,2012-12-10,28250,28800,27650,28700,227817
37,2012-12-11,28700,29000,27000,27150,275754
38,2012-12-12,26600,28550,26250,27700,740734
39,2012-12-13,27600,27900,27150,27650,278572
40,2012-12-14,27750,28300,27550,28100,257019
41,2012-12-17,27850,28200,27300,27350,160212
42,2012-12-18,27350,27500,26500,27100,174741
43,2012-12-20,27100,27250,25350,25550,288777
44,2012-12-21,25200,26400,24700,26300,336931
45,2012-12-24,26300,27800,25800,27150,306582
46,2012-12-26,27300,27550,26850,27250,150872
47,2012-12-27,26950,27900,26950,27700,116600
48,2012-12-28,27700,28500,27350,28450,168516
49,2013-01-02,28900,28900,27700,28000,181940
50,2013-01-03,27850,28000,27000,27350,291619
51,2013-01-04,27150,27800,27100,27100,133496
52,2013-01-07,27250,28350,26950,28350,200585
53,2013-01-08,28400,28800,28050,28200,185391
54,2013-01-09,28550,28950,28250,28950,229828
55,2013-01-10,29150,30450,29050,30200,517627
56,2013-01-11,30350,31400,29900,31150,471480
57,2013-01-14,31350,31800,30850,31550,332104
58,2013-01-15,31300,31450,30350,31050,324746
59,2013-01-16,31350,31400,30750,31000,192871
60,2013-01-17,30800,30950,29250,29400,366216
61,2013-01-18,29700,30400,29400,30250,157098
62,2013-01-21,30600,31000,29900,31000,178023
63,2013-01-22,31000,31250,30350,30500,120041
64,2013-01-23,30700,30700,29300,29300,216819
65,2013-01-24,29300,29600,28550,29200,145116
66,2013-01-25,29500,30250,29400,29850,133044
67,2013-01-28,29650,29850,28600,28750,159064
68,2013-01-29,28450,30100,28450,29200,334492
69,2013-01-30,29100,29200,28650,28700,108503
70,2013-01-31,28750,29250,28600,29250,79042
71,2013-02-01,28500,29900,28500,29600,175149
72,2013-02-04,29750,30400,29500,30050,191127
73,2013-02-05,30050,30200,29550,30000,129333
74,2013-02-06,29950,30300,29350,29350,170761
75,2013-02-07,29250,29450,27900,28050,292932
76,2013-02-08,27900,28250,27800,28250,125222
77,2013-02-12,28100,28500,27900,27900,77059
78,2013-02-13,27850,28300,27850,27950,95331
79,2013-02-14,27850,28100,27200,27350,266448
80,2013-02-15,27400,28000,27400,27600,160286
81,2013-02-18,27850,28100,27750,27950,93093
82,2013-02-19,28000,29350,28000,29300,290016
83,2013-02-20,29650,29750,28900,29400,200691
84,2013-02-21,29200,29400,28900,29050,114708
85,2013-02-22,29150,29500,29000,29000,78614
86,2013-02-25,29450,30250,29350,30000,400146
87,2013-02-26,29900,30650,29650,30550,286681
88,2013-02-27,30700,31150,30400,31050,279987
89,2013-02-28,31200,31250,30400,30850,190401
90,2013-03-04,30800,31250,30100,30100,197019
91,2013-03-05,30100,31800,30100,31800,347785
92,2013-03-06,31950,32500,31450,31800,299269
93,2013-03-07,32000,32500,31600,32250,214617
94,2013-03-08,32300,32600,31600,32350,181462
95,2013-03-11,32600,33450,31750,33000,333232
96,2013-03-12,33050,33550,32800,32850,203733
97,2013-03-13,32800,34650,32750,34550,376318
98,2013-03-14,34600,35150,34000,34800,219160
99,2013-03-15,35200,35300,34400,35300,148708
100,2013-03-18,34850,35350,33450,33500,252827
101,2013-03-19,34150,35100,33700,35000,184219
102,2013-03-20,34850,35200,33450,33950,247200
103,2013-03-21,33950,34000,32600,32650,277962
104,2013-03-22,32750,34000,32600,33750,184099
105,2013-03-25,33950,33950,33100,33500,108322
106,2013-03-26,33500,34000,32650,32950,161632
107,2013-03-27,33100,33700,32750,32850,224280
108,2013-03-28,32850,33500,32500,33000,199918
109,2013-03-29,33000,34050,32900,33550,155833
110,2013-04-01,33700,33950,32600,32750,129725
111,2013-04-02,32750,33100,32000,32150,222202
112,2013-04-03,32400,32950,32100,32900,136872
113,2013-04-04,32850,34000,31600,33900,226283
114,2013-04-05,33900,34450,32150,32350,256626
115,2013-04-08,32350,32600,29900,29900,339250
116,2013-04-09,29400,31750,29400,31300,221178
117,2013-04-10,31450,32950,31450,32800,167252
118,2013-04-11,32950,33300,32050,32650,148492
119,2013-04-12,33200,33200,32100,32600,163894
120,2013-04-15,32600,32950,31550,32300,205591
121,2013-04-16,31650,31850,31250,31550,179508
122,2013-04-17,32000,32800,31250,32750,187606
123,2013-04-18,32300,32800,31600,31750,184188
124,2013-04-19,31200,31750,30200,30650,277656
125,2013-04-22,30450,32350,30400,32350,165077
126,2013-04-23,32500,32500,31800,31850,91400
127,2013-04-24,32250,32750,32100,32700,175410
128,2013-04-25,32400,32750,31950,32600,136864
129,2013-04-26,32950,32950,32100,32600,102976
130,2013-04-29,32600,33000,32300,32800,87655
131,2013-04-30,32900,32950,32250,32750,159928
132,2013-05-02,32600,32700,30600,30950,301857
133,2013-05-03,31200,31450,30500,30700,212652
134,2013-05-06,31000,31150,30600,30750,132914
135,2013-05-07,30500,31200,30500,31000,79391
136,2013-05-08,31050,31300,30500,31300,142238
137,2013-05-09,31050,31300,30350,30650,174867
138,2013-05-10,30650,30650,28750,28850,373861
139,2013-05-13,29000,29800,28900,29600,105101
