,날짜,시가,고가,저가,종가,거래량
0,2012-10-04,52000,52300,47300,48600,4496906
1,2012-10-05,49300,49900,47700,47800,2391611
2,2012-10-08,48250,49900,48050,49750,1557787
3,2012-10-09,49200,50500,49000,49950,822201
4,2012-10-10,49700,50700,49200,49750,965577
5,2012-10-11,49550,50500,49250,50400,516997
6,2012-10-12,49750,50400,49450,49600,741488
7,2012-10-15,49600,49700,47750,47950,875296
8,2012-10-16,48700,48700,46850,47900,493754
9,2012-10-17,47700,48200,46350,46800,842483
10,2012-10-18,47200,48300,47000,48300,588785
11,2012-10-19,48200,48700,47750,48500,438330
12,2012-10-22,47550,48350,47400,48050,299361
13,2012-10-23,47700,48100,47200,47600,385508
14,2012-10-24,47150,47200,44800,46600,962945
15,2012-10-25,46000,48350,45400,48300,604083
16,2012-10-26,47750,48100,46200,46700,405308
17,2012-10-29,46350,46800,43500,43900,662143
18,2012-10-30,43200,45700,43200,45000,575886
19,2012-10-31,45400,46400,45100,46000,286488
20,2012-11-01,46000,46800,43800,44150,596621
21,2012-11-02,45000,46450,44700,44950,646045
22,2012-11-05,44000,44300,42200,43350,866801
23,2012-11-06,43500,45450,42800,45100,464032
24,2012-11-07,45200,45400,44000,44350,290460
25,2012-11-08,43550,44850,43550,44850,307943
26,2012-11-09,44000,44200,42900,43400,655681
27,2012-11-12,43000,43200,42200,42350,437225
28,2012-11-13,42100,42750,40850,41150,639244
29,2012-11-14,41050,41450,39700,40100,898552
30,2012-11-15,39450,41950,39300,41950,560772
31,2012-11-16,41350,42900,41350,42700,439196
32,2012-11-19,42450,42800,41350,41600,415477
33,2012-11-20,42200,42750,41800,42000,311443
34,2012-11-21,41700,42600,40900,41450,313301
35,2012-11-22,41250,41600,41100,41100,397372
36,2012-11-23,41100,43400,41050,43400,430677
37,2012-11-26,43550,44350,42550,43650,294541
38,2012-11-27,44150,44650,43100,44650,309203
39,2012-11-28,44000,44650,43150,44550,351639
40,2012-11-29,44900,46400,44600,46400,638253
41,2012-11-30,46500,46500,44500,45850,559996
42,2012-12-03,45350,46000,44850,45700,225477
43,2012-12-04,45600,46100,45000,45600,306856
44,2012-12-05,45800,48000,45600,48000,742394
45,2012-12-06,48150,48400,46800,47000,556107
46,2012-12-07,47350,47850,46550,46950,278685
47,2012-12-10,46750,47450,46000,46450,362931
48,2012-12-11,46650,48200,46500,48000,556367
49,2012-12-12,48000,48150,46950,47950,442730
50,2012-12-13,47300,47450,46250,47100,491518
51,2012-12-14,46450,47100,46150,47050,143363
52,2012-12-17,46650,47350,45200,45200,367942
53,2012-12-18,45650,46700,45000,46700,323506
54,2012-12-20,47250,47350,46600,47300,312186
55,2012-12-21,47500,47500,45450,45500,371671
56,2012-12-24,45550,47050,45500,46950,235926
57,2012-12-26,46950,47350,46150,46500,276754
58,2012-12-27,46500,47150,45900,47100,299033
59,2012-12-28,47100,47450,46100,47000,425170
60,2013-01-02,48000,48050,46750,47300,263257
61,2013-01-03,47100,47300,43600,44400,890058
62,2013-01-04,43800,45100,43600,44500,662401
63,2013-01-07,44900,45900,44700,45700,474859
64,2013-01-08,45200,46650,44900,46650,363552
65,2013-01-09,46650,46650,45400,46050,355879
66,2013-01-10,45750,46950,45750,46600,318313
67,2013-01-11,47000,47000,46100,46550,352343
68,2013-01-14,46900,46900,44600,44750,524001
69,2013-01-15,45350,45950,44500,45950,320013
70,2013-01-16,45800,46450,45400,46450,237156
71,2013-01-17,46050,46450,46050,46200,131639
72,2013-01-18,46500,46600,46250,46550,418845
73,2013-01-21,46500,46550,45650,46050,189681
74,2013-01-22,46000,46400,45200,46200,299170
75,2013-01-23,46100,46350,45550,45650,224634
76,2013-01-24,45500,46100,45450,45900,274605
77,2013-01-25,46000,46000,44000,45600,423628
78,2013-01-28,45550,45850,44450,44750,199916
79,2013-01-29,45050,45400,44700,45250,431014
80,2013-01-30,45250,45400,44250,44600,300651
81,2013-01-31,44450,44800,44100,44700,392243
82,2013-02-01,44750,45500,44150,44600,559721
83,2013-02-04,44800,44950,42900,43550,941171
84,2013-02-05,43350,43900,43000,43900,445099
85,2013-02-06,43900,44000,43250,43250,290547
86,2013-02-07,43100,43800,42950,43200,278637
87,2013-02-08,43450,44250,43350,44150,487038
88,2013-02-12,43800,44700,43800,44450,285995
89,2013-02-13,44900,44900,43900,44500,404791
90,2013-02-14,44500,44600,44250,44500,316287
91,2013-02-15,44200,44450,43900,44350,381357
92,2013-02-18,44350,44450,44100,44400,380827
93,2013-02-19,44500,44900,44400,44850,393305
94,2013-02-20,44950,46800,44850,46550,989284
95,2013-02-21,46300,47850,46000,46800,633855
96,2013-02-22,46800,47950,46300,47850,578685
97,2013-02-25,47450,47850,46650,46700,202285
98,2013-02-26,46700,48000,46300,47650,392229
99,2013-02-27,47700,48850,47600,48550,450510
100,2013-02-28,48700,49350,48100,49300,376513
101,2013-03-04,49500,49500,48800,49400,369237
102,2013-03-05,49050,49500,47950,48500,481218
103,2013-03-06,47600,48500,46950,47700,517644
104,2013-03-07,47400,48300,47200,47600,175003
105,2013-03-08,47600,49150,47450,49000,414786
106,2013-03-11,49000,49000,48150,48250,210203
107,2013-03-12,48800,48800,47500,48150,293056
108,2013-03-13,48200,48850,47600,48300,213358
109,2013-03-14,48300,49500,47850,49400,357032
110,2013-03-15,49100,50000,48700,48900,571754
111,2013-03-18,49700,50500,49250,49350,458693
112,2013-03-19,49850,50400,48800,49350,391579
113,2013-03-20,49150,49150,48300,48800,378859
114,2013-03-21,48550,49500,47650,47850,456673
115,2013-03-22,48000,49350,47900,48800,288780
116,2013-03-25,49500,49950,48550,49400,281576
117,2013-03-26,49850,50500,49550,49600,489732
118,2013-03-27,49200,49450,47800,48000,520803
119,2013-03-28,48050,48400,47850,48050,523087
120,2013-03-29,48650,48650,48000,48100,310950
121,2013-04-01,47900,48450,47750,48100,136323
122,2013-04-02,48350,48350,47150,48200,256221
123,2013-04-03,48150,48600,47450,48600,251061
124,2013-04-04,47750,48000,47250,47500,362217
125,2013-04-05,47400,47500,45750,46500,296079
126,2013-04-08,47100,47650,45350,46100,376899
127,2013-04-09,45500,46600,45400,46350,275111
128,2013-04-10,47000,47550,46350,47400,284230
129,2013-04-11,47450,47550,46750,47500,150130
