,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,881,998,881,1003,99950
1,2000-01-05,976,1130,946,1000,593550
2,2000-01-06,1026,1040,874,892,213010
3,2000-01-07,881,1021,881,1026,491970
4,2000-01-10,1065,1122,945,962,676970
5,2000-01-11,976,1006,939,949,330360
6,2000-01-12,946,975,897,911,241280
7,2000-01-13,908,931,881,904,143350
8,2000-01-14,881,904,838,854,182740
9,2000-01-17,857,892,851,858,181120
10,2000-01-18,851,878,812,830,119560
11,2000-01-19,812,868,800,813,221900
12,2000-01-20,812,817,739,773,102600
13,2000-01-21,767,814,735,759,157380
14,2000-01-24,779,857,770,824,177480
15,2000-01-25,800,838,774,784,95140
16,2000-01-26,812,812,761,790,64150
17,2000-01-27,803,894,788,847,414060
18,2000-01-28,861,874,824,844,141080
19,2000-01-31,818,868,818,844,116580
20,2000-02-01,828,851,808,817,111070
21,2000-02-02,820,913,812,864,268040
22,2000-02-03,858,881,838,847,105240
23,2000-02-07,851,878,838,864,150390
24,2000-02-08,904,922,844,877,283350
25,2000-02-09,874,935,874,901,265210
26,2000-02-10,908,922,834,874,221050
27,2000-02-11,861,974,817,927,583580
28,2000-02-14,913,942,857,868,268500
29,2000-02-15,865,868,774,797,140250
30,2000-02-16,774,805,761,810,155070
31,2000-02-17,817,888,808,864,385870
32,2000-02-18,881,985,868,992,667770
33,2000-02-21,1014,1130,989,1136,1396810
34,2000-02-22,1160,1210,975,1104,869380
35,2000-02-23,1071,1174,1039,1062,563630
36,2000-02-24,1077,1112,1060,1090,379480
37,2000-02-25,1071,1104,1011,1032,312690
38,2000-02-28,989,1014,939,962,205110
39,2000-02-29,958,1046,946,969,261540
40,2000-03-02,1010,1107,1010,1110,347470
41,2000-03-03,1140,1191,1060,1077,602490
42,2000-03-06,1179,1179,1090,1113,261550
43,2000-03-07,1097,1260,1083,1171,393450
44,2000-03-08,1122,1191,1097,1197,273500
45,2000-03-09,1206,1256,1160,1164,313800
46,2000-03-10,1166,1185,1122,1164,271550
47,2000-03-13,1166,1230,1134,1189,425670
48,2000-03-14,1071,1166,1040,1095,183750
49,2000-03-15,1040,1040,952,955,175060
50,2000-03-16,997,1071,963,969,235970
51,2000-03-17,982,1010,919,927,122260
52,2000-03-20,946,958,919,931,88420
53,2000-03-21,931,947,908,918,81360
54,2000-03-22,919,967,908,937,134790
55,2000-03-23,958,982,913,918,152570
56,2000-03-24,931,989,901,969,250750
57,2000-03-27,989,1010,958,975,132820
58,2000-03-28,969,982,931,937,117790
59,2000-03-29,945,967,894,898,120360
60,2000-03-30,894,913,861,881,78080
61,2000-03-31,841,901,841,844,114990
62,2000-04-03,841,861,806,841,132100
63,2000-04-04,851,861,817,838,85370
64,2000-04-06,841,851,808,830,54960
65,2000-04-07,854,894,841,854,141710
66,2000-04-10,857,939,817,904,279830
67,2000-04-11,894,894,844,854,71960
68,2000-04-12,861,861,829,833,81980
69,2000-04-14,818,838,800,820,64310
70,2000-04-17,705,755,696,699,180690
