,날짜,시가,고가,저가,종가,거래량
0,2010-07-30,59076,67935,59076,65579,246830
1,2010-08-02,64654,64915,59403,59736,102545
2,2010-08-03,59862,61044,59732,59867,36735
3,2010-08-04,59862,61175,56447,59867,64204
4,2010-08-05,60716,60716,57369,57766,73739
5,2010-08-06,57892,63669,57827,63084,88664
6,2010-08-09,62553,66954,62161,63676,79812
7,2010-08-10,63801,64324,62489,63281,29384
8,2010-08-11,62948,64130,62291,63281,32387
9,2010-08-12,62424,63539,61700,61706,32046
10,2010-08-13,62029,62357,60584,60590,39445
11,2010-08-16,60191,63669,60124,63676,25679
12,2010-08-17,63473,64721,62553,64332,29303
13,2010-08-18,64982,67280,64324,66957,60137
14,2010-08-19,66625,67609,64196,65644,37725
15,2010-08-20,65968,65968,63737,63807,43401
16,2010-08-23,64260,66625,63933,65644,31039
17,2010-08-24,66298,71548,65639,70895,90898
18,2010-08-25,70563,72203,68265,70239,59793
19,2010-08-26,71548,71548,67936,69911,46749
20,2010-08-27,68922,71548,68265,69911,30375
21,2010-08-30,71220,71220,68265,70566,16907
22,2010-08-31,70235,72859,69251,72209,38483
23,2010-09-01,71876,76141,71548,75819,51724
24,2010-09-02,75486,76469,74172,75819,32996
25,2010-09-03,75486,76797,75158,75819,37609
26,2010-09-06,76140,77125,73189,73194,39120
27,2010-09-07,73189,74172,72533,73194,26000
28,2010-09-08,72859,74829,72203,73194,32166
29,2010-09-09,73189,74829,71548,74178,41666
30,2010-09-10,73516,74502,71876,73194,43108
31,2010-09-13,74172,74172,70563,71552,39477
32,2010-09-14,70892,71548,69905,70239,37660
33,2010-09-15,70235,70892,65968,68270,53250
34,2010-09-16,68922,75158,68922,73851,88553
35,2010-09-17,74172,78439,72859,77788,99919
36,2010-09-20,78439,78769,74829,76147,59149
37,2010-09-24,75158,77125,74172,75163,36381
38,2010-09-27,75815,79752,74172,78116,71412
39,2010-09-28,77455,78439,73189,76805,178467
40,2010-09-29,77455,77455,74829,74834,253568
41,2010-09-30,75486,76797,74172,75490,76061
42,2010-10-01,76140,76140,73516,74834,62846
43,2010-10-04,74502,75815,72203,72537,50801
44,2010-10-05,72859,73516,69905,71552,80985
45,2010-10-06,71548,74172,71548,73194,65880
46,2010-10-07,73189,76140,70235,72209,87084
47,2010-10-08,71548,72533,70563,71552,36640
48,2010-10-11,71220,71876,69250,69255,45717
49,2010-10-12,69905,72203,67935,72209,70903
50,2010-10-13,72533,73189,69905,73194,47156
51,2010-10-14,72203,72859,70563,71552,39257
52,2010-10-15,70892,72533,69905,71223,49747
53,2010-10-18,70563,72533,70235,72537,31114
54,2010-10-19,72533,76140,71876,76147,88232
55,2010-10-20,75158,77125,74172,74834,60296
56,2010-10-21,75158,75815,68922,72209,83115
57,2010-10-22,72203,72533,69578,70239,103021
58,2010-10-25,68592,68922,66625,68270,157701
59,2010-10-26,67934,69249,67608,67942,87602
60,2010-10-27,68922,68922,67280,68270,49210
61,2010-10-28,65968,65968,62489,65054,202750
62,2010-10-29,65048,65311,63737,64989,36829
63,2010-11-01,64982,65115,63867,64660,21575
64,2010-11-02,64393,65311,63669,64660,24511
65,2010-11-03,64654,65443,62816,64923,64036
66,2010-11-04,64915,65245,63669,64527,37189
67,2010-11-05,64459,64524,63539,63939,34266
68,2010-11-08,63737,63737,62489,63019,45832
69,2010-11-09,62553,63539,62553,63541,39937
70,2010-11-10,63539,65180,63209,64989,58418
71,2010-11-11,65048,65048,62948,63215,59584
72,2010-11-12,63669,63737,61240,63019,77994
73,2010-11-15,62424,63013,61634,62034,29726
74,2010-11-16,62291,62291,60584,61049,28328
75,2010-11-17,60389,60716,56974,59671,129473
76,2010-11-18,58877,59011,57761,58162,61674
77,2010-11-19,58288,59205,57630,59014,74326
