,날짜,시가,고가,저가,종가,거래량
0,2002-07-16,6020,6920,6000,6920,562319
1,2002-07-18,7950,7950,7950,7950,62853
2,2002-07-19,9140,9140,8830,9140,2406392
3,2002-07-22,9700,10500,9500,10500,2124721
4,2002-07-23,12050,12050,11650,12050,1605507
5,2002-07-24,13150,13800,10550,10950,6552258
6,2002-07-25,12000,12200,9950,10350,2128356
7,2002-07-26,10500,11900,9620,11900,2692150
8,2002-07-29,12300,12700,10150,10150,2427774
9,2002-07-30,9900,10550,9730,9800,1349033
10,2002-07-31,9800,11050,9710,9810,1723353
11,2002-08-01,9820,10500,9820,10150,1203539
12,2002-08-02,9950,10500,9870,10100,912996
13,2002-08-05,9900,10650,9750,9760,1237247
14,2002-08-06,9760,9870,9510,9800,567936
15,2002-08-07,10000,10900,9850,10500,1513247
16,2002-08-08,10400,10600,10100,10200,385210
17,2002-08-09,10400,10600,9950,9950,445870
18,2002-08-12,9850,10000,9780,9860,273800
19,2002-08-13,10000,10300,9800,9920,365170
20,2002-08-14,9800,10300,9520,9660,713605
21,2002-08-16,9850,11100,9830,11100,1960436
22,2002-08-19,11700,11700,10500,10850,1307005
23,2002-08-20,10650,11100,10500,10600,914545
24,2002-08-21,10700,10950,10150,10300,1089250
25,2002-08-22,10350,10650,10100,10500,722560
26,2002-08-23,10600,11850,10500,10550,2722749
27,2002-08-26,10400,10650,10150,10150,524401
28,2002-08-27,9920,10050,9750,9900,767770
29,2002-08-28,9710,10450,9710,10000,946182
30,2002-08-29,10300,10300,10000,10050,578000
31,2002-08-30,10050,10500,10000,10050,667080
32,2002-09-02,10100,10600,10000,10500,942215
33,2002-09-03,10600,11050,10400,10900,1497140
34,2002-09-04,10700,11250,10700,11000,1038335
35,2002-09-05,11300,12100,11300,11300,1631314
36,2002-09-06,11750,12950,11600,12950,2768167
37,2002-09-09,13900,14850,13550,14850,4037414
38,2002-09-10,15250,15550,12950,13500,3558780
39,2002-09-11,13700,14200,13100,14000,1641868
40,2002-09-12,13700,14000,13200,13200,1032297
41,2002-09-13,12700,13850,12700,13000,1141585
42,2002-09-16,13250,13600,12650,13600,1416613
