,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,4223,4223,3919,4046,65500
1,2000-01-05,4046,4046,3850,3850,68620
2,2000-01-06,4208,4208,3806,3811,44280
3,2000-01-07,3919,3997,3831,3919,62040
4,2000-01-10,3919,4203,3821,3919,159390
5,2000-01-11,3978,4066,3841,3919,122430
6,2000-01-12,3919,4066,3821,4065,145930
7,2000-01-13,4115,4556,4066,4310,287280
8,2000-01-14,4169,4360,4115,4183,107940
9,2000-01-17,4184,4311,4076,4075,94880
10,2000-01-18,4076,4115,3772,3821,149280
11,2000-01-19,4017,4017,3449,3448,99080
12,2000-01-20,3576,3615,3184,3448,65130
13,2000-01-21,3449,3606,3263,3517,75040
14,2000-01-24,3517,3527,3351,3380,71660
15,2000-01-25,3380,3380,3184,3184,72830
16,2000-01-26,3184,3321,3135,3203,59080
17,2000-01-27,3341,3684,3331,3683,142080
18,2000-01-28,3801,3801,3537,3625,112720
19,2000-01-31,3625,3850,3527,3674,84860
20,2000-02-01,3733,3899,3733,3772,81160
21,2000-02-02,3919,4105,3811,3919,102280
22,2000-02-03,4037,4037,3821,4017,95000
23,2000-02-07,4017,4017,3919,3919,77350
24,2000-02-08,3919,3948,3723,3742,83750
25,2000-02-09,3792,3909,3625,3625,84830
26,2000-02-10,3645,3723,3449,3448,107040
27,2000-02-11,3625,3625,3419,3527,132650
28,2000-02-14,3527,3625,3419,3576,106350
29,2000-02-15,3576,3664,3527,3546,72070
30,2000-02-16,3547,3674,3547,3566,127730
31,2000-02-17,3566,3654,3566,3644,89920
32,2000-02-18,3664,3733,3645,3644,56250
33,2000-02-21,3576,3576,3321,3419,31980
34,2000-02-22,2949,3929,2949,3928,165540
35,2000-02-23,4517,4517,4223,4408,457770
36,2000-02-24,5065,5065,3968,4114,442330
37,2000-02-25,4125,4497,3968,4017,357130
38,2000-02-28,4046,4620,4017,4614,507620
39,2000-02-29,4321,4752,4017,4065,341060
40,2000-03-02,4311,4477,4066,4065,374660
41,2000-03-03,4595,4673,4463,4673,1168190
42,2000-03-06,5369,5369,5369,5369,85830
43,2000-03-07,6172,6172,6172,6172,138540
44,2000-03-08,5487,6074,5291,5584,1693940
45,2000-03-09,5634,6026,4899,5741,1147420
46,2000-03-10,6074,6104,5398,5408,775320
47,2000-03-13,5193,5732,5193,5378,664380
48,2000-03-14,5487,5653,4703,4849,506610
49,2000-03-15,4722,5163,4620,4908,721150
50,2000-03-16,4899,5016,4438,4457,365900
51,2000-03-17,4311,4997,4135,4614,1201430
52,2000-03-20,4713,4811,4262,4286,296570
53,2000-03-21,4409,4477,4017,4085,314690
54,2000-03-22,4125,4311,4027,4212,617070
55,2000-03-23,4213,4468,4022,4114,555960
56,2000-03-24,4213,4556,4066,4212,986550
57,2000-03-27,4409,4458,4262,4286,403410
58,2000-03-28,4262,4350,4115,4154,331390
59,2000-03-29,4213,4291,3934,4095,396770
60,2000-03-30,4213,4556,4095,4114,507310
61,2000-03-31,4203,4203,3934,3997,200910
62,2000-04-03,3919,4213,3645,3723,286870
63,2000-04-04,3542,3772,3272,3389,242950
64,2000-04-06,3233,3473,3233,3301,149230
65,2000-04-07,3331,3713,3253,3527,314370
66,2000-04-10,3713,3713,3537,3625,252370
67,2000-04-11,3527,3615,3287,3331,186640
68,2000-04-12,3248,3723,3248,3654,398450
69,2000-04-14,3659,3880,3478,3625,345820
70,2000-04-17,3155,3410,3081,3081,172920
71,2000-04-18,3243,3385,3096,3174,221500
72,2000-04-19,3204,3439,3204,3331,195030
73,2000-04-20,3184,3410,3184,3203,83080
74,2000-04-21,3292,3331,3116,3282,185250
75,2000-04-24,3312,3380,3204,3213,159400
76,2000-04-25,3214,3233,3116,3135,119290
77,2000-04-26,3184,3263,2988,2988,185820
78,2000-04-27,2949,3155,2812,2949,231510
79,2000-04-28,3018,3370,2949,3169,497030
80,2000-05-02,3116,3116,2998,3037,274670
81,2000-05-03,3086,3160,3042,3100,171360
82,2000-05-04,3042,3096,3008,3042,204790
83,2000-05-08,3096,3125,2998,3051,167470
84,2000-05-09,3057,3282,3047,3135,314190
85,2000-05-10,3223,3223,3086,3145,136720
86,2000-05-12,3145,3165,3042,3051,204930
87,2000-05-15,3052,3184,2890,2939,254990
88,2000-05-16,2939,3037,2929,2953,193820
89,2000-05-17,2988,3057,2704,2743,194150
90,2000-05-18,2743,2743,2469,2635,156820
91,2000-05-19,2636,2636,2351,2478,139460
92,2000-05-22,2410,2479,2165,2165,109610
93,2000-05-23,2165,2234,1979,2057,161750
94,2000-05-24,2057,2283,1871,2214,306850
95,2000-05-25,2253,2489,2253,2439,261520
96,2000-05-26,2351,2361,2106,2106,148460
97,2000-05-29,1960,2302,1960,2214,168970
98,2000-05-30,2342,2420,2302,2400,185600
99,2000-05-31,2596,2734,2459,2586,444760
100,2000-06-01,2645,2743,2498,2645,545190
101,2000-06-02,2626,2910,2626,2625,398410
102,2000-06-05,2665,2890,2665,2860,433410
103,2000-06-07,2792,3086,2753,2929,468180
104,2000-06-08,2939,3037,2547,2606,480780
105,2000-06-09,2792,2920,2660,2792,495800
106,2000-06-12,2831,2959,2802,2870,433080
107,2000-06-13,2890,2890,2626,2684,279960
108,2000-06-14,2596,2734,2552,2557,192420
109,2000-06-15,2567,2596,2312,2420,162950
110,2000-06-16,2489,2489,2263,2380,116270
111,2000-06-19,2263,2587,2263,2527,181970
112,2000-06-20,2459,2675,2459,2547,118540
113,2000-06-21,2577,2655,2567,2566,119610
114,2000-06-22,2606,2645,2528,2566,141390
115,2000-06-23,2567,2743,2508,2713,203490
116,2000-06-26,2714,2895,2714,2880,284070
117,2000-06-27,2920,3018,2802,2880,341790
118,2000-06-28,2841,2969,2841,2939,217160
119,2000-06-29,2939,2954,2861,2953,283320
120,2000-06-30,2954,3292,2954,3291,610940
121,2000-07-03,3312,3380,3184,3291,219630
122,2000-07-04,3331,3429,3150,3149,158900
123,2000-07-05,2998,3170,2988,3135,219490
124,2000-07-06,3184,3478,3135,3375,490440
125,2000-07-07,3527,3527,3312,3380,152290
126,2000-07-10,3380,3429,3243,3331,138020
127,2000-07-11,3243,3331,3067,3306,140730
128,2000-07-12,3233,3321,3125,3311,112770
129,2000-07-13,3204,3576,3145,3321,214630
130,2000-07-14,3429,3429,3145,3252,88970
131,2000-07-18,3194,3223,3037,3164,83660
132,2000-07-19,3008,3174,2998,3135,65170
133,2000-07-20,3042,3116,2998,3066,40620
134,2000-07-21,3086,3478,3086,3380,145510
135,2000-07-24,3282,3282,3086,3135,76150
136,2000-07-25,3135,3449,3037,3282,283450
137,2000-07-26,3331,3331,3165,3194,76670
138,2000-07-27,3233,3282,3145,3159,43930
139,2000-07-28,3140,3228,3135,3174,48730
140,2000-07-31,3086,3650,3086,3625,328020
141,2000-08-01,3527,3645,3429,3546,210360
142,2000-08-02,3630,3674,3449,3605,185530
143,2000-08-03,3625,3703,3527,3527,188150
144,2000-08-04,3478,3537,3346,3429,88710
145,2000-08-07,3341,3341,2915,2914,99240
146,2000-08-08,2949,3316,2949,3096,162360
147,2000-08-09,3135,3243,3086,3223,124420
148,2000-08-10,3233,3331,3150,3262,56500
149,2000-08-11,3165,3263,3116,3145,115860
150,2000-08-14,3282,3615,3282,3615,653780
151,2000-08-16,3703,3919,3527,3674,898340
152,2000-08-17,3723,3723,3473,3615,304180
153,2000-08-18,3723,4105,3674,3811,1077220
154,2000-08-21,3919,3958,3733,3757,365380
155,2000-08-22,3841,3997,3606,3674,704340
156,2000-08-23,3762,3777,3527,3546,231860
157,2000-08-24,3454,3576,3351,3409,234680
