,날짜,시가,고가,저가,종가,거래량
0,2009-03-20,2994,3441,2994,3002,3650995
1,2009-03-23,2961,3276,2942,3115,1126294
2,2009-03-24,3205,3227,2889,3115,592211
3,2009-03-25,3152,3580,3092,3580,1841544
4,2009-03-26,3760,3895,3313,3532,2465100
5,2009-03-27,3640,3704,3426,3603,757965
6,2009-03-30,3602,3723,3464,3498,447871
7,2009-03-31,3572,3925,3527,3678,1217058
8,2009-04-01,3715,3745,3539,3547,339266
9,2009-04-02,3625,3625,3437,3494,424770
10,2009-04-03,3494,3524,3340,3378,235073
11,2009-04-06,3377,3516,3347,3430,169342
12,2009-04-07,3419,3674,3321,3640,346635
13,2009-04-08,3602,3734,3550,3625,284486
14,2009-04-09,3647,3940,3595,3753,892370
15,2009-04-10,3775,3843,3625,3671,301272
16,2009-04-13,3700,3798,3554,3622,277658
17,2009-04-14,3629,3629,3400,3532,244067
18,2009-04-15,3482,3828,3460,3828,603215
19,2009-04-16,4068,4398,3948,4241,1982090
20,2009-04-17,4353,4391,3925,4226,1009664
21,2009-04-20,4286,4586,4135,4346,952832
22,2009-04-21,4278,4691,4150,4579,1106127
23,2009-04-22,4676,4773,4541,4616,532281
24,2009-04-23,4691,4863,4518,4519,556029
25,2009-04-24,4526,4563,4338,4541,399228
26,2009-04-27,4698,4698,4436,4436,242709
27,2009-04-28,4428,4571,4128,4173,307422
28,2009-04-29,4278,4496,4158,4496,365363
29,2009-04-30,4578,4653,4436,4534,292473
30,2009-05-04,4518,4593,4451,4496,137774
31,2009-05-06,4556,4578,4323,4361,213270
32,2009-05-07,4353,4398,4195,4361,394871
33,2009-05-08,4286,4503,4278,4391,296364
34,2009-05-11,4391,4391,4195,4211,262656
35,2009-05-12,4180,4278,4135,4203,85777
36,2009-05-13,4218,4263,4098,4248,162793
37,2009-05-14,4180,4203,4038,4046,166577
38,2009-05-15,4128,4481,3828,4429,537946
39,2009-05-18,4496,4571,4376,4436,421035
40,2009-05-19,4578,5096,4503,5097,1082520
41,2009-05-20,5209,5404,4946,5254,904176
