,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,7700,8900,7560,8100,240170
1,2000-01-05,7900,8050,7520,7550,202170
2,2000-01-06,7900,7900,7150,7200,151260
3,2000-01-07,7200,7600,7060,7450,242670
4,2000-01-10,7550,7980,7500,7850,299460
5,2000-01-11,7800,7800,7450,7500,313520
6,2000-01-12,7450,7450,7110,7130,180970
7,2000-01-13,7200,7200,6750,6900,214010
8,2000-01-14,6900,7100,6720,7000,221620
9,2000-01-17,7000,7200,6870,7050,254300
10,2000-01-18,7190,7600,7000,7100,559650
11,2000-01-19,6910,7000,6350,6640,243070
12,2000-01-20,6500,6630,6110,6230,160670
13,2000-01-21,5930,6490,5700,6340,511160
14,2000-01-24,6000,6400,6000,6170,258430
15,2000-01-25,6150,6150,5800,5800,248290
16,2000-01-26,6000,6670,5890,6670,600520
17,2000-01-27,7390,7480,6700,6990,1447400
18,2000-01-28,7000,7150,6640,6820,305210
19,2000-01-31,6820,7190,6740,6800,234460
20,2000-02-01,6870,6940,6550,6700,227800
21,2000-02-02,6330,7000,6330,6870,305540
22,2000-02-03,7000,7600,6920,7200,460870
23,2000-02-07,7270,7270,6900,6980,319100
24,2000-02-08,7010,7200,6760,6800,236380
25,2000-02-09,6780,6940,6610,6650,268040
26,2000-02-10,6510,6700,6250,6250,194540
27,2000-02-11,6250,6400,5970,6100,196620
28,2000-02-14,6160,6200,5800,5800,134340
29,2000-02-15,6250,6250,5600,5700,153720
30,2000-02-16,5750,5970,5500,5650,180700
31,2000-02-17,5650,5800,5500,5750,236080
32,2000-02-18,5800,6290,5750,6000,313310
33,2000-02-21,6000,6190,5700,5700,190360
34,2000-02-22,5510,5790,5360,5570,206070
35,2000-02-23,6400,6400,6400,6400,114860
36,2000-02-24,7020,7100,6490,6600,723010
37,2000-02-25,6600,6990,6210,6950,430450
38,2000-02-28,6560,7550,6520,7000,502340
39,2000-02-29,7200,7350,6500,6700,271480
40,2000-03-02,6810,7100,6400,6880,353370
41,2000-03-03,7000,7200,6720,6850,389780
42,2000-03-06,7150,7870,7000,7870,727230
43,2000-03-07,7900,8200,7530,7800,560130
44,2000-03-08,7600,8170,7490,8000,468820
45,2000-03-09,7900,8650,7810,8310,778670
46,2000-03-10,8350,8350,7810,7900,404050
47,2000-03-13,7890,8450,7750,7950,799830
48,2000-03-14,8150,8250,7190,7300,402410
49,2000-03-15,7200,7200,6860,7200,305390
50,2000-03-16,7560,7560,6920,7350,261850
51,2000-03-17,7370,7490,7010,7010,268330
52,2000-03-20,7010,7070,6650,6710,208550
53,2000-03-21,6530,6700,6280,6300,215270
54,2000-03-22,6300,6580,6200,6390,294100
55,2000-03-23,6550,6580,6270,6300,224010
56,2000-03-24,6500,6720,6300,6350,271830
57,2000-03-27,6550,6690,6450,6500,250020
58,2000-03-28,6680,6680,6390,6400,158670
59,2000-03-29,6500,6790,6300,6300,300720
60,2000-03-30,6310,6500,6010,6100,171630
61,2000-03-31,6150,6240,6020,6040,155830
62,2000-04-03,6060,6200,5700,5730,196880
63,2000-04-04,5750,5970,5690,5960,187420
64,2000-04-06,5970,6210,5900,6210,147160
65,2000-04-07,6300,6580,6260,6580,417810
66,2000-04-10,6610,6780,6610,6760,301120
67,2000-04-11,6790,6850,6250,6510,256080
68,2000-04-12,6550,6950,6510,6800,488930
69,2000-04-14,6800,6820,6350,6700,221380
70,2000-04-17,6020,6150,5700,5700,152660
71,2000-04-18,6050,6300,5850,6250,324900
72,2000-04-19,6270,6900,6120,6500,677050
73,2000-04-20,6650,6780,6260,6400,364040
74,2000-04-21,6500,6540,6230,6400,188080
75,2000-04-24,6300,6460,6300,6450,145480
76,2000-04-25,6160,6370,6160,6210,97620
77,2000-04-26,6230,6390,6000,6100,268000
78,2000-04-27,5710,6050,5600,5700,96680
79,2000-04-28,5610,5830,5600,5740,119660
80,2000-05-02,5610,5800,5550,5700,113630
81,2000-05-03,5850,5850,5570,5570,146560
82,2000-05-04,5650,5650,5450,5490,191500
83,2000-05-08,5550,5670,5520,5560,137980
84,2000-05-09,5500,5660,5450,5530,96710
85,2000-05-10,5530,5620,5420,5430,116190
86,2000-05-12,5310,5460,5050,5130,180410
87,2000-05-15,5050,5050,4500,4555,154510
88,2000-05-16,4595,4600,4350,4520,88420
89,2000-05-17,4740,4800,4000,4000,210340
90,2000-05-18,4200,4200,3700,4000,192710
91,2000-05-19,4180,4180,3830,4050,170210
92,2000-05-22,4250,4250,3935,3970,194190
93,2000-05-23,3955,3990,3610,3715,92290
94,2000-05-24,3730,4000,3410,3770,267730
95,2000-05-25,3890,4250,3700,4150,233640
96,2000-05-26,4150,4250,3900,3900,219980
97,2000-05-29,3710,4050,3500,3990,115190
98,2000-05-30,3980,4180,3980,4180,162480
99,2000-05-31,4330,4485,4210,4480,355100
100,2000-06-01,4500,4500,4220,4260,159980
101,2000-06-02,4300,4400,4020,4210,222720
102,2000-06-05,4235,4610,4235,4495,333280
103,2000-06-07,4505,5100,4430,4950,576740
104,2000-06-08,5050,5200,4590,4900,361260
105,2000-06-09,4910,5000,4700,5000,257180
106,2000-06-12,5100,5300,4910,5170,477030
107,2000-06-13,5020,5090,4500,4500,160380
108,2000-06-14,4200,4640,4200,4390,116930
109,2000-06-15,4250,4695,4150,4200,191590
110,2000-06-16,4200,4280,4110,4150,103850
111,2000-06-19,4025,4140,4010,4010,68590
112,2000-06-20,3950,4100,3950,4080,102060
113,2000-06-21,4000,4250,4000,4100,130730
114,2000-06-22,4180,4710,3950,4240,194020
115,2000-06-23,4120,4250,4100,4200,65850
116,2000-06-26,4110,4250,4100,4195,79800
117,2000-06-27,4200,4395,4200,4370,128790
118,2000-06-28,4280,4400,4250,4390,118570
119,2000-06-29,4390,4400,4200,4300,109830
120,2000-06-30,4280,4320,4180,4230,136920
121,2000-07-03,4230,4450,4230,4450,131890
122,2000-07-04,4500,4800,4450,4500,240650
123,2000-07-05,4550,4550,4305,4430,93560
124,2000-07-06,4400,4700,4320,4560,215210
125,2000-07-07,4650,4870,4600,4785,216230
126,2000-07-10,4780,5170,4740,4995,273640
127,2000-07-11,4990,5000,4840,4840,231950
128,2000-07-12,4790,4840,4560,4695,210070
129,2000-07-13,4705,4705,4560,4660,116070
130,2000-07-14,4600,4900,4570,4730,525730
131,2000-07-18,4795,4800,4565,4565,174380
132,2000-07-19,4620,4620,4215,4225,125530
133,2000-07-20,3950,4220,3950,4090,90170
134,2000-07-21,4000,4240,4000,4080,115560
135,2000-07-24,4120,4195,3920,3940,137350
136,2000-07-25,3995,3995,3850,3935,69970
137,2000-07-26,3970,4030,3880,3935,42470
138,2000-07-27,3900,3980,3880,3930,48600
139,2000-07-28,3930,3930,3810,3810,47370
140,2000-07-31,3735,3830,3700,3770,46890
141,2000-08-01,3840,3900,3760,3885,56450
142,2000-08-02,3850,3930,3790,3830,148980
143,2000-08-03,3855,3880,3800,3880,107030
144,2000-08-04,3850,4000,3835,3910,127950
145,2000-08-07,3880,3900,3800,3800,47880
146,2000-08-08,3750,3850,3705,3750,105010
147,2000-08-09,3720,3870,3720,3870,42400
148,2000-08-10,3810,3895,3770,3835,31430
149,2000-08-11,3900,3925,3755,3850,84960
150,2000-08-14,3890,4040,3890,4010,199560
151,2000-08-16,4090,4100,3965,4000,74680
152,2000-08-17,4000,4000,3770,3810,161220
153,2000-08-18,3810,3830,3700,3750,139840
154,2000-08-21,3705,3770,3700,3700,42670
155,2000-08-22,3710,3785,3710,3785,72730
156,2000-08-23,3705,3850,3705,3720,84770
157,2000-08-24,3795,3840,3705,3740,91060
