,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,853,980,853,980,125600
1,2000-01-05,960,1020,914,1010,367800
2,2000-01-06,1010,1010,920,980,344100
3,2000-01-07,975,980,944,970,218700
4,2000-01-10,950,1020,950,982,450500
5,2000-01-11,982,1018,950,950,254700
6,2000-01-12,960,990,910,920,471000
7,2000-01-13,892,940,890,896,249900
8,2000-01-14,896,950,882,950,233700
9,2000-01-17,950,990,950,981,88800
10,2000-01-18,1002,1038,964,1000,319700
11,2000-01-19,1016,1016,923,980,152600
12,2000-01-20,978,1010,976,994,225800
13,2000-01-21,994,994,926,960,118890
14,2000-01-24,930,998,930,942,115900
15,2000-01-25,930,978,920,956,110300
16,2000-01-26,958,989,932,950,307500
17,2000-01-27,930,992,930,992,353500
18,2000-01-28,980,988,950,980,183800
19,2000-01-31,954,1000,940,960,117500
20,2000-02-01,950,1000,932,937,141200
21,2000-02-02,940,965,938,952,86440
22,2000-02-03,942,968,932,940,62800
23,2000-02-07,956,966,906,916,452260
24,2000-02-08,916,929,906,906,65200
25,2000-02-09,906,916,854,859,212400
26,2000-02-10,844,860,750,750,298800
27,2000-02-11,786,798,676,680,470700
28,2000-02-14,691,720,620,634,1378400
29,2000-02-15,700,724,640,700,1386600
30,2000-02-16,720,770,670,766,1579600
31,2000-02-17,796,796,720,720,826500
32,2000-02-18,700,750,680,698,1314100
33,2000-02-21,660,678,600,600,500900
34,2000-02-22,630,660,596,635,653800
35,2000-02-23,660,686,620,642,549300
36,2000-02-24,640,650,624,628,465300
37,2000-02-25,622,669,596,642,725100
38,2000-02-28,620,676,616,670,719300
39,2000-02-29,684,698,640,660,567100
40,2000-03-02,680,680,648,666,826300
41,2000-03-03,666,670,630,638,605900
42,2000-03-06,640,674,638,666,826900
43,2000-03-07,650,660,626,631,833200
44,2000-03-08,631,631,614,620,731100
45,2000-03-09,630,713,610,690,3261600
46,2000-03-10,720,726,664,670,1040300
47,2000-03-13,700,760,698,722,1938400
48,2000-03-14,718,748,684,694,678400
49,2000-03-15,694,702,661,700,915600
50,2000-03-16,674,718,674,686,507400
51,2000-03-17,686,700,674,676,301900
52,2000-03-20,662,688,652,660,264500
53,2000-03-21,660,662,642,651,268700
54,2000-03-22,660,678,642,664,438600
55,2000-03-23,678,694,650,650,362400
56,2000-03-24,680,697,666,676,812200
57,2000-03-27,696,710,670,696,410000
58,2000-03-28,692,700,674,694,480000
59,2000-03-29,700,702,667,667,317700
60,2000-03-30,668,694,652,690,1109500
61,2000-03-31,704,704,660,660,613700
62,2000-04-03,680,696,664,680,339900
63,2000-04-04,690,758,670,742,891300
64,2000-04-06,740,740,702,706,520400
65,2000-04-07,708,730,682,682,350700
66,2000-04-10,687,712,682,694,816600
67,2000-04-11,662,700,662,698,795300
68,2000-04-12,676,710,676,700,622800
69,2000-04-14,685,696,680,690,212600
70,2000-04-17,650,660,626,644,625600
71,2000-04-18,658,669,646,646,248600
72,2000-04-19,661,670,646,648,433300
73,2000-04-20,649,666,644,660,366600
74,2000-04-21,662,740,650,740,927800
75,2000-04-24,738,842,702,702,1118800
76,2000-04-25,698,698,670,670,571700
77,2000-04-26,690,694,662,670,278800
78,2000-04-27,660,728,660,720,604600
79,2000-04-28,704,754,704,730,532600
80,2000-05-02,730,752,726,744,421800
81,2000-05-03,744,814,724,792,1221100
82,2000-05-04,792,820,774,776,637600
83,2000-05-08,776,788,740,752,377500
84,2000-05-09,762,780,744,752,544800
85,2000-05-10,760,780,724,750,320500
86,2000-05-12,736,750,696,703,291400
87,2000-05-15,682,724,670,710,501500
88,2000-05-16,711,778,696,701,85800
89,2000-05-17,685,702,660,670,441900
90,2000-05-18,643,658,570,606,355000
91,2000-05-19,591,649,560,640,529300
92,2000-05-22,610,650,610,624,237900
93,2000-05-23,620,654,610,636,463300
94,2000-05-24,636,666,600,650,369800
95,2000-05-25,632,678,632,662,262000
96,2000-05-26,680,680,626,656,278300
97,2000-05-29,640,644,612,640,303200
98,2000-05-30,622,666,622,655,285600
99,2000-05-31,680,680,650,650,562300
100,2000-06-01,658,672,641,666,438900
101,2000-06-02,652,690,652,666,477100
102,2000-06-05,661,693,661,680,529600
103,2000-06-07,678,730,671,690,917500
104,2000-06-08,700,706,630,630,577700
105,2000-06-09,640,659,630,630,433100
106,2000-06-12,640,656,638,646,216600
107,2000-06-13,630,654,630,636,166000
108,2000-06-14,626,648,616,620,347900
109,2000-06-15,620,620,590,604,398000
110,2000-06-16,600,620,600,602,253700
111,2000-06-19,610,610,594,594,213500
112,2000-06-20,588,608,588,599,258300
113,2000-06-21,590,608,588,608,430800
114,2000-06-22,610,627,600,610,495800
115,2000-06-23,610,616,596,606,562200
116,2000-06-26,600,615,598,608,180300
117,2000-06-27,612,660,608,656,468600
118,2000-06-28,660,712,660,698,972000
119,2000-06-29,750,802,738,798,3718900
120,2000-06-30,848,850,714,739,1657700
121,2000-07-03,737,796,704,782,770800
122,2000-07-04,760,798,749,760,605400
123,2000-07-05,740,820,736,770,934600
124,2000-07-06,788,885,752,885,2163100
125,2000-07-07,880,918,870,910,800700
126,2000-07-10,898,930,850,860,717300
127,2000-07-11,840,860,760,760,696400
128,2000-07-12,780,820,780,796,434500
129,2000-07-13,782,800,750,780,449700
130,2000-07-14,760,799,756,764,159300
131,2000-07-18,760,800,760,770,148500
132,2000-07-19,758,798,753,770,365700
133,2000-07-20,761,792,750,750,378700
134,2000-07-21,760,770,742,770,326000
135,2000-07-24,780,780,690,748,168800
136,2000-07-25,748,812,720,810,425900
137,2000-07-26,830,850,783,800,467100
138,2000-07-27,792,814,770,792,179000
139,2000-07-28,802,818,783,800,287800
140,2000-07-31,812,840,790,830,368300
141,2000-08-01,830,890,813,868,1087400
142,2000-08-02,868,886,840,862,440000
143,2000-08-03,864,878,850,858,518800
144,2000-08-04,832,886,822,878,837400
145,2000-08-07,886,886,860,872,249500
146,2000-08-08,872,938,856,865,702400
147,2000-08-09,866,912,866,900,502800
148,2000-08-10,914,926,883,910,318300
149,2000-08-11,872,910,863,900,310800
150,2000-08-14,910,910,880,882,284900
151,2000-08-16,882,907,866,874,929600
152,2000-08-17,874,878,824,840,526000
153,2000-08-18,824,846,811,838,653800
154,2000-08-21,820,820,792,816,470100
155,2000-08-22,810,826,790,816,370800
156,2000-08-23,815,824,793,793,440000
157,2000-08-24,793,824,773,820,352900
158,2000-08-25,818,819,798,819,133900
159,2000-08-28,803,862,803,850,377700
160,2000-08-29,852,876,852,870,529600
161,2000-08-30,890,890,862,866,264700
162,2000-08-31,849,852,800,824,433500
163,2000-09-01,804,864,804,828,271200
164,2000-09-04,836,848,823,840,154300
165,2000-09-05,830,868,830,867,396200
166,2000-09-06,862,870,840,840,92700
167,2000-09-07,820,826,809,820,327500
168,2000-09-08,805,828,790,790,296700
169,2000-09-14,780,780,730,750,437600
170,2000-09-15,752,780,698,710,557000
171,2000-09-18,622,652,604,604,328800
172,2000-09-19,514,594,514,578,2214200
173,2000-09-20,595,616,580,606,1018700
174,2000-09-21,606,670,583,624,630000
175,2000-09-22,606,638,556,566,251500
176,2000-09-25,589,614,583,608,119000
177,2000-09-26,592,630,592,630,164900
178,2000-09-27,638,656,630,630,252000
179,2000-09-28,652,680,630,652,206900
180,2000-09-29,660,676,630,676,521900
181,2000-10-02,676,676,642,650,124100
182,2000-10-04,648,680,636,670,170100
183,2000-10-05,670,671,650,650,127500
184,2000-10-06,640,664,640,650,108800
185,2000-10-09,661,682,641,652,401700
186,2000-10-10,641,657,641,657,150000
187,2000-10-11,650,657,610,622,179500
188,2000-10-12,622,650,550,550,195500
189,2000-10-13,568,568,484,506,864000
190,2000-10-16,545,550,520,537,522800
191,2000-10-17,531,548,528,544,457000
192,2000-10-18,528,540,520,527,189500
193,2000-10-19,530,547,510,526,157800
194,2000-10-20,531,546,528,528,414500
195,2000-10-23,546,546,510,510,166200
196,2000-10-24,510,532,504,530,219700
197,2000-10-25,542,542,507,540,234500
198,2000-10-26,523,535,520,535,67100
199,2000-10-27,535,554,532,544,491100
200,2000-10-30,540,546,529,534,104500
201,2000-10-31,534,544,508,538,168600
202,2000-11-01,546,553,524,543,250500
203,2000-11-02,546,610,535,606,1027400
204,2000-11-03,628,628,582,596,505900
205,2000-11-06,590,650,580,596,639600
206,2000-11-07,601,608,580,580,212600
207,2000-11-08,566,610,558,610,356000
208,2000-11-09,580,610,580,586,145400
209,2000-11-10,589,608,580,606,123300
210,2000-11-13,600,602,584,598,374600
211,2000-11-14,558,597,558,596,156600
212,2000-11-15,606,644,603,615,346300
213,2000-11-16,624,628,613,620,143200
214,2000-11-17,603,620,602,606,114300
215,2000-11-20,618,618,592,594,52700
216,2000-11-21,580,607,560,572,392100
217,2000-11-22,580,607,580,585,543800
218,2000-11-23,588,598,570,583,135000
219,2000-11-24,570,597,564,596,76300
220,2000-11-27,610,619,601,618,182600
221,2000-11-28,618,618,592,597,119500
222,2000-11-29,584,584,570,574,226400
223,2000-11-30,564,585,564,568,253200
224,2000-12-01,561,588,543,567,871300
225,2000-12-04,558,566,546,556,582100
226,2000-12-05,551,570,551,552,213800
227,2000-12-06,562,582,550,553,880000
228,2000-12-07,541,551,534,546,147500
229,2000-12-08,546,574,534,570,188900
230,2000-12-11,560,572,556,559,262500
231,2000-12-12,559,559,537,540,295400
232,2000-12-13,558,558,537,546,229900
233,2000-12-14,534,540,525,526,669400
234,2000-12-15,527,550,486,490,774900
235,2000-12-18,484,494,461,463,804100
236,2000-12-19,469,480,447,463,750500
237,2000-12-20,444,454,441,444,650100
238,2000-12-21,423,446,386,390,1557300
239,2000-12-22,391,404,390,396,477000
240,2000-12-26,390,408,390,397,308700
241,2001-01-02,390,390,366,382,377500
242,2001-01-03,371,379,340,350,1287800
243,2001-01-04,370,402,370,389,2811600
244,2001-01-05,390,442,389,430,2796600
245,2001-01-08,440,448,419,441,2581200
246,2001-01-09,442,442,428,433,775700
247,2001-01-10,437,450,380,380,1524400
248,2001-01-11,370,400,370,384,499100
249,2001-01-12,394,413,393,405,633500
250,2001-01-15,416,440,410,423,1362600
251,2001-01-16,428,428,412,420,721400
252,2001-01-17,420,420,396,400,530500
253,2001-01-18,408,423,401,404,752200
254,2001-01-19,420,446,410,430,1198600
255,2001-01-22,450,450,432,440,1306700
256,2001-01-26,452,452,423,426,501600
257,2001-01-29,427,432,412,426,326700
258,2001-01-30,427,437,420,424,328800
259,2001-01-31,424,464,424,464,1047800
260,2001-02-01,442,466,442,456,566900
261,2001-02-02,451,456,440,440,630500
262,2001-02-05,430,436,424,430,525300
263,2001-02-06,436,462,431,456,705800
264,2001-02-07,440,450,438,450,361600
265,2001-02-08,454,462,448,460,720100
266,2001-02-09,458,460,448,454,442500
267,2001-02-12,430,456,430,442,1039400
268,2001-02-13,442,450,440,442,325700
269,2001-02-14,442,450,433,446,665100
270,2001-02-15,454,454,438,440,259100
271,2001-02-16,440,476,440,464,2209900
272,2001-02-19,462,470,452,466,730800
273,2001-02-20,480,508,474,494,1804300
274,2001-02-21,502,524,494,510,1332200
275,2001-02-22,516,516,480,485,988400
276,2001-02-23,490,514,489,502,532000
277,2001-02-26,518,540,502,520,1106100
278,2001-02-27,514,544,514,520,1270300
279,2001-02-28,502,532,502,524,587900
280,2001-03-02,520,526,508,519,567200
281,2001-03-05,510,518,482,502,506000
282,2001-03-06,500,500,490,493,516700
283,2001-03-07,495,512,476,511,1044600
284,2001-03-08,514,538,514,530,2174600
285,2001-03-09,530,536,520,528,707400
286,2001-03-12,506,526,504,524,257100
287,2001-03-13,524,542,506,540,1302000
288,2001-03-14,556,556,536,540,1422700
289,2001-03-15,536,536,523,528,396900
290,2001-03-16,530,532,514,528,377200
291,2001-03-19,512,536,512,520,602100
292,2001-03-20,525,536,512,525,441400
293,2001-03-21,511,520,511,520,217500
294,2001-03-22,512,518,484,508,372800
295,2001-03-23,511,519,508,514,218800
296,2001-03-26,508,522,500,520,320000
297,2001-03-27,530,530,512,521,263000
298,2001-03-28,526,527,508,513,284500
299,2001-03-29,506,518,506,510,228300
300,2001-03-30,503,508,492,500,131000
301,2001-04-02,496,500,470,478,291300
302,2001-04-03,474,478,458,478,263700
303,2001-04-04,478,489,462,463,260800
304,2001-04-06,480,480,454,454,228500
305,2001-04-09,453,462,430,430,125300
306,2001-04-10,440,452,430,452,242400
307,2001-04-11,457,459,448,455,694800
308,2001-04-12,455,456,433,455,594500
309,2001-04-13,460,460,450,451,116900
310,2001-04-16,448,476,448,476,468400
311,2001-04-17,476,482,474,474,98300
312,2001-04-18,477,507,470,500,582500
313,2001-04-19,512,552,502,540,1038200
314,2001-04-20,530,546,510,520,977900
315,2001-04-23,520,532,513,515,599200
316,2001-04-24,515,515,500,500,286000
317,2001-04-25,500,530,500,524,193400
318,2001-04-26,532,550,530,537,556600
319,2001-04-27,550,550,524,536,572800
320,2001-04-30,550,587,548,584,863900
321,2001-05-02,584,599,566,598,1086800
322,2001-05-03,600,600,576,592,604500
323,2001-05-04,588,630,588,614,941900
324,2001-05-07,600,624,596,614,450300
325,2001-05-08,640,670,616,636,730200
326,2001-05-09,636,652,616,626,332000
