,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,455,543,448,508,473000
1,2000-01-05,500,557,494,509,532000
2,2000-01-06,536,538,436,472,351700
3,2000-01-07,473,533,470,523,819700
4,2000-01-10,529,540,492,492,603100
5,2000-01-11,496,503,475,482,547400
6,2000-01-12,492,498,477,476,253200
7,2000-01-13,481,505,472,485,355300
8,2000-01-14,477,499,473,478,350600
9,2000-01-17,491,500,479,481,366100
10,2000-01-18,491,491,459,464,302300
11,2000-01-19,459,472,446,445,439500
12,2000-01-20,434,445,390,411,245800
13,2000-01-21,426,432,406,411,328900
14,2000-01-24,401,433,401,416,462900
15,2000-01-25,426,430,411,417,208600
16,2000-01-26,406,425,406,415,147200
17,2000-01-27,425,472,415,443,719200
18,2000-01-28,463,463,428,427,196500
19,2000-01-31,433,437,417,429,283900
20,2000-02-01,421,433,418,420,282900
21,2000-02-02,424,451,422,439,475600
22,2000-02-03,467,467,431,451,267100
23,2000-02-07,438,467,438,453,287000
24,2000-02-08,448,473,448,455,290200
25,2000-02-09,458,481,453,465,379100
26,2000-02-10,449,465,446,445,477800
27,2000-02-11,438,472,425,457,555800
28,2000-02-14,467,467,415,424,327100
29,2000-02-15,406,433,397,405,359400
30,2000-02-16,406,413,392,396,270500
31,2000-02-17,401,430,397,426,506800
32,2000-02-18,447,481,435,472,956900
33,2000-02-21,458,471,425,457,727600
34,2000-02-22,463,467,425,438,340100
35,2000-02-23,453,491,425,470,1347700
36,2000-02-24,481,491,461,479,835300
37,2000-02-25,486,486,464,467,522700
38,2000-02-28,467,537,458,501,1387500
39,2000-02-29,533,533,492,509,694800
40,2000-03-02,502,557,502,521,1272500
41,2000-03-03,530,543,501,520,831200
42,2000-03-06,538,598,529,597,1739700
43,2000-03-07,614,620,566,588,773200
44,2000-03-08,576,590,557,566,676100
45,2000-03-09,575,604,553,566,662800
46,2000-03-10,583,642,576,594,1527600
47,2000-03-13,614,680,600,660,1774300
48,2000-03-14,660,661,598,622,807100
49,2000-03-15,614,642,557,580,1624800
50,2000-03-16,606,623,538,538,1098000
51,2000-03-17,553,560,500,537,717000
52,2000-03-20,501,544,501,509,618700
53,2000-03-21,501,518,472,472,573600
54,2000-03-22,510,510,475,497,550200
55,2000-03-23,502,536,492,509,823700
56,2000-03-24,557,586,520,586,2023300
57,2000-03-27,614,622,566,566,1273100
58,2000-03-28,566,578,538,552,555000
59,2000-03-29,548,604,520,520,1299300
60,2000-03-30,522,547,486,498,602600
61,2000-03-31,498,518,489,509,415000
62,2000-04-03,512,512,464,472,374400
63,2000-04-04,464,486,463,472,453300
64,2000-04-06,457,467,448,448,253500
65,2000-04-07,459,471,453,462,215900
66,2000-04-10,470,489,467,476,563000
67,2000-04-11,486,486,436,443,381500
68,2000-04-12,452,463,442,448,232600
69,2000-04-14,448,491,440,490,503200
70,2000-04-17,439,463,434,461,579800
71,2000-04-18,473,519,463,500,617200
72,2000-04-19,505,533,486,486,486600
73,2000-04-20,491,500,471,481,157100
74,2000-04-21,491,491,467,472,353300
75,2000-04-24,475,500,472,472,347400
76,2000-04-25,467,475,456,456,229900
77,2000-04-26,464,481,442,443,229600
78,2000-04-27,444,444,411,415,177600
79,2000-04-28,417,444,416,439,219800
80,2000-05-02,445,472,444,454,350500
81,2000-05-03,459,467,449,458,322900
82,2000-05-04,459,519,457,486,700700
83,2000-05-08,529,529,491,504,557400
84,2000-05-09,505,505,475,481,208900
85,2000-05-10,465,500,465,500,138800
86,2000-05-12,475,565,475,510,1183600
87,2000-05-15,538,581,505,528,2835200
88,2000-05-16,548,557,477,482,884200
