,날짜,시가,고가,저가,종가,거래량
0,2007-12-14,17100,19650,17100,19650,3155717
1,2007-12-17,18550,20900,16750,16750,7352265
2,2007-12-18,16100,18150,14700,16700,3165908
3,2007-12-20,17550,17900,16050,16050,1036569
4,2007-12-21,16050,16700,15000,15300,1039316
5,2007-12-24,15400,16600,15050,16600,720316
6,2007-12-26,16600,16650,15850,16200,517312
7,2007-12-27,16250,16450,15750,16200,349553
8,2007-12-28,16050,16550,16050,16150,275263
9,2008-01-02,16150,16150,15300,15350,329185
10,2008-01-03,15000,15250,14750,14900,248723
11,2008-01-04,15050,15250,14650,14700,291522
12,2008-01-07,14100,14500,14000,14100,276819
13,2008-01-08,14300,15900,14300,14900,709652
14,2008-01-09,15100,15950,14950,15600,632113
15,2008-01-10,15900,15900,15000,15200,332186
16,2008-01-11,15300,15450,14450,14450,322303
17,2008-01-14,14450,14500,13350,13600,793433
18,2008-01-15,13850,13900,13300,13600,365983
19,2008-01-16,13300,13400,13000,13000,247607
20,2008-01-17,13200,13400,12350,12900,324563
21,2008-01-18,12550,13800,12550,13800,307400
22,2008-01-21,13800,13850,13000,13250,165495
23,2008-01-22,12750,13100,12400,12450,308420
24,2008-01-23,12900,13100,12600,13000,230023
25,2008-01-24,13400,14150,13200,13950,349005
26,2008-01-25,14150,14250,13700,14200,250797
27,2008-01-28,13900,14550,13800,13900,287842
28,2008-01-29,14500,14900,14100,14200,541496
29,2008-01-30,14500,14500,13100,13750,277332
30,2008-01-31,14000,14700,13500,14700,346827
31,2008-02-01,14900,15000,14450,14500,163383
32,2008-02-04,14500,14700,14200,14200,312036
33,2008-02-05,14300,14700,14000,14700,158482
34,2008-02-11,14300,14950,14300,14800,240606
35,2008-02-12,14950,15700,14800,15700,405927
36,2008-02-13,15800,15850,15300,15450,208482
37,2008-02-14,16000,16800,15450,16500,1399956
38,2008-02-15,16300,17050,16300,16800,749852
39,2008-02-18,17350,18900,17200,17500,1293775
40,2008-02-19,17800,17800,16850,17150,559767
41,2008-02-20,16850,17900,16600,17100,562953
42,2008-02-21,17250,17500,16300,16400,452300
43,2008-02-22,16100,16700,16100,16400,220335
44,2008-02-25,16550,16900,16350,16550,198759
45,2008-02-26,16900,17250,16650,16650,395740
46,2008-02-27,16900,17250,16100,16400,258121
47,2008-02-28,16500,16800,16200,16800,265487
48,2008-02-29,16800,17200,16750,16900,188348
49,2008-03-03,16500,16800,16450,16500,134548
50,2008-03-04,16800,18550,16700,18500,773062
51,2008-03-05,18500,18900,18000,18400,738943
52,2008-03-06,18650,19200,18400,19150,749467
53,2008-03-07,18800,19250,18650,19000,348698
54,2008-03-10,18700,18700,17350,17400,337755
55,2008-03-11,17300,18250,17300,18250,269883
56,2008-03-12,18800,18800,17700,17950,372022
57,2008-03-13,18100,18500,17150,17200,241643
58,2008-03-14,17550,17700,15700,16000,558424
59,2008-03-17,15600,16650,15100,16350,302908
60,2008-03-18,16650,16700,16300,16650,171091
61,2008-03-19,16900,17450,16900,17050,241921
62,2008-03-20,16700,17800,16700,17250,192324
63,2008-03-21,17700,17750,17250,17400,140702
64,2008-03-24,17650,17700,17300,17450,215081
65,2008-03-25,17700,18450,17500,17950,298176
66,2008-03-26,18500,18800,18250,18400,287260
67,2008-03-27,18500,18900,18250,18300,156641
68,2008-03-28,18100,18500,18000,18050,152334
69,2008-03-31,18000,18650,17800,18100,352046
70,2008-04-01,18100,18100,16900,16900,573758
71,2008-04-02,17250,17300,16650,16800,339828
72,2008-04-03,16700,17150,16700,17150,153163
73,2008-04-04,17300,17300,16600,16700,237114
74,2008-04-07,16800,17150,16800,16800,221467
75,2008-04-08,16750,17050,16600,16950,146183
76,2008-04-10,17000,17000,16700,16900,80327
77,2008-04-11,16950,17000,16650,16750,130725
78,2008-04-14,16600,16700,16400,16400,123197
79,2008-04-15,16300,17150,16200,17150,155485
80,2008-04-16,17250,18200,17000,17800,393870
81,2008-04-17,17900,18150,17500,17500,137857
82,2008-04-18,17750,17750,17400,17500,88401
83,2008-04-21,17800,17850,17200,17350,245453
84,2008-04-22,17450,17450,16900,17050,150557
85,2008-04-23,17000,17550,16750,16800,211647
86,2008-04-24,16850,17050,16650,16650,221029
87,2008-04-25,16750,17000,16700,16800,183228
88,2008-04-28,17000,17150,16800,16900,164581
89,2008-04-29,17050,17050,16750,16900,145457
90,2008-04-30,17050,17100,16800,17050,107431
91,2008-05-02,17250,17250,16900,16900,121894
92,2008-05-06,16800,18750,16800,18250,632242
93,2008-05-07,18600,18850,18250,18400,318561
94,2008-05-08,18350,20200,18050,19350,871717
95,2008-05-09,19500,21150,19400,21150,951254
96,2008-05-13,21750,21750,20650,21550,623496
97,2008-05-14,21600,21900,20800,21050,498588
98,2008-05-15,21450,24200,21400,24000,2065394
99,2008-05-16,22750,23550,20950,21800,1740609
100,2008-05-19,22400,23500,22000,22150,722737
101,2008-05-20,22400,22600,21250,22000,461774
102,2008-05-21,21600,22550,21000,21000,414866
103,2008-05-22,21100,22250,21100,21800,426285
104,2008-05-23,21850,22250,21250,21500,315353
105,2008-05-26,21200,21200,20150,20150,366469
106,2008-05-27,20500,21900,20300,21450,452170
107,2008-05-28,22350,22950,22050,22500,769907
108,2008-05-29,22500,22900,21450,21650,442655
109,2008-05-30,22000,22350,21450,22000,291849
110,2008-06-02,21250,21700,20600,21050,506558
111,2008-06-03,20900,21400,20450,20700,281217
112,2008-06-04,20500,20800,19550,20250,364095
113,2008-06-05,20400,21000,20300,20850,286666
114,2008-06-09,20200,21900,20200,21350,418106
115,2008-06-10,21500,21650,20850,21100,246336
116,2008-06-11,21350,21650,20950,21150,189676
117,2008-06-12,20650,20900,19900,20400,311398
118,2008-06-13,20550,20650,19900,20250,206296
119,2008-06-16,20500,20600,19800,20000,170910
120,2008-06-17,19800,19950,19150,19300,220061
121,2008-06-18,19400,20050,19300,20050,174556
122,2008-06-19,19800,20200,19350,19350,150241
123,2008-06-20,19550,20400,19500,20400,196723
124,2008-06-23,20350,20750,19900,20400,155697
125,2008-06-24,20500,20650,19800,20050,134965
126,2008-06-25,20050,20250,19750,19850,78356
127,2008-06-26,20000,20500,19750,20500,139804
128,2008-06-27,20100,20900,19800,20900,187117
129,2008-06-30,21000,21500,20600,21400,322951
130,2008-07-01,21400,21700,21150,21600,211367
131,2008-07-02,21800,22050,21250,21300,314102
132,2008-07-03,21050,21700,19950,21650,275668
133,2008-07-04,21800,21950,21050,21150,175308
134,2008-07-07,20650,21150,20200,20400,194454
135,2008-07-08,20300,20500,19650,20400,299915
136,2008-07-09,20700,21300,20600,20700,231981
137,2008-07-10,20300,21550,20300,21500,117542
138,2008-07-11,21700,22250,21450,21900,214428
139,2008-07-14,21900,22350,21500,21700,170852
140,2008-07-15,21700,21950,20850,21400,221376
141,2008-07-16,21400,23000,21250,23000,443208
142,2008-07-17,23350,24800,23250,24500,716760
143,2008-07-18,24950,24950,23600,23650,366985
144,2008-07-21,23700,24600,23050,23050,447212
145,2008-07-22,23200,23550,22650,22800,295202
146,2008-07-23,23350,24250,23250,24200,371259
147,2008-07-24,24500,25350,24350,24700,376197
148,2008-07-25,24500,24500,23550,23600,246131
149,2008-07-28,23700,24100,23300,24000,133426
150,2008-07-29,23600,25000,23500,25000,251413
151,2008-07-30,25300,25700,24700,24800,311938
152,2008-07-31,25200,25300,24550,24950,167532
153,2008-08-01,24900,25500,24650,25300,207397
154,2008-08-04,25300,25600,24350,25550,200861
