,날짜,시가,고가,저가,종가,거래량
0,2009-12-14,27000,31050,27000,31050,3861833
1,2009-12-15,31900,35050,30150,31700,4067595
2,2009-12-16,32150,32750,31350,31950,815744
3,2009-12-17,31700,33100,31500,32450,776968
4,2009-12-18,32150,33850,32150,33500,666739
5,2009-12-21,34200,36450,33850,36150,821025
6,2009-12-22,37800,41550,37100,41550,1554101
7,2009-12-23,42750,47750,42500,47750,1474584
8,2009-12-24,51100,54700,48050,49250,2035500
9,2009-12-28,56600,56600,56600,56600,68576
10,2009-12-29,61100,64900,57800,62300,2179387
11,2009-12-30,60700,61600,56200,57100,1533503
12,2010-01-04,55200,62200,52700,59400,2219720
13,2010-01-05,59000,62400,56500,56600,866838
14,2010-01-06,56500,62600,55000,60900,1770613
15,2010-01-07,61300,61600,58600,58600,556639
16,2010-01-08,60400,67300,59500,67300,1366725
17,2010-01-11,71200,77300,71000,74300,2193834
18,2010-01-12,73100,77100,69600,72500,2058270
19,2010-01-13,72400,82200,71400,75500,4142694
20,2010-01-14,77000,80500,76400,78300,2093977
21,2010-01-15,79600,79900,75800,76100,1010958
22,2010-01-18,80600,87500,80300,87500,1973112
23,2010-01-19,89100,91400,82700,86000,1851605
24,2010-01-20,88200,96400,86000,89300,1968563
25,2010-01-21,86300,89300,78300,84500,1165146
26,2010-01-22,81900,87500,81700,85400,656285
27,2010-01-25,85800,87800,73500,75500,843025
28,2010-01-26,76000,78600,64200,65800,1426384
29,2010-01-27,67400,71200,62800,69100,1290345
30,2010-01-28,70100,70600,63600,65600,698810
31,2010-01-29,63900,64500,58700,59000,618039
32,2010-02-01,59400,67800,59300,67800,1069994
33,2010-02-02,69200,70700,65400,66000,1227818
34,2010-02-03,67800,69000,66100,67000,371785
35,2010-02-04,68100,69400,66100,67600,359479
36,2010-02-05,63700,64900,62400,64000,366452
37,2010-02-08,64900,65300,61000,61600,257773
38,2010-02-09,61000,64400,60000,64400,417775
39,2010-02-10,65600,70400,65200,68000,1222109
40,2010-02-11,67500,69600,67400,68400,362123
41,2010-02-12,69600,74700,69000,74000,901655
42,2010-02-16,74000,77300,72800,75100,624639
43,2010-02-17,78000,83800,77700,79200,1171621
44,2010-02-18,80500,80600,77700,78500,473055
45,2010-02-19,78200,80500,77500,78800,520447
46,2010-02-22,81000,81000,78100,78600,311226
47,2010-02-23,78500,79700,77300,78300,229362
48,2010-02-24,77500,79500,76700,79500,290857
49,2010-02-25,80500,80600,77500,77600,254593
50,2010-02-26,77800,78600,76700,78000,148569
51,2010-03-02,78600,78600,75300,76000,279219
52,2010-03-03,78800,80100,76900,76900,523511
53,2010-03-04,79500,80200,77700,80200,496000
54,2010-03-05,80800,81400,79200,81400,422235
55,2010-03-08,81500,82000,80300,82000,308732
56,2010-03-09,83000,89100,82200,85800,1003489
57,2010-03-10,86300,87400,84600,86900,468168
58,2010-03-11,88100,88300,85500,85600,392177
59,2010-03-12,85100,86000,83000,83400,495443
60,2010-03-15,82400,82600,79300,80600,514708
61,2010-03-16,81000,81800,80500,81000,269113
62,2010-03-17,81100,81600,79800,81500,221765
63,2010-03-18,81500,84300,80600,83100,342979
64,2010-03-19,83900,83900,82300,82900,153870
65,2010-03-22,82600,82700,81000,81500,131943
66,2010-03-23,81800,82800,80900,80900,156509
67,2010-03-24,81200,81500,78100,78200,393155
68,2010-03-25,77600,81500,77100,80500,388916
69,2010-03-26,80900,81300,79100,79400,168705
70,2010-03-29,78100,79900,78100,78600,132177
71,2010-03-30,79500,81900,78700,80300,248687
72,2010-03-31,79300,79900,78000,78000,274495
73,2010-04-01,77600,79000,76500,77200,271136
74,2010-04-02,78000,78000,73100,73300,446335
75,2010-04-05,73700,74000,67700,70300,350085
76,2010-04-06,69800,72300,69700,71900,166680
77,2010-04-07,72300,72500,70200,70400,142590
78,2010-04-08,70600,71100,69400,70100,93686
79,2010-04-09,70200,70500,68300,70000,144817
80,2010-04-12,71000,75000,71000,75000,410434
81,2010-04-13,75500,75800,72600,73100,167534
82,2010-04-14,74800,75200,73100,73100,138524
83,2010-04-15,72900,73700,70800,71300,125124
84,2010-04-16,71300,71900,70300,71700,118670
85,2010-04-19,70100,70900,70000,70000,71363
86,2010-04-20,70200,71500,70100,71200,80353
87,2010-04-21,72100,72700,71700,72300,96198
88,2010-04-22,72400,72600,70900,71600,94188
89,2010-04-23,72000,73100,71800,72500,108489
90,2010-04-26,72600,72600,70900,71700,148643
91,2010-04-27,71200,79300,71200,78200,878356
92,2010-04-28,76800,83300,76200,80500,790219
93,2010-04-29,81500,83100,79100,80900,318876
94,2010-04-30,81500,81600,79800,81400,255711
95,2010-05-03,82000,84400,80900,83000,442521
96,2010-05-04,84200,85500,83100,85000,365309
97,2010-05-06,83200,85400,82200,85000,247832
