,날짜,시가,고가,저가,종가,거래량
0,2013-09-16,10368,11884,10270,11885,4475850
1,2013-09-17,12226,13547,12031,12667,6025312
2,2013-09-23,12520,12569,11835,11933,2573895
3,2013-09-24,12129,12520,11982,12520,1201249
4,2013-09-25,12520,14378,12226,13890,2703143
5,2013-09-26,14036,15943,13840,15944,3794032
6,2013-09-27,16237,17704,16237,17216,5496888
7,2013-09-30,16824,18046,16433,16629,2193206
8,2013-10-01,16628,16922,15601,15748,1775734
9,2013-10-02,15895,16530,15650,15895,1310678
10,2013-10-04,15650,15699,14232,14232,2154151
11,2013-10-07,14183,14867,14134,14526,1261962
12,2013-10-08,14770,14819,14232,14770,632052
13,2013-10-10,14623,15063,14427,14868,537448
14,2013-10-11,15161,15259,14476,14623,536308
15,2013-10-14,14574,14819,13987,14037,452362
16,2013-10-15,14036,14525,13987,14085,313123
17,2013-10-16,14085,14427,13547,13939,368673
18,2013-10-17,13938,14036,13009,13352,643720
19,2013-10-18,13254,14183,13009,14085,451921
20,2013-10-21,14183,14525,13889,14330,359018
21,2013-10-22,14281,14623,14134,14477,240704
22,2013-10-23,14574,15503,14574,14770,750263
23,2013-10-24,14965,15112,14525,15064,442142
24,2013-10-25,15161,15454,14867,15161,658191
25,2013-10-28,15650,16335,15259,15406,1027387
26,2013-10-29,15552,15748,15357,15699,317567
27,2013-10-30,15699,15797,15357,15455,293961
28,2013-10-31,14770,15014,13743,13743,2269085
29,2013-11-01,14183,14232,13596,13939,848061
30,2013-11-04,13938,14183,13694,13841,275067
31,2013-11-05,13889,13938,13302,13499,375827
32,2013-11-06,13351,13547,12862,13009,634277
33,2013-11-07,13107,13205,12618,12716,370911
34,2013-11-08,12716,12716,12324,12471,288054
35,2013-11-11,12520,12813,11933,11982,267929
36,2013-11-12,12129,12618,12031,12129,445066
37,2013-11-13,12226,12764,12080,12325,660864
38,2013-11-14,12275,12520,12129,12423,176024
39,2013-11-15,12422,12813,12178,12325,360394
40,2013-11-18,12324,12373,11835,11933,353143
41,2013-11-19,11982,12422,11786,11933,588739
42,2013-11-20,12031,13205,12031,13058,984662
43,2013-11-21,12960,13840,12911,13596,1119469
44,2013-11-22,13840,14036,13645,13841,459858
45,2013-11-25,13840,14183,13840,14085,274973
46,2013-11-26,13938,14281,13498,14232,433063
47,2013-11-27,14232,14378,13743,13939,292103
48,2013-11-28,13840,14134,13743,13743,255359
49,2013-11-29,13694,14134,13694,14085,198748
50,2013-12-02,15259,16139,15014,15993,2217416
51,2013-12-03,15992,16139,15650,16140,776832
52,2013-12-04,15846,16628,15846,16140,715194
53,2013-12-05,16139,16139,15503,15553,441934
54,2013-12-06,15650,16970,15454,16433,1148247
55,2013-12-09,16530,16628,16139,16188,378683
56,2013-12-10,16237,16384,15454,15797,653400
57,2013-12-11,15797,16579,15650,16335,536809
58,2013-12-12,16139,16384,15797,15846,379336
59,2013-12-13,15650,15797,13498,14477,3825970
60,2013-12-16,14378,14623,13889,14037,694062
61,2013-12-17,14232,14329,13645,13890,322244
62,2013-12-18,13743,15846,13743,15259,1437550
63,2013-12-19,15699,16090,15063,15406,597523
64,2013-12-20,15308,15503,14721,15210,552612
65,2013-12-23,15112,15748,15014,15553,491830
66,2013-12-24,15552,16286,15210,15455,460915
67,2013-12-26,15650,15699,14916,14917,288512
68,2013-12-27,15014,15846,14965,15650,601449
69,2013-12-30,15797,16481,15650,16042,464550
70,2014-01-02,16090,16481,15699,16091,512071
71,2014-01-03,16090,16530,15895,16433,465746
72,2014-01-06,16286,16530,16188,16433,372914
73,2014-01-07,16286,17068,16188,16873,635497
74,2014-01-08,16824,19367,16824,18878,2977513
75,2014-01-09,19171,20639,19025,19954,2232672
76,2014-01-10,19954,20932,19269,20737,1402530
77,2014-01-13,20541,21274,19758,20150,809812
78,2014-01-14,19954,21079,19856,20248,738137
79,2014-01-15,20345,21030,20101,21030,554304
80,2014-01-16,21030,21666,20639,20835,463908
81,2014-01-17,20834,20834,20198,20492,414015
82,2014-01-20,20296,20785,20101,20688,268083
83,2014-01-21,20834,20883,20052,20052,349574
84,2014-01-22,19856,21763,19465,21666,954959
85,2014-01-23,21715,22399,21519,21666,636740
86,2014-01-24,21372,23035,21372,22449,979266
87,2014-01-27,22008,22888,22008,22008,523240
88,2014-01-28,22008,22350,21177,21862,501668
89,2014-01-29,22057,22986,21910,22742,541745
90,2014-02-03,22497,23280,22497,22987,417682
91,2014-02-04,22693,23035,22057,22057,423004
92,2014-02-05,22448,22448,21421,21960,667935
93,2014-02-06,22350,23280,21323,21471,1089288
94,2014-02-07,21812,22155,21470,21715,446768
95,2014-02-10,21861,22008,21372,21715,640639
96,2014-02-11,21519,21617,20150,20199,1462266
97,2014-02-12,20443,20687,20052,20443,547445
98,2014-02-13,20394,20932,20345,20346,354167
99,2014-02-14,20492,20932,20345,20443,400781
100,2014-02-17,20541,21910,20541,21911,785870
101,2014-02-18,22057,22057,21323,21715,465847
102,2014-02-19,21617,22644,21225,22400,616004
103,2014-02-20,22301,22644,21910,21911,323758
104,2014-02-21,22204,22693,21861,22204,243443
105,2014-02-24,22008,22057,21177,21275,325371
106,2014-02-25,21421,21519,20492,20884,344414
107,2014-02-26,21079,21128,20541,20688,227975
108,2014-02-27,20736,20736,20003,20199,359811
109,2014-02-28,20394,20736,19954,20248,323526
110,2014-03-03,20003,20150,19563,19612,429669
111,2014-03-04,19563,20590,19465,20248,559955
112,2014-03-05,20541,20687,20150,20492,336769
113,2014-03-06,20492,20981,20296,20688,505790
114,2014-03-07,20834,20932,20492,20835,285827
115,2014-03-10,20932,20932,20003,20199,274029
