,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,6819,7198,6819,7004,545500
1,2000-01-05,6809,6809,6323,6518,687100
2,2000-01-06,6644,6712,5846,6022,701480
3,2000-01-07,5943,6216,5943,6031,675890
4,2000-01-10,6040,6459,5904,6080,662360
5,2000-01-11,6566,6614,6079,6469,1649540
6,2000-01-12,6332,6760,6186,6245,941910
7,2000-01-13,6225,6225,6031,6080,701860
8,2000-01-14,5846,6128,5642,5837,1035850
9,2000-01-17,5846,6021,5739,5817,733080
10,2000-01-18,5788,5895,5496,5642,724840
11,2000-01-19,5350,5544,4863,4913,804580
12,2000-01-20,4786,5077,4533,5058,1039850
13,2000-01-21,5350,5817,5107,5817,1460540
14,2000-01-24,6225,6293,5924,6012,2389820
15,2000-01-25,5972,6109,5690,5837,1021330
16,2000-01-26,5836,6002,5690,5691,547710
17,2000-01-27,5253,5885,5253,5710,857470
18,2000-01-28,5817,5924,5719,5739,791500
19,2000-01-31,5651,5749,5505,5730,614320
20,2000-02-01,5739,5826,5632,5739,663800
21,2000-02-02,5739,6468,5739,6226,1607920
22,2000-02-03,6225,6614,6128,6304,1261130
23,2000-02-07,6371,6391,6167,6167,814000
24,2000-02-08,6313,6410,5943,5983,688660
25,2000-02-09,5924,6079,5924,5992,666430
26,2000-02-10,5992,6031,5739,5876,782200
27,2000-02-11,5739,5933,5457,5457,469400
28,2000-02-14,5428,5593,5058,5058,563910
29,2000-02-15,5058,5204,4863,5068,505960
30,2000-02-16,5077,5233,4820,5127,522690
31,2000-02-17,5048,5340,4912,5156,955680
32,2000-02-18,5253,5321,4941,4981,1049200
33,2000-02-21,4679,4883,4620,4664,766030
34,2000-02-22,4620,4717,4163,4280,2433500
35,2000-02-23,4426,4922,4289,4689,1957940
36,2000-02-24,4572,4610,4328,4378,1044300
37,2000-02-25,4280,4455,4241,4378,740860
38,2000-02-28,4182,4348,4134,4193,598810
39,2000-02-29,4669,4756,4294,4378,892290
40,2000-03-02,4523,4523,4289,4465,991550
41,2000-03-03,4576,4815,4542,4728,1606150
42,2000-03-06,4766,5301,4766,5058,1404530
43,2000-03-07,4961,5048,4815,4903,825440
44,2000-03-08,4863,4961,4717,4932,748450
45,2000-03-09,4931,5058,4669,4669,991850
46,2000-03-10,4854,5107,4786,4913,1066340
47,2000-03-13,5019,5642,4912,5253,2365550
48,2000-03-14,5165,5321,4980,5029,736870
49,2000-03-15,5009,5223,4839,5156,912340
50,2000-03-16,5262,5437,4961,5058,1898750
51,2000-03-17,5155,5253,5077,5195,808110
52,2000-03-20,5262,5340,5087,5165,657930
53,2000-03-21,5165,5291,4970,5146,556050
54,2000-03-22,5243,5350,5194,5292,1176120
55,2000-03-23,5204,5253,5048,5068,423920
56,2000-03-24,5058,5194,4863,4961,502550
57,2000-03-27,4912,4961,4844,4893,577740
58,2000-03-28,4844,4863,4786,4864,492180
59,2000-03-29,4805,4815,4717,4723,445750
60,2000-03-30,4649,4824,4620,4815,414260
61,2000-03-31,4766,4805,4630,4650,239590
62,2000-04-03,4679,4805,4479,4485,585440
63,2000-04-04,4426,4601,4231,4387,395640
64,2000-04-06,4294,4372,4241,4241,267940
65,2000-04-07,4182,4362,4182,4329,356240
66,2000-04-10,4377,4766,4328,4572,917760
67,2000-04-11,4572,4620,4294,4295,309900
68,2000-04-12,4294,4377,4231,4275,324380
69,2000-04-14,4182,4231,4134,4163,249080
70,2000-04-17,3745,3949,3696,3706,406780
71,2000-04-18,3871,4163,3754,3838,354210
72,2000-04-19,3900,4114,3842,3891,894000
73,2000-04-20,3861,3930,3823,3891,247840
74,2000-04-21,3891,3973,3852,3915,324620
75,2000-04-24,3915,3915,3798,3813,375820
76,2000-04-25,3769,3769,3677,3682,435140
77,2000-04-26,3779,3784,3443,3463,460720
78,2000-04-27,3210,3399,3210,3283,410640
79,2000-04-28,3229,3453,3229,3449,575850
80,2000-05-02,3419,3545,3365,3473,489740
81,2000-05-03,3419,3453,3365,3453,253750
82,2000-05-04,3385,3433,3385,3410,182080
83,2000-05-08,3404,3521,3404,3478,329900
84,2000-05-09,3531,3759,3472,3628,1051970
85,2000-05-10,3793,3793,3521,3599,584220
86,2000-05-12,3521,3540,3375,3395,566130
87,2000-05-15,3317,3356,3015,3045,485830
88,2000-05-16,3044,3044,2874,2948,1066560
89,2000-05-17,2937,3015,2509,2529,744760
90,2000-05-18,2431,2723,2383,2675,838440
91,2000-05-19,2441,2723,2441,2675,1147740
92,2000-05-22,2772,2840,2577,2627,1056330
93,2000-05-23,2538,2665,2538,2578,376570
94,2000-05-24,2607,2913,2490,2850,911320
95,2000-05-25,2928,3263,2859,3176,1040350
96,2000-05-26,3015,3171,2869,2972,745340
97,2000-05-29,2821,3112,2782,3016,583250
98,2000-05-30,3015,3142,3015,3084,587400
99,2000-05-31,3122,3287,2966,2967,999860
100,2000-06-01,3249,3404,3073,3405,2016410
101,2000-06-02,3395,3570,3297,3366,1581620
102,2000-06-05,3521,3730,3463,3599,1645090
103,2000-06-07,3657,3871,3618,3697,1605180
104,2000-06-08,3745,3832,3414,3502,1630430
105,2000-06-09,3599,3633,3404,3517,1238350
106,2000-06-12,3550,3628,3463,3575,1225430
107,2000-06-13,3604,3618,3463,3521,1146910
108,2000-06-14,3550,3560,3365,3473,645770
109,2000-06-15,3502,3506,3093,3157,707320
110,2000-06-16,3161,3171,3015,3084,572650
111,2000-06-19,3083,3356,3015,3098,1196910
112,2000-06-20,3098,3195,3025,3103,1297270
113,2000-06-21,3151,3249,3112,3113,1317700
114,2000-06-22,3161,3307,3132,3171,2192790
115,2000-06-23,3180,3180,3064,3098,866080
116,2000-06-26,3054,3103,3035,3103,494770
117,2000-06-27,3132,3180,3122,3176,490570
118,2000-06-28,3205,3375,3171,3220,771950
119,2000-06-29,3229,3283,3093,3147,538910
120,2000-06-30,3142,3142,3064,3093,659710
121,2000-07-03,3161,3492,3161,3400,1945160
122,2000-07-04,3502,3521,3258,3327,1281800
123,2000-07-05,3346,3404,3215,3327,1096720
124,2000-07-06,3375,3823,3346,3823,3148770
125,2000-07-07,3959,4037,3823,3842,4402880
126,2000-07-10,3988,4129,3949,4018,2748630
127,2000-07-11,4066,4095,3842,3862,1884380
128,2000-07-12,3793,3920,3550,3677,1136130
129,2000-07-13,3677,3711,3565,3648,802330
130,2000-07-14,3647,3730,3599,3687,504470
131,2000-07-18,3686,4007,3599,3891,1480100
132,2000-07-19,3852,3939,3706,3881,879690
133,2000-07-20,3832,3866,3779,3842,562780
134,2000-07-21,3798,3988,3798,3988,699110
135,2000-07-24,3988,4037,3750,3799,1223120
136,2000-07-25,3798,3910,3647,3886,874860
137,2000-07-26,3886,3891,3754,3794,550150
138,2000-07-27,3793,3881,3647,3648,704260
139,2000-07-28,3647,3647,3356,3414,773770
140,2000-07-31,3414,3502,3224,3502,415720
141,2000-08-01,3502,3686,3424,3599,609450
142,2000-08-02,3599,3628,3502,3628,434920
143,2000-08-03,3628,3686,3506,3585,456440
144,2000-08-04,3584,3618,3453,3580,336490
145,2000-08-07,3579,3579,3185,3497,314240
146,2000-08-08,3497,3531,3433,3444,277690
147,2000-08-09,3443,3502,3414,3473,386640
148,2000-08-10,3502,3531,3472,3512,307750
149,2000-08-11,3511,3565,3463,3565,427410
150,2000-08-14,3565,3686,3565,3609,408030
151,2000-08-16,3618,3691,3565,3692,444840
152,2000-08-17,3691,3691,3584,3619,273190
153,2000-08-18,3618,3667,3574,3590,274280
154,2000-08-21,3589,3618,3540,3560,209100
155,2000-08-22,3565,3599,3560,3580,157370
156,2000-08-23,3579,3677,3521,3677,272760
157,2000-08-24,3677,3677,3531,3585,243830
158,2000-08-25,3584,3647,3531,3648,229950
159,2000-08-28,3599,3599,3560,3585,108120
160,2000-08-29,3599,3633,3565,3628,186330
161,2000-08-30,3599,3628,3574,3580,110410
162,2000-08-31,3506,3545,3336,3405,172070
163,2000-09-01,3414,3453,3356,3414,109680
164,2000-09-04,3433,3433,3375,3414,168490
165,2000-09-05,3399,3453,3346,3453,106640
166,2000-09-06,3375,3453,3356,3356,91520
167,2000-09-07,3356,3365,3210,3254,314150
168,2000-09-08,3253,3268,3161,3162,255060
169,2000-09-14,3161,3180,3025,3084,297450
170,2000-09-15,3112,3146,3035,3069,292930
171,2000-09-18,3069,3073,2801,2821,260840
172,2000-09-19,2821,2884,2821,2826,327400
173,2000-09-20,2947,2947,2850,2923,180610
174,2000-09-21,2928,2976,2821,2977,374060
175,2000-09-22,2976,2976,2840,2865,94220
176,2000-09-25,2869,3083,2869,3050,223270
177,2000-09-26,3001,3030,2869,2918,246120
178,2000-09-27,2952,3035,2869,2952,555690
179,2000-09-28,2986,3185,2966,3035,1087840
180,2000-09-29,3219,3229,2996,2996,635920
181,2000-10-02,3015,3015,2913,2918,292440
182,2000-10-04,2918,2966,2869,2967,331830
183,2000-10-05,2986,2996,2937,2962,402670
184,2000-10-06,2966,2966,2908,2943,437200
185,2000-10-09,2942,2966,2879,2909,561880
186,2000-10-10,2821,2908,2821,2875,145590
187,2000-10-11,2874,2889,2757,2816,556130
188,2000-10-12,2816,2840,2728,2729,430990
189,2000-10-13,2728,2738,2597,2670,335920
190,2000-10-16,2772,2821,2670,2685,412220
191,2000-10-17,2665,2680,2402,2403,194640
192,2000-10-18,2310,2402,2286,2383,237480
193,2000-10-19,2324,2461,2310,2325,360590
194,2000-10-20,2422,2456,2373,2383,285430
195,2000-10-23,2393,2431,2286,2305,231670
196,2000-10-24,2324,2363,2261,2344,162870
197,2000-10-25,2344,2344,2281,2315,223720
198,2000-10-26,2286,2290,2237,2271,195860
199,2000-10-27,2266,2305,2242,2252,214720
200,2000-10-30,2251,2286,2213,2218,138840
201,2000-10-31,2208,2208,2120,2135,168850
202,2000-11-01,2217,2451,2159,2451,614730
203,2000-11-02,2480,2504,2383,2437,567590
204,2000-11-03,2441,2543,2397,2437,331850
205,2000-11-06,2436,2675,2436,2607,449770
206,2000-11-07,2577,2665,2509,2519,220000
207,2000-11-08,2480,2543,2417,2456,250040
208,2000-11-09,2436,2436,2363,2432,208480
209,2000-11-10,2480,2524,2397,2515,262510
210,2000-11-13,2529,2529,2402,2427,216930
211,2000-11-14,2441,2548,2427,2549,282630
212,2000-11-15,2529,2675,2529,2554,375380
213,2000-11-16,2524,2582,2446,2461,165490
214,2000-11-17,2431,2504,2431,2432,173350
215,2000-11-20,2480,2796,2422,2797,1839330
216,2000-11-21,2811,2937,2470,2510,2219330
217,2000-11-22,2451,2480,2339,2354,517880
218,2000-11-23,2315,2315,2237,2237,279090
219,2000-11-24,2203,2305,2203,2305,222740
220,2000-11-27,2324,2383,2324,2364,249900
221,2000-11-28,2383,2412,2266,2281,231050
222,2000-11-29,2281,2305,2193,2208,286190
223,2000-11-30,2232,2232,2140,2189,179660
224,2000-12-01,2140,2276,2120,2271,185590
225,2000-12-04,2271,2286,2208,2218,181420
226,2000-12-05,2217,2271,2217,2262,142830
227,2000-12-06,2305,2334,2227,2286,538030
228,2000-12-07,2237,2251,2193,2208,297570
229,2000-12-08,2217,2266,2208,2257,395350
230,2000-12-11,2276,2305,2251,2267,703170
231,2000-12-12,2286,2286,2149,2155,729650
232,2000-12-13,2169,2217,2149,2218,429820
233,2000-12-14,2169,2286,2169,2218,542950
234,2000-12-15,2237,2344,2217,2281,628680
235,2000-12-18,2324,2495,2281,2383,912020
236,2000-12-19,2393,2461,2388,2422,1150940
237,2000-12-20,2412,2451,2349,2403,736260
238,2000-12-21,2339,2500,2339,2490,3436270
239,2000-12-22,2451,2577,2451,2578,2024910
240,2000-12-26,2573,2714,2573,2714,1910550
241,2001-01-02,2577,2626,2431,2554,365940
242,2001-01-03,2558,2558,2349,2412,495890
243,2001-01-04,2607,2772,2543,2772,871650
