,날짜,시가,고가,저가,종가,거래량
0,2010-03-17,8700,9130,8600,8850,65612507
1,2010-03-18,8900,8910,8470,8470,22078883
2,2010-03-19,8510,8640,8470,8590,10578979
3,2010-03-22,8590,8720,8550,8550,6835308
4,2010-03-23,8600,8620,8390,8410,9618947
5,2010-03-24,8480,8490,8320,8350,7249424
6,2010-03-25,8290,8460,8210,8410,8292080
7,2010-03-26,8420,8730,8420,8700,11233047
8,2010-03-29,8630,8830,8560,8690,7370602
9,2010-03-30,8800,9000,8750,8970,19563409
10,2010-03-31,9000,9000,8750,8760,5685712
11,2010-04-01,8860,8930,8730,8750,5227082
12,2010-04-02,8780,8790,8510,8520,6248447
13,2010-04-05,8570,8670,8430,8580,3641850
14,2010-04-06,8600,8620,8430,8440,3318613
15,2010-04-07,8450,8600,8450,8550,2534373
16,2010-04-08,8580,8590,8480,8510,3058990
17,2010-04-09,8510,8540,8330,8350,4598962
18,2010-04-12,8360,8370,8250,8260,4017776
19,2010-04-13,8320,8400,8260,8400,3174446
20,2010-04-14,8450,8830,8410,8830,10408474
21,2010-04-15,8900,9030,8750,8880,12553878
22,2010-04-16,8910,8920,8650,8750,4032419
23,2010-04-19,8610,8640,8540,8570,2693214
24,2010-04-20,8610,8710,8550,8600,2214358
25,2010-04-21,8660,8940,8620,8930,5889371
26,2010-04-22,8890,9100,8780,9100,7039165
27,2010-04-23,9150,9630,9140,9420,10514024
28,2010-04-26,9590,9840,9440,9550,10123044
29,2010-04-27,9580,9620,9220,9240,6080970
30,2010-04-28,9010,9440,8960,9330,4860778
31,2010-04-29,9320,9440,9100,9110,2858546
32,2010-04-30,9300,9440,9170,9190,3879104
33,2010-05-03,9200,9270,8940,8980,3440562
34,2010-05-04,9070,9300,9070,9190,2976958
35,2010-05-06,9000,9160,8970,9040,3129943
36,2010-05-07,8770,8790,8550,8620,4826879
37,2010-05-10,8750,8800,8580,8610,3443283
38,2010-05-11,8800,9020,8720,8950,4686457
39,2010-05-12,8900,8920,8380,8400,10365647
40,2010-05-13,8540,8810,8460,8780,7257154
41,2010-05-14,8730,8820,8590,8720,3922176
42,2010-05-17,8580,8640,8310,8360,3912184
43,2010-05-18,8410,8410,8030,8190,5235867
44,2010-05-19,8100,8140,7980,8000,4737710
