,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,7805,8256,7805,8101,353770
1,2000-01-05,7798,7970,7537,7789,376680
2,2000-01-06,7799,7850,7364,7451,281520
3,2000-01-07,7364,7703,7364,7451,331340
4,2000-01-10,7546,7702,7451,7469,279090
5,2000-01-11,7312,7771,7312,7755,291590
6,2000-01-12,7710,7884,7546,7667,270200
7,2000-01-13,7659,8126,7104,7442,665710
8,2000-01-14,7615,7693,7191,7365,419290
9,2000-01-17,7416,7451,7104,7104,344620
10,2000-01-18,7061,7061,6558,6558,842100
11,2000-01-19,6325,6403,5596,5632,641280
12,2000-01-20,5545,5908,5068,5276,750800
13,2000-01-21,5284,6030,5033,5891,1122860
14,2000-01-24,5935,6151,5726,5796,635110
15,2000-01-25,5545,5631,5371,5372,434650
16,2000-01-26,5414,5561,5284,5372,253790
17,2000-01-27,5371,5882,5302,5883,604670
18,2000-01-28,5865,6194,5805,5883,485190
19,2000-01-31,5717,6125,5631,5891,597230
20,2000-02-01,5891,6038,5735,5953,385350
21,2000-02-02,6064,6844,6038,6844,920170
22,2000-02-03,7321,7866,7208,7867,2251320
23,2000-02-07,8222,8577,7719,7893,1782500
24,2000-02-08,7805,7884,7200,7460,455790
25,2000-02-09,7581,7693,7017,7061,422900
26,2000-02-10,6515,6784,6515,6672,426840
27,2000-02-11,6671,7433,6593,6932,518550
28,2000-02-14,7017,7537,7017,7200,897830
29,2000-02-15,7442,7442,6714,6802,244060
30,2000-02-16,6758,7052,6238,6836,212200
31,2000-02-17,6324,7147,6324,6844,278180
32,2000-02-18,6844,6844,6238,6498,477190
33,2000-02-21,6151,6411,5822,5891,313720
34,2000-02-22,5675,6133,5675,5805,255230
35,2000-02-23,6238,6584,5847,6239,365670
36,2000-02-24,6238,6324,5977,6030,208550
37,2000-02-25,6064,6186,5891,6021,247600
38,2000-02-28,5371,5847,5371,5770,326360
39,2000-02-29,5761,5977,5371,5632,478360
40,2000-03-02,5805,5935,5579,5632,679650
41,2000-03-03,5717,5856,5631,5814,664630
42,2000-03-06,6151,6671,6064,6637,887760
43,2000-03-07,6584,7104,6324,6776,1282270
44,2000-03-08,6498,7105,6368,6749,1118020
45,2000-03-09,7104,7277,6584,6932,1204470
