,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,377802,414919,377802,414919,57449
1,2000-01-05,404315,420884,387744,410943,61050
2,2000-01-06,417571,420885,378466,379791,33212
3,2000-01-07,385092,397023,383105,384430,32570
4,2000-01-10,404316,404316,385757,386419,32581
5,2000-01-11,386419,395698,377802,378465,34125
6,2000-01-12,371174,371174,363883,364546,33501
7,2000-01-13,359906,370511,357917,358580,30157
8,2000-01-14,358581,367861,358581,359244,30644
9,2000-01-17,360570,363221,355267,355930,30264
10,2000-01-18,357917,359244,347976,349301,28455
11,2000-01-19,342673,347976,331405,331405,57082
12,2000-01-20,330742,331405,306218,321463,35498
13,2000-01-21,318150,341349,308871,320801,61530
14,2000-01-24,318150,330743,316161,319144,39620
15,2000-01-25,322126,334719,318812,322789,48003
16,2000-01-26,326103,353941,324777,339359,83031
17,2000-01-27,344662,384431,338035,367861,101960
18,2000-01-28,368524,376478,347976,347976,65579
19,2000-01-31,341348,371174,339359,354604,98317
20,2000-02-01,371174,371174,351289,351953,41879
21,2000-02-02,351953,357918,347976,353941,56162
22,2000-02-03,356593,360570,348639,350627,40105
23,2000-02-07,350627,357255,342010,345987,64210
24,2000-02-08,344663,347977,338035,338034,37221
25,2000-02-09,338034,342673,330080,331405,44983
26,2000-02-10,325440,326766,321463,321463,41326
27,2000-02-11,318149,320800,310195,310858,49353
28,2000-02-14,304893,308208,298265,300254,43907
29,2000-02-15,294951,304893,292300,293626,47856
30,2000-02-16,298264,312846,288323,298265,48223
31,2000-02-17,294951,297935,288323,291637,37763
32,2000-02-18,291637,291637,278382,278381,46866
33,2000-02-21,266451,271753,256177,258497,39336
34,2000-02-22,249218,264793,245904,256840,46838
35,2000-02-23,262143,295283,259822,295283,70754
36,2000-02-24,290975,290975,265457,270427,55968
37,2000-02-25,265787,280369,258497,270427,42598
38,2000-02-28,258828,267776,255514,258497,38044
39,2000-02-29,264462,268439,257171,261148,36462
40,2000-03-02,265456,268438,258827,264130,49611
41,2000-03-03,270428,270428,257503,258497,35408
