,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,723,782,712,774,738670
1,2000-01-05,751,768,734,751,413150
2,2000-01-06,763,763,686,703,270110
3,2000-01-07,689,717,672,686,452730
4,2000-01-10,695,729,686,720,737440
5,2000-01-11,708,725,694,714,515520
6,2000-01-12,714,714,674,680,423660
7,2000-01-13,680,694,668,680,375290
8,2000-01-14,689,692,638,652,718140
9,2000-01-17,668,671,629,646,470540
10,2000-01-18,665,665,609,626,862030
11,2000-01-19,567,604,550,567,944650
12,2000-01-20,555,558,510,527,755270
13,2000-01-21,524,566,510,549,1274220
14,2000-01-24,531,581,528,564,1692840
15,2000-01-25,555,572,532,538,598540
16,2000-01-26,542,546,519,537,638840
17,2000-01-27,539,587,528,567,1473480
18,2000-01-28,581,581,553,567,662770
19,2000-01-31,549,589,544,575,1165240
20,2000-02-01,587,604,570,584,842050
21,2000-02-02,576,666,570,669,2365330
22,2000-02-03,678,723,655,666,2355930
23,2000-02-07,702,702,665,680,769180
24,2000-02-08,680,680,646,657,387840
25,2000-02-09,669,675,610,621,484730
26,2000-02-10,595,606,572,578,561070
27,2000-02-11,564,587,543,547,699060
28,2000-02-14,536,559,501,504,1048790
29,2000-02-15,515,524,499,507,421670
30,2000-02-16,516,522,487,511,331970
31,2000-02-17,487,519,487,519,370000
32,2000-02-18,512,515,499,506,342180
33,2000-02-21,493,498,459,459,346260
34,2000-02-22,453,476,428,470,408760
35,2000-02-23,479,530,468,499,945150
36,2000-02-24,474,481,457,462,355220
37,2000-02-25,459,475,442,460,479230
38,2000-02-28,442,476,439,453,680640
39,2000-02-29,462,467,438,447,406730
40,2000-03-02,471,471,446,460,717550
41,2000-03-03,462,462,434,445,372170
42,2000-03-06,453,511,447,511,1326870
43,2000-03-07,509,519,485,516,1220830
44,2000-03-08,515,561,505,527,1146920
45,2000-03-09,544,581,536,547,1602840
46,2000-03-10,558,559,521,533,630560
47,2000-03-13,538,554,521,527,712250
48,2000-03-14,527,546,498,543,670770
49,2000-03-15,536,549,514,547,682320
50,2000-03-16,547,553,514,519,368350
51,2000-03-17,542,547,515,519,411140
52,2000-03-20,516,524,497,504,709990
53,2000-03-21,507,507,483,487,423030
54,2000-03-22,481,534,478,509,1044330
55,2000-03-23,510,515,473,510,830760
56,2000-03-24,493,498,487,487,412110
57,2000-03-27,481,487,471,473,601340
58,2000-03-28,475,479,459,466,449650
59,2000-03-29,459,487,459,476,843900
60,2000-03-30,474,494,471,484,762760
61,2000-03-31,479,493,467,482,419780
62,2000-04-03,492,505,459,462,1149020
63,2000-04-04,473,478,439,453,561220
