,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,5850,6610,5850,6610,922410
1,2000-01-05,6700,7400,6520,7100,3416330
2,2000-01-06,7000,7090,6400,6540,1237120
3,2000-01-07,6650,6840,6520,6520,994920
4,2000-01-10,6600,6770,6250,6280,1078790
5,2000-01-11,6100,6480,6100,6300,1280430
6,2000-01-12,6300,6400,6150,6180,750580
7,2000-01-13,6310,6640,6150,6350,1179840
8,2000-01-14,6500,6570,6110,6170,860060
9,2000-01-17,6170,6250,6010,6100,802310
10,2000-01-18,6200,6250,5940,6000,1115450
11,2000-01-19,5990,5990,5610,5610,1103310
12,2000-01-20,5600,5600,5120,5450,928110
13,2000-01-21,5280,5930,5150,5580,1442910
14,2000-01-24,5510,5950,5400,5750,1297280
15,2000-01-25,5780,5780,5410,5410,735000
16,2000-01-26,5500,5680,5360,5530,800950
17,2000-01-27,5650,6270,5610,6200,2214870
18,2000-01-28,6150,6200,5910,6030,1295440
19,2000-01-31,6020,6390,5900,6230,1607340
20,2000-02-01,6300,6390,6050,6100,1127480
21,2000-02-02,6140,6690,6020,6490,2353980
22,2000-02-03,6600,6640,6370,6450,1621350
23,2000-02-07,6500,6600,6380,6500,1601090
24,2000-02-08,6610,6940,6520,6590,1761740
25,2000-02-09,6500,6620,6110,6140,1144410
26,2000-02-10,5980,6000,5650,5650,1342550
27,2000-02-11,5550,5850,5500,5500,1099240
28,2000-02-14,5400,5440,5100,5100,1170180
29,2000-02-15,5000,5340,4920,5090,1053140
30,2000-02-16,5150,5280,5000,5150,906080
31,2000-02-17,5150,5240,5000,5150,970080
32,2000-02-18,5150,5150,4890,4900,1424860
33,2000-02-21,4655,4800,4210,4400,1578690
34,2000-02-22,4220,4350,4030,4150,2118010
35,2000-02-23,4350,4770,4165,4700,2117530
36,2000-02-24,4400,4580,4250,4250,1077360
37,2000-02-25,4100,4480,4060,4300,1474880
38,2000-02-28,4060,4200,4060,4065,1050910
39,2000-02-29,4115,4290,4000,4070,1647750
40,2000-03-02,4180,4340,4100,4245,1840480
41,2000-03-03,4300,4330,4075,4090,1464360
42,2000-03-06,4195,4700,4110,4700,3094660
43,2000-03-07,4900,5130,4700,4760,2714590
44,2000-03-08,4510,4990,4370,4890,1871820
45,2000-03-09,4900,5000,4725,4810,1530370
46,2000-03-10,4710,4950,4550,4555,1271960
47,2000-03-13,4550,4550,4315,4330,1231310
48,2000-03-14,4380,4460,4280,4310,891110
49,2000-03-15,4320,4640,4320,4350,1218710
50,2000-03-16,4510,4600,4300,4350,827590
51,2000-03-17,4470,4630,4410,4480,1331240
52,2000-03-20,4500,4640,4400,4465,1128690
53,2000-03-21,4400,4430,4300,4345,780750
54,2000-03-22,4350,4530,4330,4445,1172340
55,2000-03-23,4520,4920,4500,4750,3351550
56,2000-03-24,4750,4800,4560,4600,1106800
57,2000-03-27,4500,4500,4350,4400,1587540
58,2000-03-28,4400,4450,4350,4350,1250430
59,2000-03-29,4350,4400,4170,4180,1443250
60,2000-03-30,4210,4260,4120,4170,1029710
61,2000-03-31,4160,4160,4070,4070,827060
62,2000-04-03,4070,4155,3960,3975,867260
63,2000-04-04,4120,4150,4010,4095,842920
64,2000-04-06,4010,4090,3945,3970,726700
65,2000-04-07,3910,4055,3910,3970,888500
66,2000-04-10,4010,4380,4010,4160,2035770
67,2000-04-11,4160,4160,3965,3985,820450
68,2000-04-12,3995,4020,3910,3970,726750
69,2000-04-14,3900,3950,3865,3915,510130
70,2000-04-17,4130,4500,4010,4500,6564420
71,2000-04-18,4795,5160,4615,4730,10409410
72,2000-04-19,4750,4830,4550,4560,5284750
73,2000-04-20,4700,5240,4520,5240,9376870
74,2000-04-21,5350,5540,5100,5160,9585720
75,2000-04-24,5060,5160,4685,4685,4093310
76,2000-04-25,4610,4720,4380,4670,4872780
77,2000-04-26,4735,4800,3970,4065,5680410
78,2000-04-27,4050,4140,3460,3970,4616920
79,2000-04-28,4050,4440,4030,4150,4401240
80,2000-05-02,4050,4240,3940,4050,3076300
81,2000-05-03,4090,4150,3980,4020,2168170
82,2000-05-04,4025,4220,4000,4020,2422950
83,2000-05-08,4100,4130,4005,4020,1590210
84,2000-05-09,4020,4170,3950,4110,1917140
85,2000-05-10,4015,4145,4000,4020,1141490
86,2000-05-12,4050,4060,3920,3925,1012180
87,2000-05-15,3850,3900,3580,3605,1199090
88,2000-05-16,3645,3820,3600,3800,1112530
89,2000-05-17,3820,3950,3510,3600,729000
90,2000-05-18,3600,3620,3310,3405,679600
91,2000-05-19,3350,3400,3210,3350,596990
92,2000-05-22,3350,3350,3110,3110,556380
93,2000-05-23,3010,3385,3010,3120,1461200
94,2000-05-24,3120,3530,3055,3435,1651880
95,2000-05-25,3525,3930,3500,3795,1712520
96,2000-05-26,3610,3690,3230,3230,1610670
97,2000-05-29,2760,3300,2750,3100,2437450
98,2000-05-30,3330,3530,3185,3480,2361830
99,2000-05-31,3475,4000,3320,3770,6485420
100,2000-06-01,3540,3790,3460,3560,2613970
101,2000-06-02,3630,4090,3600,4090,6083070
102,2000-06-05,4290,4700,4200,4700,9555880
103,2000-06-07,4560,4850,4465,4700,2702340
104,2000-06-08,4690,4830,4550,4700,2501100
105,2000-06-09,4700,5180,4600,4950,2767190
106,2000-06-12,4900,5690,4900,5300,6197930
107,2000-06-13,5010,5240,4930,5070,1824680
108,2000-06-14,5070,5500,4990,5500,1999430
109,2000-06-15,5290,5500,4990,5500,1663400
110,2000-06-16,5310,6000,5150,5410,3288760
111,2000-06-19,5220,5600,5190,5490,1821990
112,2000-06-20,5480,6140,5300,5300,3832380
113,2000-06-21,5250,5360,5100,5100,959130
114,2000-06-22,5080,5260,4930,4960,872890
115,2000-06-23,5020,5100,4920,5020,597810
116,2000-06-26,5040,5390,5040,5250,835510
117,2000-06-27,5380,5400,5180,5200,671430
118,2000-06-28,5190,5190,5100,5130,904950
119,2000-06-29,4850,4990,4710,4800,1409760
120,2000-06-30,4830,5090,4775,5090,683690
121,2000-07-03,5100,5150,4990,5000,644040
122,2000-07-04,4900,5030,4850,4900,344170
123,2000-07-05,4810,4980,4810,4950,554930
124,2000-07-06,4980,5420,4930,5360,1579600
125,2000-07-07,5450,5860,5370,5570,2563940
126,2000-07-10,5860,5890,5370,5420,1086620
127,2000-07-11,5500,5970,5400,5520,2331010
128,2000-07-12,5610,5750,5350,5550,1108910
129,2000-07-13,5500,5730,5400,5730,895210
130,2000-07-14,5630,5850,5560,5700,730660
131,2000-07-18,5560,5700,5100,5230,802170
132,2000-07-19,5160,5400,5110,5400,707350
133,2000-07-20,5250,5520,5200,5390,631550
134,2000-07-21,5390,5520,5310,5410,305110
135,2000-07-24,5210,5380,5050,5090,459250
136,2000-07-25,5010,5080,4510,5000,557000
137,2000-07-26,4990,5040,4600,5000,742250
138,2000-07-27,5000,5190,4850,5150,351270
139,2000-07-28,5010,5240,5010,5230,480190
140,2000-07-31,5230,5410,5180,5390,384040
141,2000-08-01,5450,5560,5320,5550,592140
142,2000-08-02,5500,5590,5410,5500,376080
143,2000-08-03,5510,5580,5360,5500,327720
144,2000-08-04,5500,5500,5310,5480,283150
145,2000-08-07,5360,5360,5100,5220,296210
146,2000-08-08,5220,5340,5220,5300,280540
147,2000-08-09,5310,5730,5310,5400,1548380
148,2000-08-10,5400,5480,5350,5480,525030
149,2000-08-11,5550,5760,5400,5460,847810
150,2000-08-14,5790,5990,5600,5710,854690
151,2000-08-16,5840,5850,5560,5600,525390
152,2000-08-17,5450,5890,5400,5800,1649870
153,2000-08-18,5800,6190,5720,6140,1860340
154,2000-08-21,6200,6400,6050,6200,1578880
155,2000-08-22,6230,6230,6010,6030,874120
156,2000-08-23,6030,6100,5850,5890,952430
