,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,4078,4268,3988,4201,200150
1,2000-01-05,4160,4241,4079,4115,203090
2,2000-01-06,4205,4205,3902,3916,193660
3,2000-01-07,3961,4006,3888,3988,81620
4,2000-01-10,3988,4124,3979,4038,118040
5,2000-01-11,3956,4038,3843,3920,141700
6,2000-01-12,3830,3844,3663,3663,117200
7,2000-01-13,3622,3671,3535,3549,111660
8,2000-01-14,3577,3821,3549,3708,193540
9,2000-01-17,3929,3974,3707,3726,228170
10,2000-01-18,3725,3793,3553,3690,101010
11,2000-01-19,3622,3843,3549,3572,246950
12,2000-01-20,3608,4092,3414,3748,224420
13,2000-01-21,3748,3924,3662,3757,411220
14,2000-01-24,3716,4024,3716,4024,504550
15,2000-01-25,4024,4422,4024,4160,645280
16,2000-01-26,4137,4273,4074,4273,246160
17,2000-01-27,4246,4522,4228,4513,289990
18,2000-01-28,4476,4612,4332,4476,175440
19,2000-01-31,4341,4612,4341,4567,174180
20,2000-02-01,4567,4680,4545,4567,141200
21,2000-02-02,4657,4657,4499,4522,238790
22,2000-02-03,4522,4612,4476,4612,292840
23,2000-02-07,4657,4657,4440,4440,95540
24,2000-02-08,4295,4453,4205,4246,148100
25,2000-02-09,4079,4205,3889,3889,113810
26,2000-02-10,3776,3844,3663,3672,163990
27,2000-02-11,3672,3744,3627,3681,111780
28,2000-02-14,3613,3685,3526,3572,72310
29,2000-02-15,3459,3649,3459,3572,61720
30,2000-02-16,3707,3757,3526,3572,68500
31,2000-02-17,3522,3653,3481,3504,56940
32,2000-02-18,3486,3526,3300,3328,111860
33,2000-02-21,3255,3323,3034,3102,102890
34,2000-02-22,3030,3143,2939,2984,230570
35,2000-02-23,3074,3427,3029,3278,235490
36,2000-02-24,3210,3323,3029,3075,112120
37,2000-02-25,3075,3287,2975,3188,245170
38,2000-02-28,3016,3165,3016,3039,75820
39,2000-02-29,3301,3301,3052,3129,121520
40,2000-03-02,3174,3296,3088,3188,107890
41,2000-03-03,3165,3251,3102,3125,102240
42,2000-03-06,3206,3455,3165,3455,169100
