,날짜,시가,고가,저가,종가,거래량
0,2002-11-25,29500,29900,27100,28600,4018662
1,2002-11-26,28800,29500,28100,29000,628567
2,2002-11-27,28700,28950,27900,28650,494132
3,2002-11-28,28650,29200,28100,28650,528764
4,2002-11-29,28550,29700,28550,29700,528838
5,2002-12-02,30150,30150,29000,29150,345866
6,2002-12-03,29400,29650,29100,29500,276740
7,2002-12-04,29100,29200,28500,28750,299760
8,2002-12-05,28750,28900,28400,28900,120696
9,2002-12-06,28300,28850,28200,28200,110996
10,2002-12-09,28000,28500,27100,28000,176650
11,2002-12-10,27100,27600,27100,27500,247690
12,2002-12-11,27000,27600,26600,27000,194336
13,2002-12-12,26700,26850,26250,26450,220413
14,2002-12-13,26100,26200,24900,25100,302994
15,2002-12-16,24450,24700,22850,22900,328068
16,2002-12-17,23400,23700,22850,23000,288789
17,2002-12-18,22500,23300,22400,22500,318430
18,2002-12-20,21850,22750,21250,22700,471490
19,2002-12-23,22300,23200,21850,22000,469396
20,2002-12-24,21600,22300,20550,20700,304328
21,2002-12-26,20550,20700,19950,20550,204942
22,2002-12-27,19800,20600,19400,19400,210692
23,2002-12-30,19050,19100,17600,19100,393280
24,2003-01-02,18900,20000,18600,20000,310862
25,2003-01-03,20100,21050,20050,20050,377936
26,2003-01-06,20250,20250,19050,19350,225245
27,2003-01-07,19800,19800,18450,18800,205200
28,2003-01-08,18600,18800,18100,18250,157114
29,2003-01-09,17750,18600,17600,18500,154790
30,2003-01-10,18500,18900,16800,17050,536002
31,2003-01-13,16750,17450,16750,17400,244158
32,2003-01-14,17250,19900,17250,19400,666167
33,2003-01-15,19600,19900,19100,19800,282587
34,2003-01-16,19200,21450,19200,20900,839927
35,2003-01-17,21000,21800,20450,21100,457200
36,2003-01-20,21100,22200,20900,21800,431961
37,2003-01-21,22000,22200,21100,21300,192486
38,2003-01-22,20550,22000,20300,20600,157887
39,2003-01-23,20550,20700,19750,20600,216639
40,2003-01-24,20400,21300,20350,20650,231074
41,2003-01-27,20200,20550,19900,20550,241089
42,2003-01-28,20550,21100,20200,20450,107960
43,2003-01-29,20700,20750,19500,19500,288404
44,2003-01-30,20000,20100,19200,20100,86588
45,2003-02-03,20350,20800,19750,20800,91090
46,2003-02-04,21000,22300,20600,21850,273327
47,2003-02-05,21650,23650,21450,22700,412943
48,2003-02-06,23100,23300,22100,22300,224645
49,2003-02-07,22000,22100,20550,21100,425417
50,2003-02-10,20600,21000,20600,20750,101912
51,2003-02-11,20900,21200,19000,20350,275950
52,2003-02-12,20200,21000,20000,21000,124876
53,2003-02-13,20900,20900,20350,20600,252232
54,2003-02-14,20600,20700,19950,20500,183922
55,2003-02-17,20950,21300,20600,21000,319065
56,2003-02-18,21000,22000,20650,21700,506990
