,날짜,시가,고가,저가,종가,거래량
0,2011-02-21,76500,76500,70000,70200,2335275
1,2011-02-22,68000,70600,65800,69900,862076
2,2011-02-23,69500,72600,69200,71600,441504
3,2011-02-24,71200,72600,71200,71300,215507
4,2011-02-25,71500,71700,69700,70800,175787
5,2011-02-28,70000,70000,67100,67500,394760
6,2011-03-02,66700,68100,66100,66300,196862
7,2011-03-03,66800,69800,66300,69500,363268
8,2011-03-04,70000,70800,68200,69000,230771
9,2011-03-07,68600,72500,68300,72200,507726
10,2011-03-08,72200,75300,71800,74300,469300
11,2011-03-09,74600,74900,72900,73300,218451
12,2011-03-10,73300,74400,72200,73900,182397
13,2011-03-11,72800,75600,71500,74900,245314
14,2011-03-14,75800,75900,72700,73500,212813
15,2011-03-15,73500,73900,67000,70800,251682
16,2011-03-16,70600,71900,69400,70800,126781
17,2011-03-17,68400,70000,68300,69400,187319
18,2011-03-18,69900,71600,69500,70500,160801
19,2011-03-21,70000,70700,69300,70000,402010
20,2011-03-22,70600,70600,68800,69000,407412
21,2011-03-23,69200,75100,69200,74600,745943
22,2011-03-24,75300,77300,74600,76500,687119
23,2011-03-25,77000,77400,74700,75400,268996
24,2011-03-28,75800,78900,74600,77800,337829
25,2011-03-29,77800,79700,77300,77900,351791
26,2011-03-30,77500,79200,76800,77800,310478
27,2011-03-31,78500,78600,77200,77300,190636
28,2011-04-01,77300,77400,76000,76400,213434
29,2011-04-04,77000,78000,76300,76700,122437
30,2011-04-05,76900,77000,74400,75700,237967
31,2011-04-06,76300,80000,75700,79000,518298
32,2011-04-07,79900,82900,78900,82900,477569
33,2011-04-08,82800,85900,81900,84200,360461
34,2011-04-11,84000,85700,83400,84200,209438
35,2011-04-12,85200,88400,84800,87800,347292
36,2011-04-13,88000,94500,87100,94500,650373
37,2011-04-14,97300,108500,97200,108500,1271165
38,2011-04-15,106000,115500,102000,110000,1659745
39,2011-04-18,111500,126000,109000,123000,1459911
40,2011-04-19,120000,132500,116000,121000,2095138
41,2011-04-20,125500,127000,116500,119500,844497
42,2011-04-21,121000,126000,116000,122000,974833
43,2011-04-22,124000,129000,122000,126000,765675
44,2011-04-25,129500,144500,127000,144500,1340060
45,2011-04-26,148500,164500,148000,153500,2269957
46,2011-04-27,158500,162000,131000,136000,2480026
47,2011-04-28,134000,143500,133000,142000,1267237
48,2011-04-29,146000,147500,127000,130000,1307550
49,2011-05-02,130500,137000,124000,136000,1049505
50,2011-05-03,135500,138500,130000,133000,556962
51,2011-05-04,133000,137500,131000,131000,446695
52,2011-05-06,132000,137500,127500,137000,578035
53,2011-05-09,139500,145000,137500,141500,724343
54,2011-05-11,146000,147000,139500,142000,516094
55,2011-05-12,139000,141500,135000,135500,367317
56,2011-05-13,138000,140000,130500,140000,448073
57,2011-05-16,138500,142000,136000,139500,276048
58,2011-05-17,142000,145000,140000,145000,621250
59,2011-05-18,145500,147000,143000,146000,532582
60,2011-05-19,147500,148500,139000,140000,400346
61,2011-05-20,142500,143500,138000,140000,230467
62,2011-05-23,136500,137500,133000,133000,607906
63,2011-05-24,131500,136000,127500,133500,453106
64,2011-05-25,135000,138000,130000,132000,305604
65,2011-05-26,134000,138500,133500,138500,351317
66,2011-05-27,139000,141000,137000,140000,270591
67,2011-05-30,141500,142000,139000,141000,210407
68,2011-05-31,142000,150000,140000,150000,1396678
69,2011-06-01,149000,151000,144500,145000,461507
70,2011-06-02,139500,147500,138500,147500,318447
71,2011-06-03,149000,150000,144500,146000,203392
72,2011-06-07,145000,147500,142500,143500,125601
73,2011-06-08,145000,148500,141500,148000,231435
74,2011-06-09,148500,150500,145500,149000,292504
75,2011-06-10,152000,155000,149500,151000,411101
76,2011-06-13,150000,152000,147500,150500,209204
77,2011-06-14,152000,154000,150500,154000,331001
78,2011-06-15,154500,159500,154000,159000,489546
79,2011-06-16,157000,163000,156000,157000,587945
80,2011-06-17,160000,162000,152500,158500,480481
81,2011-06-20,160500,164000,159500,161500,308176
82,2011-06-21,164000,164000,154000,159500,383672
83,2011-06-22,160000,161000,156000,156500,285134
84,2011-06-23,155000,158000,154000,157000,177257
85,2011-06-24,157500,158500,152000,158000,387821
86,2011-06-27,156500,157000,153500,154000,125362
87,2011-06-28,157000,157500,154000,154000,141658
88,2011-06-29,156000,160000,154500,160000,288734
89,2011-06-30,161500,163500,158000,162500,361386
90,2011-07-01,164000,168500,161500,168000,446996
91,2011-07-04,170500,171000,167000,168000,238746
92,2011-07-05,168500,170000,165000,166500,185662
93,2011-07-06,165000,167500,163000,167500,128445
