,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,5170,5890,5170,5720,1122680
1,2000-01-05,5690,5690,5450,5500,1060370
2,2000-01-06,5650,5730,5250,5350,862310
3,2000-01-07,5350,5850,5220,5600,1391840
4,2000-01-10,5800,5850,5610,5670,918930
5,2000-01-11,5600,5670,5410,5410,751940
6,2000-01-12,5490,5550,5250,5300,675540
7,2000-01-13,5300,5370,5100,5150,985690
8,2000-01-14,5110,5200,5010,5030,848810
9,2000-01-17,5050,5200,5000,5010,964600
10,2000-01-18,5050,5090,4870,4920,1022650
11,2000-01-19,4820,4850,4500,4500,987590
12,2000-01-20,4515,5170,4510,5170,1956630
13,2000-01-21,5250,5490,5080,5080,2474840
14,2000-01-24,4900,5290,4800,5020,1012530
15,2000-01-25,4950,4995,4800,4800,699830
16,2000-01-26,4700,5170,4700,4900,863680
17,2000-01-27,4950,5190,4920,5170,983300
18,2000-01-28,5170,5280,5020,5040,1017980
19,2000-01-31,5000,5140,4905,5050,600200
20,2000-02-01,5100,5130,4930,4950,719940
21,2000-02-02,4930,5080,4870,5020,804360
22,2000-02-03,5010,5040,4930,4985,536230
23,2000-02-07,4990,5000,4880,4880,978250
24,2000-02-08,4850,4850,4710,4740,897660
25,2000-02-09,4750,4840,4615,4620,881020
26,2000-02-10,4590,4600,4440,4450,946060
27,2000-02-11,4405,4530,4280,4295,791400
28,2000-02-14,4060,4250,4020,4100,706460
29,2000-02-15,4020,4250,4000,4070,767460
30,2000-02-16,4130,4350,4130,4310,899720
31,2000-02-17,4310,4380,4100,4200,684390
32,2000-02-18,4200,4200,4055,4060,604540
33,2000-02-21,3810,4000,3800,3850,539340
34,2000-02-22,3790,3995,3655,3950,785140
35,2000-02-23,3950,4540,3950,4460,1018520
36,2000-02-24,4120,4450,4110,4300,684770
37,2000-02-25,4250,4945,4150,4945,1557850
38,2000-02-28,4845,5170,4665,4750,1083990
39,2000-02-29,4750,4750,4100,4400,759270
40,2000-03-02,4150,4400,4150,4255,634950
41,2000-03-03,4270,4350,4060,4105,625270
42,2000-03-06,4150,4350,4110,4285,489540
43,2000-03-07,4250,4440,4120,4280,457850
44,2000-03-08,4300,4385,4210,4325,568370
45,2000-03-09,4350,4550,4330,4400,1266620
46,2000-03-10,4445,4495,4290,4320,582320
47,2000-03-13,4350,4390,4250,4270,685000
48,2000-03-14,4390,4545,4255,4300,947820
