,날짜,시가,고가,저가,종가,거래량
0,2017-05-10,82300,90500,73400,78000,756348
1,2017-05-11,76500,79000,75600,77500,239477
2,2017-05-12,77900,79100,74600,75900,141833
3,2017-05-15,75500,75700,72100,72100,159155
4,2017-05-16,72100,72500,65800,69500,339657
5,2017-05-17,69800,72900,69600,70300,154380
6,2017-05-18,69200,71600,68800,70000,125683
7,2017-05-19,70500,74800,70300,72900,156722
8,2017-05-22,72900,76600,72900,74900,110111
9,2017-05-23,75100,79600,75100,79400,156818
10,2017-05-24,81000,83500,79300,83000,203838
11,2017-05-25,84300,84600,81500,83200,119043
12,2017-05-26,84000,86900,82400,86400,139977
13,2017-05-29,87200,88400,83200,84000,93206
14,2017-05-30,84800,84800,80300,80800,113967
15,2017-05-31,80100,83700,79700,81600,98697
16,2017-06-01,80800,83600,78900,82700,85698
17,2017-06-02,83400,83500,82000,82400,52411
18,2017-06-05,81600,81700,79500,79500,92105
19,2017-06-07,78700,80700,78700,80200,49310
20,2017-06-08,79700,84000,78600,84000,93344
21,2017-06-09,83900,85899,82600,84000,95372
22,2017-06-12,83600,85299,81700,82400,48519
23,2017-06-13,80000,82700,77600,78100,169733
24,2017-06-14,78800,85300,78700,84700,209336
25,2017-06-15,84700,84700,82600,84100,55646
26,2017-06-16,83600,84500,80200,81000,76537
27,2017-06-19,81200,82000,79800,80200,43177
28,2017-06-20,79600,80000,78000,78800,59037
29,2017-06-21,78400,78600,77800,78200,52507
30,2017-06-22,74600,74700,73700,74100,1359752
31,2017-06-23,74600,77000,74100,75100,195209
32,2017-06-26,75200,76700,74800,76400,74771
33,2017-06-27,77300,77400,75900,76600,77312
34,2017-06-28,76000,76600,75100,76200,53669
35,2017-06-29,75800,76800,75800,76100,49753
36,2017-06-30,75500,78900,75500,77300,80888
37,2017-07-03,78000,80300,77500,79600,121095
38,2017-07-04,80200,81500,78800,80000,98576
39,2017-07-05,80100,80700,78300,80000,83053
40,2017-07-06,79900,81500,79100,80600,90389
41,2017-07-07,80700,83100,80600,82800,217344
42,2017-07-10,82000,83000,80900,81500,60182
43,2017-07-11,81200,81200,78800,79300,90630
44,2017-07-12,78800,79400,77000,77600,83297
45,2017-07-13,77700,79400,77700,78600,55015
46,2017-07-14,78000,79900,77200,79800,69914
47,2017-07-17,80200,81400,80000,80600,86256
48,2017-07-18,80100,80500,79600,79900,37778
49,2017-07-19,79900,80600,79500,80400,42657
50,2017-07-20,80300,83199,80200,82600,130006
51,2017-07-21,82200,84600,81900,84200,102181
52,2017-07-24,84000,84000,82100,82200,50263
53,2017-07-25,82600,84000,82400,82400,74225
54,2017-07-26,82700,85500,82700,85100,138352
55,2017-07-27,85300,86800,84600,85700,120955
56,2017-07-28,85800,86000,84100,85300,100106
57,2017-07-31,85300,88800,84900,88100,141689
58,2017-08-01,88100,93100,85300,92700,301709
59,2017-08-02,92000,97000,92000,95800,202143
60,2017-08-03,97000,97600,92100,94800,162288
61,2017-08-04,94300,97800,93300,97200,91247
62,2017-08-07,97300,97300,91500,92100,146894
63,2017-08-08,92100,95000,91900,94400,159001
64,2017-08-09,92800,96400,92800,95000,303156
65,2017-08-10,94600,96600,89900,95200,120863
66,2017-08-11,93000,96600,92800,95500,176629
67,2017-08-14,95200,96300,94600,96000,83880
68,2017-08-16,96000,96000,91000,92900,171448
69,2017-08-17,91400,93399,89100,90000,144556
70,2017-08-18,88700,88700,85300,87800,160543
71,2017-08-21,88800,90399,88600,89900,89812
72,2017-08-22,90000,90400,89100,90100,55365
73,2017-08-23,90300,90900,86700,87200,56836
74,2017-08-24,87900,89200,86500,86800,102525
75,2017-08-25,86900,89300,86400,88300,54916
76,2017-08-28,88300,88600,87400,87900,47311
77,2017-08-29,87700,89000,85700,88500,61056
78,2017-08-30,88000,88200,87000,88200,61158
79,2017-08-31,88000,89900,87900,88600,111619
80,2017-09-01,89100,89500,86700,88100,52345
81,2017-09-04,85900,87900,85500,87000,57094
82,2017-09-05,88000,88300,83300,85800,111626
83,2017-09-06,85700,87200,81800,82500,95379
84,2017-09-07,82200,84800,80900,82700,72697
85,2017-09-08,81800,82700,79600,80900,102921
86,2017-09-11,80900,81900,80400,81500,46586
87,2017-09-12,82000,85000,81600,85000,66607
88,2017-09-13,84900,86000,84000,85400,53467
89,2017-09-14,85300,87900,84800,87000,94556
90,2017-09-15,86900,87200,86000,87100,136603
91,2017-09-18,87000,87400,86100,86400,40021
92,2017-09-19,86200,89900,86000,88100,75654
93,2017-09-20,89100,89100,87200,88100,45269
94,2017-09-21,86299,87200,84400,85700,362635
95,2017-09-22,85700,86600,83100,83100,69324
96,2017-09-25,82900,84900,82100,83400,46698
97,2017-09-26,83999,84900,83500,84900,58461
98,2017-09-27,85000,85400,84100,84900,37146
99,2017-09-28,83600,84400,82600,84300,36415
100,2017-09-29,84900,85700,84200,85200,37773
101,2017-10-10,85199,87800,84200,86900,90887
102,2017-10-11,86800,88200,86000,87500,72209
103,2017-10-12,87000,88300,86900,88100,48790
104,2017-10-13,87600,89000,87000,88000,42434
105,2017-10-16,89000,91900,88500,91700,102533
106,2017-10-17,91200,93600,91100,92700,60809
107,2017-10-18,92700,93100,90700,92200,41682
108,2017-10-19,92200,94000,91700,92100,38297
109,2017-10-20,91199,91799,89100,90400,43514
110,2017-10-23,89600,90600,88500,88900,34841
111,2017-10-24,88700,89900,87000,87600,38328
112,2017-10-25,87500,89300,86800,89200,32442
113,2017-10-26,88800,89100,85700,86000,49797
114,2017-10-27,86000,87100,84600,86100,55059
115,2017-10-30,86400,88500,85800,87200,50872
116,2017-10-31,87699,91800,87400,90300,116274
117,2017-11-01,89400,89800,86799,88100,105166
118,2017-11-02,88100,88600,85200,85700,80144
119,2017-11-03,85999,86400,84800,86400,42150
120,2017-11-06,86100,86300,85100,85900,35390
121,2017-11-07,84800,88200,84800,86800,55499
122,2017-11-08,86000,86700,83399,83800,87941
123,2017-11-09,84200,84200,81200,82300,105061
124,2017-11-10,82100,82200,80600,81200,73094
125,2017-11-13,80800,80900,77800,78200,113099
126,2017-11-14,78200,80300,77400,79200,62231
127,2017-11-15,78800,78800,75500,75600,124684
128,2017-11-16,75400,77100,75400,76200,58783
129,2017-11-17,76500,78800,76300,78000,65617
130,2017-11-20,77900,78600,76400,76900,55573
131,2017-11-21,77200,77600,76200,77100,38810
132,2017-11-22,77200,77800,76000,76700,45938
133,2017-11-23,76800,77000,75600,76100,33908
134,2017-11-24,76600,76600,75100,75800,48555
135,2017-11-27,76400,77000,75600,76000,36653
136,2017-11-28,76300,79300,76000,78900,73904
137,2017-11-29,78800,80700,78200,80300,71400
138,2017-11-30,80800,80900,79800,79800,69167
139,2017-12-01,79800,80700,78400,80100,50280
140,2017-12-04,80900,82200,79100,82200,48639
141,2017-12-05,81900,83800,81300,83000,67940
142,2017-12-06,82200,83000,78600,79000,86022
143,2017-12-07,79800,80000,76500,76800,63249
144,2017-12-08,76500,77600,75500,76500,55155
145,2017-12-11,76200,77600,75900,77400,47217
146,2017-12-12,76600,77600,76500,77600,30823
147,2017-12-13,77000,79800,77000,79700,66330
148,2017-12-14,79900,80200,78200,79800,101287
149,2017-12-15,79200,79800,78300,78300,64894
150,2017-12-18,78200,78900,76300,76700,43292
151,2017-12-19,76400,77700,76300,76600,34217
152,2017-12-20,76200,77000,76100,76500,38660
153,2017-12-21,76000,76400,75100,75100,44511
154,2017-12-22,75600,75600,73200,73800,62616
155,2017-12-26,73900,77100,73900,74900,79395
156,2017-12-27,68800,72700,66700,72100,154501
157,2017-12-28,72200,77000,72200,76200,84750
158,2018-01-02,77500,82900,77400,82900,145399
159,2018-01-03,82200,84300,81800,83400,107997
160,2018-01-04,84700,88700,84700,86900,217691
161,2018-01-05,88900,88900,85500,88600,121510
162,2018-01-08,88600,88800,86000,87500,58029
163,2018-01-09,87500,88800,86299,88700,61388
164,2018-01-10,88400,91400,88100,91000,98849
165,2018-01-11,89900,91500,88900,90500,55837
166,2018-01-12,89900,91300,88200,90000,48570
167,2018-01-15,89300,89600,87200,88200,46531
168,2018-01-16,87700,88400,86400,88300,47720
169,2018-01-17,87600,89000,86700,87800,38759
170,2018-01-18,87300,88300,85500,86600,47152
171,2018-01-19,85600,86500,85300,85500,36163
172,2018-01-22,85500,86400,82200,86400,64226
173,2018-01-23,86699,90400,86300,90200,73811
174,2018-01-24,89900,90200,88900,90100,37328
175,2018-01-25,89400,92700,89400,92400,67291
176,2018-01-26,91100,93600,90700,93400,53723
177,2018-01-29,93900,97700,93500,97600,110533
178,2018-01-30,96800,97399,92700,94300,100308
179,2018-01-31,94200,94200,90500,91400,76013
180,2018-02-01,91100,93200,91000,92600,41913
181,2018-02-02,92600,93700,90000,91100,43063
182,2018-02-05,88600,89900,87200,89100,45450
183,2018-02-06,87000,89000,86200,88800,58257
184,2018-02-07,89400,90900,86900,86900,46275
185,2018-02-08,87200,90300,87000,90100,56292
186,2018-02-09,86800,87300,84300,85300,87509
187,2018-02-12,84300,85800,83299,85000,48623
188,2018-02-13,85300,85300,77000,78500,224453
189,2018-02-14,79000,80100,78700,79700,79187
190,2018-02-19,80400,82400,80000,82400,59406
191,2018-02-20,81600,83600,80100,81200,54553
192,2018-02-21,81600,82400,80200,82100,39326
193,2018-02-22,82000,83400,81100,82300,54146
194,2018-02-23,83100,83800,82300,83700,64131
195,2018-02-26,84099,87600,84099,86900,70641
196,2018-02-27,87000,89400,87000,87900,61113
197,2018-02-28,86600,89500,86400,88500,59480
198,2018-03-02,86200,87400,84700,85200,36061
199,2018-03-05,84500,86300,83600,84300,25694
200,2018-03-06,85499,89500,85000,89000,57857
201,2018-03-07,87600,89100,85800,86500,50898
202,2018-03-08,86300,88600,85100,88600,68714
203,2018-03-09,88600,90200,87800,89000,47705
204,2018-03-12,89700,90200,87900,89300,37349
205,2018-03-13,88000,89000,84400,85400,68734
206,2018-03-14,84400,86900,84300,85100,50789
207,2018-03-15,85400,85900,84100,85000,37924
208,2018-03-16,85700,85700,84500,85000,43399
209,2018-03-19,85000,85300,83600,84100,37267
210,2018-03-20,83700,84900,82600,82900,34668
211,2018-03-21,82600,83700,82500,83300,37367
212,2018-03-22,83100,86700,83100,86300,78108
213,2018-03-23,84500,85500,83100,83400,45896
214,2018-03-26,82600,85700,80300,85400,67207
215,2018-03-27,85200,86100,84600,85000,39764
216,2018-03-28,84200,85500,83900,85500,25462
217,2018-03-29,85500,85500,83800,85200,860596
218,2018-03-30,89999,91800,85000,87300,97795
219,2018-04-02,86800,87300,84500,85200,40680
220,2018-04-03,84000,84500,82500,83400,66910
221,2018-04-04,83600,84300,81700,81800,35700
222,2018-04-05,81800,83700,81400,83400,40413
223,2018-04-06,83199,83700,82400,83400,21204
224,2018-04-09,82600,83000,80000,80800,53191
225,2018-04-10,80800,81800,80300,81600,47236
226,2018-04-11,80900,84900,80800,84300,45463
227,2018-04-12,84300,85400,84300,85300,30093
228,2018-04-13,84600,85300,84099,84300,32284
229,2018-04-16,85400,85500,84400,85200,31754
230,2018-04-17,85900,86200,85200,85500,27747
231,2018-04-18,84700,85800,84600,85000,32793
232,2018-04-19,83900,84999,82200,83400,50514
233,2018-04-20,82500,83300,81600,82200,35070
234,2018-04-23,82200,83000,82000,82600,21383
235,2018-04-24,82100,83499,81800,82700,27502
236,2018-04-25,83200,83200,80400,80500,31735
237,2018-04-26,80400,84200,80300,84200,43114
238,2018-04-27,82500,85300,82500,84200,30420
239,2018-04-30,84300,85100,83800,84500,29819
240,2018-05-02,84100,85200,82699,84000,33894
241,2018-05-03,83100,83900,82200,82200,17749
242,2018-05-04,80800,85800,80800,82800,57306
243,2018-05-08,82000,83800,82000,82000,36385
244,2018-05-09,81600,82700,81200,81700,34650
245,2018-05-10,82000,86600,81500,86600,74068
246,2018-05-11,85600,88300,85500,87400,61379
247,2018-05-14,87400,88700,87200,88100,35222
248,2018-05-15,86900,88000,85000,86200,46604
249,2018-05-16,85500,86599,84600,86300,30478
250,2018-05-17,85700,86100,84200,84200,36025
251,2018-05-18,84300,85899,84300,85900,13358
252,2018-05-21,86499,87000,84400,84700,18514
253,2018-05-23,83000,84700,81800,81900,58888
254,2018-05-24,81900,82400,81500,81700,26078
255,2018-05-25,81700,82600,81000,81200,33733
256,2018-05-28,81400,82200,80300,80700,46514
257,2018-05-29,80500,81100,79200,79400,49819
258,2018-05-30,78600,79300,75700,76000,74150
259,2018-05-31,76400,78500,76300,77600,63174
260,2018-06-01,77800,78000,76200,77100,30489
261,2018-06-04,78000,78800,76500,78800,26098
262,2018-06-05,77600,78400,76400,77300,59549
263,2018-06-07,77400,79400,77300,78200,38840
264,2018-06-08,77700,78200,74900,75400,78457
265,2018-06-11,74300,76900,74300,76300,43794
266,2018-06-12,76900,77400,76300,77100,46729
267,2018-06-14,76500,77300,73100,73100,170418
268,2018-06-15,74900,75800,73400,74800,131914
269,2018-06-18,74300,75400,73000,73800,50829
270,2018-06-19,73800,74100,70300,70600,61749
271,2018-06-20,70600,73800,70500,73200,46714
272,2018-06-21,72300,75300,72200,73500,41478
273,2018-06-22,73400,74700,72900,73500,34760
274,2018-06-25,73700,75800,73500,73800,43944
275,2018-06-26,73800,73800,70100,70900,82650
276,2018-06-27,70300,71500,67900,68400,110970
277,2018-06-28,68400,69400,67900,68200,83402
278,2018-06-29,68300,71100,67300,70700,86065
279,2018-07-02,69600,70300,67200,67800,51785
280,2018-07-03,67800,68900,67100,68100,25966
281,2018-07-04,67300,68700,66200,66600,37491
282,2018-07-05,66400,68400,66200,68200,34258
283,2018-07-06,67500,70200,67500,69300,56884
284,2018-07-09,69200,69300,67200,68100,36625
285,2018-07-10,68100,68900,67700,68000,33154
286,2018-07-11,67300,69400,67000,68800,50391
287,2018-07-12,70000,70800,69700,70000,69512
288,2018-07-13,71100,71600,68500,69500,35511
289,2018-07-16,69400,71700,68800,70700,45423
290,2018-07-17,70100,71500,68100,68400,53295
291,2018-07-18,69300,69600,68000,68300,22312
292,2018-07-19,68100,68900,67000,67200,33872
293,2018-07-20,67900,67900,66900,67500,25504
294,2018-07-23,68000,69900,67700,69500,44356
295,2018-07-24,69500,70300,67900,69700,36743
296,2018-07-25,68700,70900,68700,69700,56358
297,2018-07-26,70100,70100,65700,66100,138093
298,2018-07-27,66700,67100,65400,65600,57221
299,2018-07-30,65200,65800,64200,65200,62936
300,2018-07-31,65200,68800,65200,67100,90125
301,2018-08-01,67300,69800,67300,69800,48443
302,2018-08-02,69800,70600,63300,68000,197813
303,2018-08-03,67700,72700,67600,72100,100101
304,2018-08-06,72500,74300,71700,73200,81656
305,2018-08-07,73300,75100,72500,75000,56311
306,2018-08-08,74200,74900,73300,73700,40858
307,2018-08-09,73700,75700,73400,74500,58149
308,2018-08-10,75000,75400,72500,73300,42362
309,2018-08-13,73000,73800,71600,72700,25850
310,2018-08-14,73600,76000,72100,75300,73135
311,2018-08-16,74700,75400,73900,74400,36149
312,2018-08-17,74500,75900,74000,75800,34016
313,2018-08-20,76500,78000,75900,77200,58684
314,2018-08-21,76800,78000,76000,77000,29765
315,2018-08-22,77600,78900,76400,77200,45189
316,2018-08-23,80000,82000,77400,78300,113407
317,2018-08-24,78300,78300,74900,75700,52577
318,2018-08-27,75700,76200,73700,74600,38306
319,2018-08-28,74800,76100,74700,75500,25670
320,2018-08-29,75500,78000,75400,77300,37218
321,2018-08-30,77400,79500,77300,77400,38510
322,2018-08-31,77400,77600,74900,75500,50358
323,2018-09-03,75000,77100,74700,76800,25619
324,2018-09-04,76100,76100,74000,74100,58053
325,2018-09-05,73800,74200,71200,71500,85381
326,2018-09-06,71400,73600,70600,72900,41848
327,2018-09-07,73700,74000,72600,73300,21735
328,2018-09-10,72300,74400,72300,74000,21760
329,2018-09-11,73500,74600,73000,74300,22017
330,2018-09-12,74700,74800,73300,74600,27413
331,2018-09-13,75000,76800,73900,76600,51320
332,2018-09-14,76300,78100,76300,78000,42500
333,2018-09-17,77400,78000,76000,77700,32584
334,2018-09-18,76700,78200,76500,77900,25024
335,2018-09-19,77400,79000,76200,76900,26828
336,2018-09-20,76100,77700,75600,77400,31353
337,2018-09-21,78600,78600,76600,76900,38871
338,2018-09-27,76100,80000,76100,79900,69334
339,2018-09-28,80000,81400,79600,81000,54200
340,2018-10-01,80600,83499,80600,82700,61377
341,2018-10-02,82700,85200,82300,84300,68335
342,2018-10-04,85000,85200,81000,81800,59960
343,2018-10-05,81200,83000,80600,82600,32114
344,2018-10-08,82600,83000,78800,78800,44915
345,2018-10-10,78600,80100,78500,79000,48993
346,2018-10-11,78000,78000,74800,75000,54965
347,2018-10-12,74200,76700,74100,76200,38173
348,2018-10-15,75300,79000,74400,76400,31997
349,2018-10-16,76500,77200,75300,75700,25230
350,2018-10-17,77000,77800,75500,77200,29389
351,2018-10-18,76700,78200,76200,77300,24731
352,2018-10-19,76700,76700,72300,74800,70002
353,2018-10-22,74300,75500,73000,73500,28167
354,2018-10-23,73200,74200,70600,71600,56516
355,2018-10-24,72600,72800,71300,71800,25380
356,2018-10-25,70400,72200,69000,72200,37022
357,2018-10-26,71600,72300,67800,68800,38872
358,2018-10-29,68800,70500,67600,68100,41364
359,2018-10-30,67300,70000,67100,69300,34176
360,2018-10-31,68400,71500,68000,71300,33701
361,2018-11-01,69900,71400,69200,69300,28250
362,2018-11-02,70500,75500,69400,73600,44295
363,2018-11-05,72500,75200,72500,74400,29391
364,2018-11-06,75200,77700,74200,77600,39876
365,2018-11-07,77000,79000,74600,76000,52283
366,2018-11-08,76700,77900,75700,76200,36412
367,2018-11-09,75400,76000,72600,75300,46122
368,2018-11-12,75300,76400,73500,75400,26408
369,2018-11-13,73800,74900,72300,73700,55500
370,2018-11-14,72800,73400,70200,71500,48220
371,2018-11-15,71000,73900,71000,73900,20197
372,2018-11-16,73800,75800,73100,75300,25858
373,2018-11-19,75100,76300,74700,75200,19467
374,2018-11-20,75000,78000,74200,77800,43384
375,2018-11-21,76900,78500,75700,77300,25516
376,2018-11-22,76800,78300,76700,77300,13113
377,2018-11-23,77200,78000,76700,78000,19034
378,2018-11-26,78000,78800,76200,78000,20669
379,2018-11-27,77500,78800,77200,78400,24158
380,2018-11-28,78500,80000,77800,79500,26381
381,2018-11-29,80200,80800,77300,79100,35115
382,2018-11-30,79100,79600,78600,79000,47629
383,2018-12-03,80000,80400,78900,79000,22372
384,2018-12-04,78600,79700,77700,78600,24572
385,2018-12-05,77000,80500,77000,80200,33409
386,2018-12-06,80800,80800,79100,79500,28250
387,2018-12-07,80000,80600,79500,80100,28766
388,2018-12-10,78700,79900,77700,78700,23410
389,2018-12-11,78100,78800,77000,77900,25558
390,2018-12-12,77300,79900,77300,79500,22550
391,2018-12-13,79000,80200,79000,79500,49656
392,2018-12-14,79200,80300,77200,77800,46799
393,2018-12-17,78100,80500,77100,77300,44225
394,2018-12-18,77400,77900,76300,77200,25594
