,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,1695,1950,1695,1900,1399200
1,2000-01-05,1880,1900,1760,1840,580400
2,2000-01-06,1860,1870,1655,1680,1226900
3,2000-01-07,1700,1760,1690,1750,1363100
4,2000-01-10,1840,2010,1840,2010,1275200
5,2000-01-11,2080,2100,1910,2000,3951900
6,2000-01-12,1980,2000,1900,1915,731800
7,2000-01-13,1970,2100,1930,1960,1729700
8,2000-01-14,1960,2000,1855,1875,806000
9,2000-01-17,1885,1900,1850,1870,622500
10,2000-01-18,1870,1890,1780,1820,532100
11,2000-01-19,1780,1780,1685,1695,763700
12,2000-01-20,1600,1685,1590,1675,816100
13,2000-01-21,1600,1750,1600,1680,690200
14,2000-01-24,1680,1730,1660,1685,385100
15,2000-01-25,1650,1695,1635,1660,422600
16,2000-01-26,1670,1750,1665,1700,520200
17,2000-01-27,1700,1870,1700,1820,1790300
18,2000-01-28,1830,1950,1820,1895,2199600
19,2000-01-31,1895,1975,1865,1935,1466700
20,2000-02-01,2050,2050,1915,1940,787700
21,2000-02-02,1880,2020,1880,1970,1080300
22,2000-02-03,2020,2170,1940,2150,2908000
23,2000-02-07,2100,2130,2020,2030,2910600
24,2000-02-08,2000,2050,1900,1920,1176000
25,2000-02-09,1920,1985,1880,1890,754400
26,2000-02-10,1830,1880,1800,1800,1094200
27,2000-02-11,1760,1840,1695,1720,836500
28,2000-02-14,1700,1800,1680,1800,960600
29,2000-02-15,1740,1840,1735,1800,418100
30,2000-02-16,1860,2030,1820,1950,4772200
31,2000-02-17,1900,1920,1800,1850,854600
32,2000-02-18,1790,1830,1750,1755,808900
33,2000-02-21,1660,1740,1660,1710,652100
34,2000-02-22,1730,1730,1640,1640,1091100
35,2000-02-23,1640,1850,1640,1750,1606400
36,2000-02-24,1700,1730,1650,1700,715400
37,2000-02-25,1680,1730,1650,1700,519700
38,2000-02-28,1660,1680,1640,1680,637500
39,2000-02-29,1720,1730,1660,1690,452600
40,2000-03-02,1670,1730,1640,1690,1049100
41,2000-03-03,1730,1730,1670,1710,953200
42,2000-03-06,1700,1780,1700,1765,1162400
43,2000-03-07,1775,1790,1705,1745,873900
44,2000-03-08,1730,1780,1700,1740,985300
45,2000-03-09,1740,1780,1720,1745,1109300
46,2000-03-10,1730,1755,1715,1750,642700
47,2000-03-13,1750,1760,1720,1750,747500
48,2000-03-14,1750,1770,1730,1760,1128000
49,2000-03-15,1760,1820,1730,1760,1373800
50,2000-03-16,1800,1810,1730,1760,603900
51,2000-03-17,1790,1890,1735,1800,1882900
52,2000-03-20,1815,1840,1755,1770,635700
53,2000-03-21,1740,1755,1715,1745,792200
54,2000-03-22,1720,1755,1695,1730,1193500
55,2000-03-23,1700,1715,1660,1700,928600
56,2000-03-24,1680,1700,1635,1650,1259600
57,2000-03-27,1610,1695,1605,1670,1675400
58,2000-03-28,1680,1680,1635,1675,1319700
59,2000-03-29,1670,1670,1600,1665,802200
60,2000-03-30,1550,1620,1480,1570,634800
61,2000-03-31,1550,1550,1475,1500,357500
62,2000-04-03,1480,1480,1290,1360,784900
63,2000-04-04,1310,1360,1230,1235,1158200
64,2000-04-06,1210,1215,1120,1120,818500
65,2000-04-07,1100,1160,1050,1055,2599800
66,2000-04-10,1105,1205,1070,1140,2787600
67,2000-04-11,1170,1200,1090,1090,1531800
68,2000-04-12,1100,1170,1100,1115,1167900
69,2000-04-14,1100,1240,1100,1235,2161700
70,2000-04-17,1055,1150,1050,1050,1944200
71,2000-04-18,1120,1195,1085,1160,3606400
72,2000-04-19,1175,1220,1105,1120,2372800
73,2000-04-20,1130,1140,1060,1080,1068600
74,2000-04-21,1080,1100,1060,1095,1084100
75,2000-04-24,1100,1110,1060,1060,531200
76,2000-04-25,1050,1050,1005,1020,567600
77,2000-04-26,1030,1060,870,881,2328700
78,2000-04-27,882,899,760,840,2195100
79,2000-04-28,851,905,840,851,1605400
80,2000-05-02,849,870,815,853,1003700
81,2000-05-03,855,920,850,887,691500
82,2000-05-04,900,940,890,910,947300
83,2000-05-08,880,920,880,885,534300
84,2000-05-09,870,885,863,880,495800
85,2000-05-10,850,930,850,910,345600
86,2000-05-12,910,920,880,914,390800
87,2000-05-15,900,900,852,859,309200
88,2000-05-16,843,850,830,844,286700
89,2000-05-17,880,880,755,790,273700
90,2000-05-18,760,760,690,739,403200
91,2000-05-19,700,759,700,720,1357600
92,2000-05-22,720,720,622,650,593800
93,2000-05-23,601,720,601,660,838800
94,2000-05-24,670,759,665,759,1006900
95,2000-05-25,789,865,759,846,1709500
96,2000-05-26,840,840,720,720,1309600
97,2000-05-29,653,779,612,710,2102600
98,2000-05-30,780,816,740,807,1857000
99,2000-05-31,840,928,800,870,3772700
100,2000-06-01,830,871,810,816,1344000
101,2000-06-02,831,890,826,841,1366800
102,2000-06-05,890,967,861,967,2093900
103,2000-06-07,980,1060,950,1000,2488300
104,2000-06-08,1030,1030,885,920,1206500
105,2000-06-09,918,1010,905,962,2490800
106,2000-06-12,990,990,930,950,902200
107,2000-06-13,940,949,880,890,717300
108,2000-06-14,870,935,860,870,394400
109,2000-06-15,859,900,840,840,393500
110,2000-06-16,810,840,810,820,373600
111,2000-06-19,821,829,800,800,221300
112,2000-06-20,850,860,790,850,453600
113,2000-06-21,863,895,835,849,783200
114,2000-06-22,860,880,837,848,413900
115,2000-06-23,838,860,823,839,240800
116,2000-06-26,835,860,835,852,373100
117,2000-06-27,861,922,855,907,802800
118,2000-06-28,910,945,890,890,718200
119,2000-06-29,890,910,853,854,334900
120,2000-06-30,850,880,850,875,302200
121,2000-07-03,892,905,883,900,529300
122,2000-07-04,931,1035,905,967,3200900
123,2000-07-05,1000,1000,891,950,1174000
124,2000-07-06,950,1050,930,1010,1708900
125,2000-07-07,1040,1110,1035,1080,2370100
126,2000-07-10,1100,1170,1100,1130,1837100
127,2000-07-11,1145,1160,1030,1060,2006700
128,2000-07-12,1070,1090,1005,1025,936600
129,2000-07-13,1000,1030,980,1005,505100
130,2000-07-14,1030,1030,960,966,459000
131,2000-07-18,955,960,901,917,592500
132,2000-07-19,921,940,901,928,912900
133,2000-07-20,945,999,905,910,975100
134,2000-07-21,941,941,895,915,487600
135,2000-07-24,885,885,800,820,782900
136,2000-07-25,760,840,760,816,521600
137,2000-07-26,814,830,790,805,587400
138,2000-07-27,790,820,790,806,248500
139,2000-07-28,800,800,780,790,265400
140,2000-07-31,750,799,750,781,210600
141,2000-08-01,762,840,762,820,438500
142,2000-08-02,820,829,802,825,284300
143,2000-08-03,850,860,819,831,266800
144,2000-08-04,830,830,801,825,191800
145,2000-08-07,819,819,782,787,253500
146,2000-08-08,798,800,781,786,105900
147,2000-08-09,805,825,790,807,271900
148,2000-08-10,820,830,807,825,328400
149,2000-08-11,819,833,801,811,197800
150,2000-08-14,932,932,858,866,611100
151,2000-08-16,853,875,825,857,328400
152,2000-08-17,840,870,832,834,196000
153,2000-08-18,820,845,810,812,205500
154,2000-08-21,780,825,780,793,243400
155,2000-08-22,795,820,790,802,184800
156,2000-08-23,819,819,801,801,307200
157,2000-08-24,806,806,790,795,228300
158,2000-08-25,783,800,783,790,262200
159,2000-08-28,806,816,791,815,169600
160,2000-08-29,826,848,810,820,285900
161,2000-08-30,815,820,802,807,172400
162,2000-08-31,825,825,782,785,189200
163,2000-09-01,800,800,777,788,267000
164,2000-09-04,800,800,770,783,281600
165,2000-09-05,779,798,779,792,235600
166,2000-09-06,780,824,780,814,450800
167,2000-09-07,820,820,788,800,254700
168,2000-09-08,800,810,789,809,197100
169,2000-09-14,781,830,781,820,451200
170,2000-09-15,820,850,810,810,720100
171,2000-09-18,782,800,711,750,444300
172,2000-09-19,701,760,691,740,198300
173,2000-09-20,740,780,740,761,191000
174,2000-09-21,755,760,716,745,341400
175,2000-09-22,745,755,720,729,244100
176,2000-09-25,720,770,720,765,310200
177,2000-09-26,760,780,755,770,215000
178,2000-09-27,770,799,770,785,126300
179,2000-09-28,790,790,760,775,131500
180,2000-09-29,790,790,760,775,243700
181,2000-10-02,763,765,751,760,59600
182,2000-10-04,730,766,730,752,126600
183,2000-10-05,760,774,755,765,125100
184,2000-10-06,760,790,760,780,209100
185,2000-10-09,792,792,765,777,107600
186,2000-10-10,751,777,751,770,126500
187,2000-10-11,775,775,739,755,245400
188,2000-10-12,732,765,732,764,203300
189,2000-10-13,720,740,701,739,600600
190,2000-10-16,715,770,715,730,748200
191,2000-10-17,711,715,660,667,895900
192,2000-10-18,621,695,600,640,1584900
193,2000-10-19,639,653,610,638,439300
194,2000-10-20,640,655,635,635,692900
195,2000-10-23,635,639,583,600,733900
196,2000-10-24,600,630,584,615,851600
197,2000-10-25,591,616,591,601,291900
198,2000-10-26,595,595,580,583,203000
199,2000-10-27,589,605,585,593,276100
200,2000-10-30,610,628,592,593,351000
201,2000-10-31,580,681,510,578,1327000
202,2000-11-01,580,602,550,581,668200
203,2000-11-02,597,614,571,595,1131200
204,2000-11-03,600,617,592,592,738900
205,2000-11-06,595,624,590,600,749500
206,2000-11-07,595,605,595,600,317900
207,2000-11-08,601,610,595,598,297500
208,2000-11-09,563,605,563,600,222800
209,2000-11-10,619,619,590,599,272700
210,2000-11-13,601,601,590,590,239700
211,2000-11-14,571,605,571,603,310000
212,2000-11-15,603,630,603,619,906900
213,2000-11-16,625,625,602,609,310200
214,2000-11-17,610,610,580,580,193600
215,2000-11-20,582,600,575,582,250100
216,2000-11-21,570,590,560,578,220300
217,2000-11-22,570,573,562,564,134100
218,2000-11-23,564,564,530,530,168600
219,2000-11-24,536,548,530,533,239900
220,2000-11-27,545,552,533,551,151300
221,2000-11-28,550,552,535,537,132400
222,2000-11-29,525,535,520,534,225100
223,2000-11-30,534,537,520,525,236700
224,2000-12-01,520,538,517,537,140400
225,2000-12-04,545,545,521,521,59900
226,2000-12-05,535,535,522,530,83600
227,2000-12-06,535,550,532,532,121200
228,2000-12-07,532,540,528,528,79100
229,2000-12-08,520,537,520,537,165100
230,2000-12-11,550,557,540,542,184200
231,2000-12-12,557,560,542,551,162000
232,2000-12-13,550,570,550,560,134400
233,2000-12-14,551,573,551,565,106300
234,2000-12-15,566,570,545,564,136400
235,2000-12-18,568,568,544,550,97100
236,2000-12-19,550,560,545,547,176900
237,2000-12-20,540,540,507,510,147500
238,2000-12-21,434,533,434,510,786700
239,2000-12-22,500,510,491,495,379500
240,2000-12-26,520,520,491,500,341900
241,2001-01-02,490,540,490,540,79500
242,2001-01-03,569,569,534,540,159700
243,2001-01-04,560,614,560,610,836500
244,2001-01-05,600,701,580,701,3354800
245,2001-01-08,701,770,680,705,4361900
246,2001-01-09,708,715,665,700,1369200
247,2001-01-10,675,705,600,600,1337300
248,2001-01-11,580,660,580,650,761400
249,2001-01-12,678,680,640,640,1084800
250,2001-01-15,660,668,625,635,673900
