,날짜,시가,고가,저가,종가,거래량
0,2010-09-13,124500,133500,120500,130500,2805964
1,2010-09-14,131500,131500,125000,125000,414467
2,2010-09-15,123500,125000,116000,116000,502216
3,2010-09-16,117000,122000,116500,121500,375451
4,2010-09-17,121500,127000,120000,125500,268201
5,2010-09-20,125000,126000,122500,125000,57727
6,2010-09-24,124000,125000,122000,125000,87225
7,2010-09-27,125000,126000,120500,121500,127275
8,2010-09-28,120500,123500,119500,121500,149790
9,2010-09-29,123000,128000,121500,124500,238921
10,2010-09-30,124500,126000,121000,121500,212649
11,2010-10-01,122000,123000,121000,122000,86911
12,2010-10-04,123000,123000,118500,119500,135101
13,2010-10-05,119000,121500,119000,120000,63792
14,2010-10-06,120500,122500,120000,120500,119601
15,2010-10-07,122000,122000,119000,119000,110985
16,2010-10-08,119000,121000,119000,120000,85367
17,2010-10-11,120000,120000,118000,118500,72535
18,2010-10-12,118000,119000,113000,113500,179976
19,2010-10-13,113500,115500,107500,109000,272455
20,2010-10-14,110000,114000,108500,114000,196399
21,2010-10-15,113500,116500,112500,114500,62275
22,2010-10-18,114000,114000,110500,112500,73908
23,2010-10-19,112000,114000,111000,112000,52856
24,2010-10-20,111000,113000,110000,112000,54954
25,2010-10-21,112000,112500,108500,112500,100565
26,2010-10-22,116500,118500,113500,113500,268780
27,2010-10-25,115000,115000,112500,114500,48147
28,2010-10-26,114500,114500,112000,112000,56562
29,2010-10-27,112000,112500,110000,111500,99884
30,2010-10-28,112000,112000,108500,109500,96529
31,2010-10-29,109000,110000,107000,108000,118677
32,2010-11-01,108000,109500,107000,107500,62733
33,2010-11-02,107500,109500,106000,106000,75699
34,2010-11-03,107000,107500,103000,103500,128315
35,2010-11-04,103500,105000,100000,103500,152064
36,2010-11-05,104500,107500,102000,106000,148871
37,2010-11-08,106000,107500,104000,104500,66812
38,2010-11-09,105000,106000,104000,106000,76800
39,2010-11-10,106000,106000,103000,103500,64289
40,2010-11-11,103000,104000,102000,103000,65831
41,2010-11-12,102500,103000,99900,101500,116046
42,2010-11-15,101000,102000,97100,97300,147296
43,2010-11-16,96600,96800,93200,95000,116673
44,2010-11-17,93800,96800,93500,95300,61222
45,2010-11-18,95100,97400,95100,97400,60563
46,2010-11-19,97900,101500,97300,101500,147605
47,2010-11-22,102000,104500,101500,102500,104394
48,2010-11-23,103000,103000,99800,100500,71507
49,2010-11-24,97200,100000,97100,99600,86205
50,2010-11-25,100500,102500,98800,100500,43794
51,2010-11-26,100500,101000,98700,98900,40626
52,2010-11-29,98900,98900,97500,97600,29317
53,2010-11-30,97800,98900,96200,97000,33582
54,2010-12-01,97300,98300,94900,95300,89518
55,2010-12-02,96000,96700,94800,96100,69891
56,2010-12-03,96500,96700,94300,94400,83536
57,2010-12-06,94500,95300,92500,92500,91714
58,2010-12-07,93000,93500,92300,93500,60003
59,2010-12-08,93800,98400,92600,98000,140501
60,2010-12-09,98000,99400,96800,97400,114148
61,2010-12-10,98000,98200,95800,96100,47643
62,2010-12-13,96000,96400,94400,95000,60379
63,2010-12-14,96000,98700,95500,97900,126938
64,2010-12-15,98800,99100,98000,98000,90742
65,2010-12-16,99300,101000,97900,100000,133476
66,2010-12-17,101000,103000,100500,102000,134732
67,2010-12-20,100000,102000,99700,101500,78665
68,2010-12-21,103500,103500,101000,101500,59454
69,2010-12-22,103000,104000,102000,103500,87179
70,2010-12-23,103500,105500,102000,105000,87804
71,2010-12-24,105500,105500,103500,104000,44527
72,2010-12-27,104500,104500,101000,102000,64401
73,2010-12-28,102000,104000,101000,103000,44981
74,2010-12-29,103000,104000,102000,103500,31025
75,2010-12-30,103000,103500,102000,102500,33264
76,2011-01-03,103000,103000,101000,102000,56332
