,날짜,시가,고가,저가,종가,거래량
0,2016-10-04,6749,8000,6075,7475,4562896
1,2016-10-05,7400,7750,7225,7550,1095269
2,2016-10-06,7550,7975,7024,7650,866798
3,2016-10-07,7550,7750,7250,7250,335463
4,2016-10-10,7200,8100,7150,7250,597020
5,2016-10-11,7275,7700,7200,7500,252425
6,2016-10-12,7375,7700,7324,7650,156469
7,2016-10-13,7650,7650,7400,7575,95647
8,2016-10-14,7500,7800,7474,7750,96745
9,2016-10-17,7700,7800,7250,7275,174759
10,2016-10-18,7274,7450,6900,7350,167770
11,2016-10-19,7300,7400,7075,7250,51375
12,2016-10-20,7250,7900,7200,7350,513018
13,2016-10-21,7375,7700,7375,7700,166240
14,2016-10-24,7650,7800,7600,7775,124228
15,2016-10-25,7800,7800,7450,7550,65990
16,2016-10-26,7625,7825,7525,7675,160565
17,2016-10-27,7650,7900,7450,7750,130313
18,2016-10-28,7625,7875,7525,7700,80731
19,2016-10-31,7600,7725,7425,7500,41387
20,2016-11-01,7575,7725,7375,7725,71745
21,2016-11-02,7700,7825,7500,7575,94654
22,2016-11-03,7475,7625,7275,7525,117287
23,2016-11-04,7574,7574,7350,7350,33919
24,2016-11-07,7400,7500,7325,7325,26951
25,2016-11-08,7350,7500,7224,7450,67874
26,2016-11-09,7475,7475,6900,7400,86837
27,2016-11-10,7300,7375,6725,6800,335735
28,2016-11-11,6900,6900,6525,6525,138693
29,2016-11-14,6574,6850,6525,6750,191212
30,2016-11-15,6900,7274,6750,7150,208458
31,2016-11-16,7250,7575,7200,7375,168700
32,2016-11-17,7325,7500,7300,7400,259759
33,2016-11-18,7400,7450,7150,7250,83476
34,2016-11-21,7250,7450,7174,7350,44476
35,2016-11-22,7325,7500,7075,7225,101980
36,2016-11-23,7175,7225,7100,7125,50960
37,2016-11-24,7125,7300,7049,7125,25979
38,2016-11-25,7225,7225,7050,7200,50493
39,2016-11-28,7175,7524,7175,7450,48891
40,2016-11-29,7449,7449,7200,7325,108863
41,2016-11-30,7400,7500,7225,7500,33104
42,2016-12-01,7524,7550,7124,7450,42275
43,2016-12-02,7500,7500,7225,7225,18462
44,2016-12-05,7250,7450,7125,7350,23254
45,2016-12-06,7250,7475,7225,7275,9739
46,2016-12-07,7225,7450,7150,7350,25903
47,2016-12-08,7325,7525,7275,7425,28562
48,2016-12-09,7550,8300,7475,7625,308935
49,2016-12-12,7750,7825,7550,7725,67934
50,2016-12-13,7600,7750,7400,7700,784072
51,2016-12-14,7700,7700,7474,7550,121055
52,2016-12-15,7525,7550,7300,7350,170375
53,2016-12-16,7349,7425,7250,7375,49424
54,2016-12-19,7350,7425,7125,7400,85676
55,2016-12-20,7274,7450,7274,7350,48812
56,2016-12-21,7300,7449,7249,7425,45359
57,2016-12-22,7425,7475,7300,7475,31469
58,2016-12-23,7450,7550,7375,7450,50380
59,2016-12-26,7400,7600,7325,7600,46965
60,2016-12-27,7475,7600,7449,7525,35033
61,2016-12-28,7425,7650,7425,7575,56148
62,2016-12-29,7575,7700,7500,7650,39250
63,2017-01-02,7650,7650,7450,7600,25404
64,2017-01-03,7524,7775,7524,7650,43492
65,2017-01-04,7624,7724,7524,7650,57658
66,2017-01-05,7575,7600,7500,7500,47137
67,2017-01-06,7500,7500,7275,7300,47616
68,2017-01-09,7250,7325,7225,7275,36763
69,2017-01-10,7250,7325,7050,7175,62814
70,2017-01-11,7100,7150,6950,7000,102601
71,2017-01-12,6950,7075,6650,6850,132494
72,2017-01-13,6850,7100,6750,6900,100755
73,2017-01-16,6900,7025,6800,6825,36335
74,2017-01-17,6850,7250,6825,7100,115530
75,2017-01-18,7100,7475,7100,7375,301597
76,2017-01-19,7350,7400,7224,7250,68995
77,2017-01-20,7250,7474,7174,7350,116220
78,2017-01-23,7300,7474,7150,7350,72250
79,2017-01-24,7350,7475,7175,7200,64767
80,2017-01-25,7200,7450,7200,7375,62906
81,2017-01-26,7500,7550,7225,7500,100999
82,2017-01-31,7500,7500,7000,7300,283083
83,2017-02-01,7300,7725,7250,7700,341255
84,2017-02-02,7700,7725,7500,7575,159040
85,2017-02-03,7500,7825,7400,7800,219105
86,2017-02-06,7675,8275,7550,8100,382847
87,2017-02-07,8000,8049,7625,7825,162538
88,2017-02-08,7825,8100,7700,7975,276434
89,2017-02-09,7875,8075,7750,8025,138570
90,2017-02-10,8025,8425,7925,8250,323225
91,2017-02-13,8250,8350,7950,8275,102379
92,2017-02-14,8250,8550,8125,8225,140999
93,2017-02-15,8225,8400,7925,8000,122128
94,2017-02-16,8025,8050,7725,7800,122464
95,2017-02-17,7800,8175,7775,8050,73326
96,2017-02-20,8200,8250,7875,8075,81575
97,2017-02-21,8000,8375,8000,8225,93785
98,2017-02-22,8325,8600,8250,8425,113196
99,2017-02-23,8525,8575,8350,8425,93464
100,2017-02-24,8400,8549,7950,7950,90031
101,2017-02-27,7950,8225,7750,8100,47449
102,2017-02-28,8400,8450,8100,8300,226373
