,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,9191,9267,8834,8987,160350
1,2000-01-05,8731,8987,8629,8629,142580
2,2000-01-06,8680,8833,8016,8017,254400
3,2000-01-07,8169,8450,8118,8348,136510
4,2000-01-10,7122,8348,7122,7991,156490
5,2000-01-11,8068,8399,7965,8017,360080
6,2000-01-12,8220,8425,8067,8170,347820
7,2000-01-13,8170,8297,7915,7914,203640
8,2000-01-14,7914,8068,7659,7889,202860
9,2000-01-17,7965,7991,7684,7710,236820
10,2000-01-18,7658,7837,7403,7608,159100
11,2000-01-19,7404,7557,6893,6995,240320
12,2000-01-20,6842,6842,5974,6459,332460
13,2000-01-21,6357,6689,6000,6485,305140
14,2000-01-24,6689,6970,6382,6663,713510
15,2000-01-25,6612,6663,6203,6204,201100
16,2000-01-26,6306,6586,6178,6587,306520
17,2000-01-27,6586,7301,6484,6919,397500
18,2000-01-28,6893,7250,6739,7251,264030
19,2000-01-31,7148,7557,6944,7455,279390
20,2000-02-01,7455,7557,7097,7353,134780
21,2000-02-02,7301,7863,7301,7761,158200
22,2000-02-03,7761,7863,7557,7761,106380
23,2000-02-07,7659,7889,7608,7761,144510
24,2000-02-08,7736,7736,7480,7557,131480
25,2000-02-09,7404,7608,6995,7353,274310
26,2000-02-10,7251,7251,6893,7046,245950
27,2000-02-11,6893,7148,6535,6944,206160
28,2000-02-14,6434,6842,6434,6434,92870
29,2000-02-15,6127,6638,6127,6383,113000
30,2000-02-16,6535,6561,6127,6536,82790
31,2000-02-17,6382,6612,6255,6383,184260
32,2000-02-18,6306,6638,6280,6536,169140
33,2000-02-21,6382,6434,5719,5719,104170
34,2000-02-22,5617,5872,5387,5719,124580
35,2000-02-23,5974,6484,5820,6178,253220
36,2000-02-24,5974,6281,5770,6127,106190
37,2000-02-25,5642,6638,5642,6280,198650
38,2000-02-28,6127,6229,5898,6127,141090
39,2000-02-29,6178,6306,6025,6127,146550
40,2000-03-02,5974,6255,5974,6178,167510
41,2000-03-03,6127,6127,5362,5770,247500
42,2000-03-06,5821,6255,5770,6025,240830
43,2000-03-07,6127,6638,6050,6280,487030
44,2000-03-08,6178,6587,5974,6459,253520
45,2000-03-09,6740,7200,6638,6638,567720
46,2000-03-10,6791,6893,6434,6612,311830
47,2000-03-13,6638,7097,6638,7097,504770
48,2000-03-14,7072,7353,6842,6944,277530
49,2000-03-15,6944,6995,6433,6893,145430
50,2000-03-16,6893,7046,6689,6791,166930
51,2000-03-17,6893,7047,6536,6689,121170
52,2000-03-20,6689,6842,6485,6587,76140
53,2000-03-21,6586,6586,6229,6383,79870
54,2000-03-22,6434,6587,6332,6332,211800
55,2000-03-23,6485,6536,5974,6076,186830
56,2000-03-24,6331,6408,6153,6229,156810
57,2000-03-27,6229,6331,6076,6280,156280
58,2000-03-28,6280,6791,6229,6791,466890
59,2000-03-29,6842,6842,6459,6612,374260
60,2000-03-30,6893,7327,6791,7046,793440
61,2000-03-31,7046,7353,6739,7251,489650
62,2000-04-03,7353,7378,6689,6995,351530
63,2000-04-04,7046,7353,6817,6970,207230
64,2000-04-06,6842,6868,6613,6689,125410
65,2000-04-07,6382,6842,6382,6485,197090
66,2000-04-10,6638,7123,6535,6944,329660
67,2000-04-11,6893,6893,6536,6842,160510
68,2000-04-12,6740,7250,6638,7174,365350
69,2000-04-14,7021,7148,6842,7123,153620
70,2000-04-17,6434,6893,6434,6689,176620
71,2000-04-18,7148,7148,6485,6791,239950
72,2000-04-19,6944,7251,6842,7046,396570
73,2000-04-20,7148,7634,7097,7404,688070
74,2000-04-21,7505,7633,7225,7634,405450
75,2000-04-24,7659,7812,7097,7149,280030
76,2000-04-25,6944,7557,6944,7455,370850
77,2000-04-26,7608,7659,7148,7225,167530
78,2000-04-27,7200,7353,6944,7149,229810
79,2000-04-28,7148,7301,6995,7149,118890
80,2000-05-02,7021,7250,6817,6970,144130
81,2000-05-03,6893,6995,6791,6970,83130
82,2000-05-04,6995,7046,6638,6791,196210
83,2000-05-08,6790,6918,6714,6740,180530
84,2000-05-09,6740,6740,6485,6638,214090
85,2000-05-10,6485,6842,6459,6791,141670
86,2000-05-12,6689,6790,6459,6536,119780
87,2000-05-15,6281,6485,6127,6280,101000
88,2000-05-16,6127,6280,6025,6204,94500
89,2000-05-17,6025,6255,5540,5540,227850
90,2000-05-18,5540,5616,4779,5259,331980
91,2000-05-19,5157,5259,4968,5208,118410
92,2000-05-22,5234,5310,4457,4534,190640
93,2000-05-23,3942,4672,3855,3855,1153350
94,2000-05-24,3855,4049,3728,3906,593530
95,2000-05-25,4034,4432,3911,4289,558340
96,2000-05-26,4181,4181,3732,3830,345890
97,2000-05-29,3579,4034,3523,3901,175210
98,2000-05-30,3952,4126,3927,3983,460140
99,2000-05-31,4166,4289,4044,4187,652600
100,2000-06-01,4284,4284,3998,4085,331080
101,2000-06-02,4187,4391,4085,4136,1096890
102,2000-06-05,4243,4519,4228,4401,1786910
103,2000-06-07,4493,4851,4391,4662,1433180
104,2000-06-08,4677,4733,4218,4289,864260
105,2000-06-09,4391,4493,4237,4366,583010
106,2000-06-12,4289,4432,4289,4386,625470
107,2000-06-13,4365,4666,4314,4325,836180
108,2000-06-14,4544,4544,4238,4238,332590
109,2000-06-15,4090,4177,3983,3983,343340
110,2000-06-16,3932,3982,3819,3855,316650
111,2000-06-19,3712,3854,3625,3625,369080
112,2000-06-20,3747,3875,3707,3830,416640
113,2000-06-21,3798,3901,3758,3784,370800
114,2000-06-22,3880,3926,3788,3870,249320
115,2000-06-23,3829,4059,3789,3998,369600
116,2000-06-26,4034,4075,3932,4039,193710
117,2000-06-27,4090,4161,4014,4136,244160
118,2000-06-28,4171,4437,4136,4325,555850
119,2000-06-29,4238,4585,4238,4442,732420
120,2000-06-30,4493,4554,4289,4315,314050
121,2000-07-03,4371,4738,4355,4570,803880
122,2000-07-04,4657,4698,4447,4468,389570
123,2000-07-05,4416,4509,4243,4468,307460
124,2000-07-06,4391,4590,4355,4544,311410
125,2000-07-07,4610,5004,4595,4820,885430
126,2000-07-10,4851,5208,4851,4999,574760
127,2000-07-11,5004,5096,4748,4749,500150
128,2000-07-12,4754,4851,4443,4478,461100
129,2000-07-13,4478,4636,4365,4595,391410
130,2000-07-14,4579,4579,4421,4463,372850
131,2000-07-18,4366,4432,4161,4274,298790
132,2000-07-19,4186,4268,4095,4187,230920
133,2000-07-20,4238,4238,4110,4238,143750
134,2000-07-21,4243,4314,4161,4187,107250
135,2000-07-24,4099,4156,3967,3967,147450
136,2000-07-25,3983,4131,3983,4085,174650
137,2000-07-26,4120,4146,4008,4126,114850
138,2000-07-27,4085,4156,4033,4131,118730
139,2000-07-28,4136,4212,4085,4131,102050
140,2000-07-31,4085,4177,3983,4110,126740
141,2000-08-01,4136,4202,4110,4187,116570
142,2000-08-02,4136,4233,4136,4187,50880
143,2000-08-03,4187,4253,4161,4228,88640
