,날짜,시가,고가,저가,종가,거래량
0,2018-07-13,223000,233000,156500,160000,890434
1,2018-07-16,163500,180000,162000,174000,667957
2,2018-07-17,167500,177000,165000,174000,291798
3,2018-07-18,171000,177500,160500,162500,172571
4,2018-07-19,165500,176000,163500,169500,192445
5,2018-07-20,167000,168000,159000,163000,131393
6,2018-07-23,164000,166000,153000,154500,79709
7,2018-07-24,153000,156000,150500,154500,65673
8,2018-07-25,156000,158000,148000,151500,63498
9,2018-07-26,151500,156000,148000,156000,37620
10,2018-07-27,156000,163000,154000,160000,57547
11,2018-07-30,163000,167000,160500,166500,45047
12,2018-07-31,166500,170000,162000,170000,47931
13,2018-08-01,170000,170500,165000,168000,29004
14,2018-08-02,167500,168000,159000,159500,44807
15,2018-08-03,161000,162500,156000,160000,29571
16,2018-08-06,159500,163500,158000,160000,20620
17,2018-08-07,160000,161000,157000,160500,23485
18,2018-08-08,161000,162500,159000,162000,27426
19,2018-08-09,162000,163500,160000,160000,31185
20,2018-08-10,161000,161500,157500,160000,16412
21,2018-08-13,158500,158500,152000,156000,32502
22,2018-08-14,156000,158000,154500,157000,32384
23,2018-08-16,153500,155500,151500,154000,31271
24,2018-08-17,154500,156000,152500,156000,31044
25,2018-08-20,155000,159500,154500,157500,28102
26,2018-08-21,158500,163500,158000,163500,28959
27,2018-08-22,162000,163000,154000,157000,48208
28,2018-08-23,157000,157000,149500,152000,42651
29,2018-08-24,151500,156500,151000,153000,21836
30,2018-08-27,154000,154000,147000,149500,42669
31,2018-08-28,149500,153500,148000,152500,33433
32,2018-08-29,152500,158000,151500,156000,37147
33,2018-08-30,157000,161500,156500,160000,50073
34,2018-08-31,160000,160000,157000,160000,17009
35,2018-09-03,160500,160500,154000,155000,26951
36,2018-09-04,155000,157000,154000,154500,10184
37,2018-09-05,153000,154000,149500,149500,29218
38,2018-09-06,150000,152000,148000,151000,26607
39,2018-09-07,151500,151500,148500,151500,18078
40,2018-09-10,150000,151500,147500,149000,16942
41,2018-09-11,148000,148500,144500,146000,25694
42,2018-09-12,146000,150000,145500,148500,25366
43,2018-09-13,149000,149000,144500,146000,19917
44,2018-09-14,145500,149500,145500,149500,25016
45,2018-09-17,153000,153000,147500,151500,18903
46,2018-09-18,151500,151500,147500,149000,12761
47,2018-09-19,148000,150500,147000,149500,17799
48,2018-09-20,148500,148500,143500,143500,26386
49,2018-09-21,145000,146000,142000,142500,33246
50,2018-09-27,142500,143500,140500,143500,23676
51,2018-09-28,143500,143500,140500,141500,26581
52,2018-10-01,141000,142000,137000,141500,29584
53,2018-10-02,139000,140500,136000,137000,19850
54,2018-10-04,136000,137000,128500,133000,40319
55,2018-10-05,131000,133500,128000,132500,22780
56,2018-10-08,133000,135000,129000,130500,16033
57,2018-10-10,129000,130500,121500,125000,25391
58,2018-10-11,118000,122500,117500,118500,58573
59,2018-10-12,116500,120500,116000,119000,26279
60,2018-10-15,118500,119500,113000,114500,29603
61,2018-10-16,113500,116000,110500,111500,38455
62,2018-10-17,113000,114500,110500,112500,35993
63,2018-10-18,112500,117000,111000,114500,24092
64,2018-10-19,113000,114500,111000,114000,15920
65,2018-10-22,114000,117500,111500,117500,18974
66,2018-10-23,116000,117500,111500,115000,27885
67,2018-10-24,114500,115000,107000,108500,40098
68,2018-10-25,105000,106000,100000,103000,41314
69,2018-10-26,103500,105000,96200,102500,41168
70,2018-10-29,101000,103500,97500,99300,38477
71,2018-10-30,97200,102000,97000,99600,29117
72,2018-10-31,100500,104500,99200,104500,33263
73,2018-11-01,101500,104500,100000,100500,32957
74,2018-11-02,101500,104000,101500,104000,21760
75,2018-11-05,103000,106000,102000,103500,9240
76,2018-11-06,103500,105500,100000,102000,15658
77,2018-11-07,102000,103000,99300,100000,12688
78,2018-11-08,101000,102000,99300,99300,18218
79,2018-11-09,100000,100500,99000,100000,11584
80,2018-11-12,99900,100500,99000,100500,12535
81,2018-11-13,99500,101000,98100,100500,17593
82,2018-11-14,100500,102500,100000,101000,9353
83,2018-11-15,100000,102000,99100,101000,13965
84,2018-11-16,101000,103000,100500,103000,6254
85,2018-11-19,103000,104500,101000,104500,16588
86,2018-11-20,103000,105000,102500,104500,9667
87,2018-11-21,103000,110000,102500,108000,22384
88,2018-11-22,107500,108000,105500,105500,6909
89,2018-11-23,105500,106500,103000,103500,11761
90,2018-11-26,103000,108000,103000,108000,9782
91,2018-11-27,108000,108500,106000,108000,3581
92,2018-11-28,108500,111000,107500,110500,16832
93,2018-11-29,111500,113000,110000,111000,13916
94,2018-11-30,111500,113000,110000,110000,13440
95,2018-12-03,111500,114000,111000,114000,16662
96,2018-12-04,114500,114500,111500,113000,12528
97,2018-12-05,111000,112500,109500,111500,7213
98,2018-12-06,111000,114000,109500,111500,15302
99,2018-12-07,112500,112500,109500,112000,7126
100,2018-12-10,110000,112000,109000,110000,6985
101,2018-12-11,111000,111000,108500,110500,11132
102,2018-12-12,111000,113000,110000,113000,8812
103,2018-12-13,114000,115000,111500,113500,16902
104,2018-12-14,113500,115000,112000,112500,10574
105,2018-12-17,112000,115000,112000,114500,13654
