,날짜,시가,고가,저가,종가,거래량
0,2018-07-13,228000,296000,228000,247500,858526
1,2018-07-16,246500,247000,219500,221500,331498
2,2018-07-17,214000,219500,206000,217000,228068
3,2018-07-18,214000,225500,203000,203000,154226
4,2018-07-19,208500,223000,206000,214000,188354
5,2018-07-20,213000,215000,202500,208000,87319
6,2018-07-23,208000,209500,195000,198500,92693
7,2018-07-24,198500,206500,197500,205500,55170
8,2018-07-25,206000,212000,199000,207000,61153
9,2018-07-26,206500,210000,202500,209000,37175
10,2018-07-27,208500,217500,207000,215500,44328
11,2018-07-30,214000,221500,214000,221500,36129
12,2018-07-31,219000,223000,214000,222500,32084
13,2018-08-01,221000,224500,219000,223000,17186
14,2018-08-02,222000,222000,213000,214500,28712
15,2018-08-03,216000,217500,209000,215000,20363
16,2018-08-06,216500,217500,212000,213000,14843
17,2018-08-07,212500,214500,206000,209000,32215
18,2018-08-08,208000,211500,204000,204500,26860
19,2018-08-09,204500,206500,203000,204500,33837
20,2018-08-10,204500,209000,202500,208500,14960
21,2018-08-13,206000,208000,196500,202000,30039
22,2018-08-14,203000,204000,200500,203500,16943
23,2018-08-16,200500,200500,196000,198000,21318
24,2018-08-17,199500,200000,189500,199000,46663
25,2018-08-20,199000,200000,194500,199000,21011
26,2018-08-21,199000,203500,196500,199500,30693
27,2018-08-22,198000,198000,184500,187000,114151
28,2018-08-23,185500,187500,175000,177000,66146
29,2018-08-24,179000,185000,173500,182500,61610
30,2018-08-27,182500,183000,176500,180000,40291
31,2018-08-28,179000,183000,179000,182500,22599
32,2018-08-29,181000,187000,181000,183000,32022
33,2018-08-30,184000,192500,182000,189000,46902
34,2018-08-31,189000,190000,185000,190000,19820
35,2018-09-03,191500,193000,182500,184000,34419
36,2018-09-04,186000,186000,180500,184000,28664
37,2018-09-05,185000,188500,179500,180500,30520
38,2018-09-06,182500,183000,179000,180000,12328
39,2018-09-07,180500,183000,176000,181500,25820
40,2018-09-10,182000,182000,176000,177500,11622
41,2018-09-11,177500,178500,175000,177500,19093
42,2018-09-12,179500,187500,177000,181500,29812
43,2018-09-13,181500,188000,181000,187000,14423
44,2018-09-14,189000,193500,188500,192000,32258
45,2018-09-17,194000,194000,190000,191000,17200
46,2018-09-18,192000,192000,186000,186500,13662
47,2018-09-19,186500,188500,183000,188500,21590
48,2018-09-20,188000,188500,181000,182000,28148
49,2018-09-21,183000,186500,181000,185000,21192
50,2018-09-27,184000,187500,181000,187500,28478
51,2018-09-28,187000,188000,183000,186000,21793
52,2018-10-01,187000,187000,179500,183500,20848
53,2018-10-02,183500,184000,180500,184000,18567
54,2018-10-04,183000,184500,174500,175500,34848
55,2018-10-05,175500,176500,169000,176500,24145
56,2018-10-08,174500,177000,171500,175500,21662
57,2018-10-10,176500,176500,165500,170000,23875
58,2018-10-11,160500,167000,160000,160500,36018
59,2018-10-12,158500,167000,158500,165500,16130
60,2018-10-15,162000,165500,159500,160000,11321
61,2018-10-16,161000,163500,158500,162500,14842
62,2018-10-17,164000,167500,162500,166500,15979
63,2018-10-18,166000,171000,163500,170000,11694
64,2018-10-19,168000,174000,165500,173500,9799
65,2018-10-22,173500,176500,171000,176000,7341
66,2018-10-23,173500,175500,168000,170500,10987
67,2018-10-24,170000,173500,167000,170500,10420
68,2018-10-25,167000,168500,163000,166000,10497
69,2018-10-26,165000,167500,155500,162000,18686
70,2018-10-29,161000,164000,154500,157000,27564
71,2018-10-30,157000,167000,155000,166000,13957
72,2018-10-31,166500,174500,163500,174500,14726
73,2018-11-01,175500,185500,169000,169500,37272
74,2018-11-02,171500,175500,171000,172000,11903
75,2018-11-05,170500,175000,169500,172000,8081
76,2018-11-06,173500,175000,167500,170000,10399
77,2018-11-07,168500,171500,168000,170000,7417
78,2018-11-08,170500,174000,170500,173000,4632
79,2018-11-09,174500,174500,170500,173500,4239
80,2018-11-12,173500,174000,169000,173500,14215
81,2018-11-13,172000,174000,168000,173500,15042
82,2018-11-14,172000,178500,172000,175500,24158
83,2018-11-15,174000,176500,169500,174000,11144
84,2018-11-16,174500,176000,173000,175000,9160
85,2018-11-19,176500,178000,175000,176500,9240
86,2018-11-20,174000,177000,171500,175000,12474
87,2018-11-21,174000,181500,171500,180500,10672
88,2018-11-22,181500,184000,177500,183500,8377
89,2018-11-23,184000,184500,182000,182500,6072
90,2018-11-26,181500,186000,181500,185500,12622
91,2018-11-27,185500,187000,182000,186500,5276
92,2018-11-28,187500,189000,185500,188000,7065
93,2018-11-29,188000,190500,187000,190000,8941
94,2018-11-30,190000,192000,186500,186500,10600
95,2018-12-03,189000,193000,187500,191000,8215
96,2018-12-04,192500,192500,187500,190500,7841
97,2018-12-05,187000,189500,183500,187000,15191
98,2018-12-06,187500,189000,182500,182500,9019
99,2018-12-07,183000,186000,179500,183500,2891
100,2018-12-10,180000,184500,178000,183500,8640
101,2018-12-11,182500,184000,178500,183000,6307
102,2018-12-12,185000,190000,183500,190000,11482
103,2018-12-13,190500,193000,186000,189000,11805
104,2018-12-14,190500,192500,188000,188500,15480
105,2018-12-17,188500,191000,187000,189000,9348
106,2018-12-18,185500,189000,180500,186000,15163
107,2018-12-19,185500,191000,183500,189500,28647
108,2018-12-20,188000,189500,185500,188000,12034
109,2018-12-21,186000,188500,182500,188000,23899
110,2018-12-24,190000,190000,185000,188000,9191
111,2018-12-26,184500,188500,181500,181500,16089
112,2018-12-27,185000,185500,181500,185500,12612
113,2018-12-28,184000,186000,183000,185000,7987
114,2019-01-02,184000,186000,183500,185000,7367
115,2019-01-03,185000,187000,180000,186000,11068
116,2019-01-04,186500,186500,179000,184500,9539
117,2019-01-07,186000,186500,182500,184500,2404
118,2019-01-08,184500,186000,182500,186000,4107
119,2019-01-09,186500,187500,184500,187000,7676
120,2019-01-10,187000,187500,183000,185500,7294
121,2019-01-11,183000,186500,183000,186000,6173
122,2019-01-14,184000,187500,183000,186000,12327
123,2019-01-15,184500,187000,183000,183500,11666
124,2019-01-16,183500,184500,180500,184000,9306
125,2019-01-17,184500,184500,179500,182000,9341
126,2019-01-18,182000,185500,180500,185000,6717
127,2019-01-21,185500,186000,183000,185000,3222
128,2019-01-22,185000,185000,179500,185000,9434
129,2019-01-23,182000,183500,178500,179500,12674
130,2019-01-24,179000,181500,172000,175000,38369
131,2019-01-25,175000,175000,169500,170500,14659
132,2019-01-28,170500,173500,169500,171500,10707
133,2019-01-29,170000,172000,167000,169000,16109
134,2019-01-30,170000,174500,169500,174500,15606
135,2019-01-31,172500,174500,171000,171500,15905
136,2019-02-01,171500,172000,168500,169500,9220
137,2019-02-07,169500,170500,169000,170000,7054
138,2019-02-08,170000,170000,164000,165500,24938
139,2019-02-11,166500,166500,163000,165500,7985
140,2019-02-12,165500,167500,164000,165000,11062
141,2019-02-13,165000,172000,165000,170500,14176
142,2019-02-14,170500,171500,167000,171000,6334
143,2019-02-15,171000,171500,168500,171500,5621
144,2019-02-18,171000,172000,170000,172000,4111
145,2019-02-19,172000,173000,170000,170500,7027
146,2019-02-20,171500,171500,168500,170500,5325
147,2019-02-21,169500,177000,169000,176500,11596
148,2019-02-22,176500,177000,173500,177000,8749
149,2019-02-25,177500,178000,173000,175000,6900
150,2019-02-26,174500,175500,171500,173000,4988
151,2019-02-27,172000,173500,170500,171000,3437
152,2019-02-28,171000,174000,168000,168000,7715
153,2019-03-04,171000,172500,168000,168500,4211
154,2019-03-05,169000,171500,166000,169000,5155
155,2019-03-06,169500,170500,167500,168500,3887
156,2019-03-07,169000,169500,163500,164000,14077
157,2019-03-08,163500,165500,163000,164500,11823
158,2019-03-11,164000,164500,160000,164500,8928
159,2019-03-12,166000,166000,162500,164000,7595
160,2019-03-13,164000,167500,164000,166500,7601
161,2019-03-14,167500,172500,166500,172500,17985
162,2019-03-15,172500,175000,169000,169000,19681
163,2019-03-18,169000,181000,169000,181000,31624
164,2019-03-19,182000,192000,181500,188000,47370
165,2019-03-20,190500,190500,183500,189000,22781
166,2019-03-21,189500,190000,183000,188500,18146
167,2019-03-22,186500,192000,186000,190500,12197
168,2019-03-25,187000,188500,183500,185000,12340
169,2019-03-26,185000,189000,184000,185500,10095
170,2019-03-27,186500,186500,180500,184000,8846
171,2019-03-28,184500,184500,174000,176000,13692
172,2019-03-29,176000,176500,169000,173000,22440
173,2019-04-01,175500,182000,174000,179000,17252
174,2019-04-02,181000,181000,176000,177000,4689
175,2019-04-03,176000,179500,174500,176000,5644
176,2019-04-04,175000,178000,173000,175000,8212
177,2019-04-05,175500,180000,173500,178500,8829
178,2019-04-08,180000,180000,177000,179000,2978
179,2019-04-09,179000,179000,173500,175000,14156
180,2019-04-10,174500,175000,173000,173500,5364
181,2019-04-11,174500,174500,170500,172500,11827
182,2019-04-12,171500,173500,169500,172500,20464
183,2019-04-15,172500,174000,170000,173000,13612
184,2019-04-16,171500,173000,169000,170000,18782
185,2019-04-17,170500,173000,169000,171500,9336
186,2019-04-18,171500,172000,169000,170500,21143
187,2019-04-19,171000,171000,169500,170500,10861
188,2019-04-22,171000,173000,171000,172500,10958
189,2019-04-23,172500,173000,169000,170000,10559
190,2019-04-24,170000,171500,167500,167500,9340
191,2019-04-25,167000,169000,163500,165000,12353
192,2019-04-26,165000,165000,163500,163500,6237
193,2019-04-29,166000,169500,165000,167000,9333
194,2019-04-30,167000,169500,163500,166000,7848
195,2019-05-02,168000,168500,165000,166500,8649
196,2019-05-03,167000,167500,162000,166500,12870
197,2019-05-07,163500,168500,162000,167000,18115
198,2019-05-08,164000,170000,164000,169500,7714
199,2019-05-09,169500,169500,161000,161000,10214
200,2019-05-10,161500,162500,156000,159000,19376
201,2019-05-13,159500,160500,155000,155500,9438
202,2019-05-14,152500,155000,152000,154000,10015
203,2019-05-15,153500,158000,153500,157500,11090
204,2019-05-16,158500,158500,153500,155000,11415
205,2019-05-17,155000,156500,154500,155500,6628
206,2019-05-20,154000,156000,152500,153000,4904
207,2019-05-21,151000,154500,151000,152500,4047
208,2019-05-22,153000,153500,152500,153000,3808
209,2019-05-23,153000,153000,149500,150500,8976
210,2019-05-24,149500,150500,142500,143000,20340
211,2019-05-27,141500,143500,141000,142500,9219
212,2019-05-28,141500,144000,141000,142000,9303
213,2019-05-29,142000,142000,137500,139000,17237
214,2019-05-30,137500,139500,137000,138500,11819
215,2019-05-31,138000,144500,138000,140500,10030
216,2019-06-03,139000,141000,138500,139000,4055
217,2019-06-04,139000,143000,139000,142500,5682
218,2019-06-05,143000,144000,141000,142500,4894
219,2019-06-07,143000,143000,139500,140500,8542
220,2019-06-10,140000,142000,140000,141500,2491
221,2019-06-11,140500,148000,139500,148000,16160
222,2019-06-12,148000,148500,144500,148000,5611
223,2019-06-13,148000,152500,146500,152500,9230
224,2019-06-14,152500,153000,149000,149000,3832
225,2019-06-17,149500,150500,147500,149000,1621
226,2019-06-18,147500,150000,146000,148000,3665
227,2019-06-19,148000,149500,146000,147000,2709
228,2019-06-20,146000,153000,146000,150000,13976
229,2019-06-21,150000,150000,141000,141000,14522
230,2019-06-24,143000,143500,141000,142500,4191
231,2019-06-25,142000,146000,142000,144000,8289
232,2019-06-26,143000,146000,142500,145000,3062
233,2019-06-27,144000,146000,142500,145000,3481
234,2019-06-28,145000,145000,141000,142000,9006
235,2019-07-01,142000,144000,141500,143500,3641
236,2019-07-02,142500,146500,140500,145500,18334
237,2019-07-03,145500,146500,140500,142000,14648
238,2019-07-04,143000,145500,142000,145500,6272
239,2019-07-05,144500,146000,141500,145500,6411
240,2019-07-08,145500,145500,138500,139000,8393
241,2019-07-09,140500,141500,139000,140500,5391
242,2019-07-10,140000,142000,138000,141000,6481
243,2019-07-11,142000,144000,139500,143000,5872
244,2019-07-12,141500,145000,141000,143500,6477
245,2019-07-15,143500,144500,140500,143500,3690
246,2019-07-16,143500,149000,141000,146500,8318
247,2019-07-17,145000,147000,143500,145500,8159
