,날짜,시가,고가,저가,종가,거래량
0,2006-12-22,1370,1576,1370,1449,6690732
1,2006-12-26,1498,1498,1307,1322,1989107
2,2006-12-27,1326,1346,1277,1293,1102386
3,2006-12-28,1287,1410,1287,1332,1035962
4,2007-01-02,1336,1356,1312,1317,677295
5,2007-01-03,1322,1429,1317,1376,1445012
6,2007-01-04,1356,1464,1356,1440,1507331
7,2007-01-05,1434,1478,1370,1425,1715665
8,2007-01-08,1424,1454,1400,1410,785392
9,2007-01-09,1419,1424,1385,1386,617099
10,2007-01-10,1380,1390,1317,1342,700216
11,2007-01-11,1326,1351,1322,1332,657323
12,2007-01-12,1351,1380,1317,1381,1029219
13,2007-01-15,1400,1522,1385,1493,3536862
14,2007-01-16,1488,1512,1429,1440,1054517
15,2007-01-17,1459,1532,1415,1513,2097406
16,2007-01-18,1493,1601,1488,1582,2402471
17,2007-01-19,1664,1816,1571,1640,11040290
18,2007-01-22,1659,1733,1591,1733,2675622
19,2007-01-23,1713,1747,1625,1699,3077636
20,2007-01-24,1694,1713,1561,1596,3525049
21,2007-01-25,1596,1620,1547,1616,1819303
22,2007-01-26,1596,1654,1576,1635,1243311
23,2007-01-29,1650,1703,1635,1684,2235435
24,2007-01-30,1694,1713,1654,1665,1237062
25,2007-01-31,1718,1738,1664,1694,1503793
26,2007-02-01,1679,1694,1606,1626,1315189
27,2007-02-02,1606,1674,1596,1675,1400907
28,2007-02-05,1811,1924,1752,1772,6765903
29,2007-02-06,1777,1806,1747,1772,1463338
30,2007-02-07,1811,1845,1772,1772,2676213
31,2007-02-08,1772,2031,1757,1959,5475068
32,2007-02-09,2027,2105,1973,2008,7842866
33,2007-02-12,2007,2134,1943,2130,5481365
34,2007-02-13,2159,2296,2066,2120,7918816
35,2007-02-14,2134,2173,2085,2174,2626552
36,2007-02-15,2213,2222,2110,2110,2786825
37,2007-02-16,2110,2164,2031,2120,2499073
38,2007-02-20,2100,2267,2076,2252,4736994
39,2007-02-21,2301,2301,2178,2233,3110734
40,2007-02-22,2262,2262,2154,2154,2269343
41,2007-02-23,2154,2173,2066,2076,2832104
42,2007-02-26,2056,2139,2012,2076,2121455
43,2007-02-27,2076,2134,2066,2096,1881121
44,2007-02-28,1987,2198,1973,2194,2137869
45,2007-03-02,2193,2271,2159,2233,2989469
46,2007-03-05,2252,2453,2242,2355,6650587
47,2007-03-06,2384,2707,2360,2708,4839369
48,2007-03-07,2888,3109,2712,2801,13880956
49,2007-03-08,2839,3202,2697,3036,9378700
50,2007-03-09,3104,3491,2996,3491,11804171
51,2007-03-12,3618,4010,3593,3853,13731867
52,2007-03-13,3853,4039,3525,3922,11075127
53,2007-03-14,3779,4460,3770,4289,15954278
54,2007-03-15,4357,4925,4308,4926,13310504
55,2007-03-16,5327,5660,5327,5660,7031170
56,2007-03-19,6502,6502,6502,6502,382842
57,2007-03-20,7471,7471,5542,6561,50313323
58,2007-03-21,6384,6463,5581,5582,20753369
59,2007-03-22,5092,5190,4749,4749,7429021
60,2007-03-23,4039,4039,4039,4039,555787
61,2007-03-26,3652,4059,3525,3790,37347096
62,2007-03-27,3799,3838,3221,3222,18821766
63,2007-03-28,3182,3554,3109,3310,24591370
64,2007-03-29,3324,3515,3280,3305,13567133
65,2007-03-30,3270,3451,3011,3452,14372239
66,2007-04-02,3554,3564,3275,3276,9996330
67,2007-04-03,3275,3740,3187,3604,19536018
68,2007-04-04,3731,4108,3603,4098,17844356
69,2007-04-05,4103,4274,3809,3897,14765244
70,2007-04-06,3819,4044,3794,3966,7293735
71,2007-04-09,4112,4509,4034,4500,18589269
