,날짜,시가,고가,저가,종가,거래량
0,2010-09-28,14000,15380,13320,13740,5346244
1,2010-09-29,14020,14260,13800,13820,951249
2,2010-09-30,13800,13900,13560,13680,505994
3,2010-10-01,13799,15719,13799,15720,1617532
4,2010-10-04,16060,17040,15300,16300,2101266
5,2010-10-05,16320,16700,15820,15980,604025
6,2010-10-06,16280,16340,15520,15560,601581
7,2010-10-07,15579,15700,14939,15460,628848
8,2010-10-08,15339,15400,14840,14900,463704
9,2010-10-11,15200,15639,15040,15320,484062
10,2010-10-12,15460,15600,14860,15000,268690
11,2010-10-13,15160,16200,15000,15660,620164
12,2010-10-14,15700,16340,15460,16340,410304
13,2010-10-15,16140,16500,15919,16140,284795
14,2010-10-18,16020,16120,15740,15840,242993
15,2010-10-19,15800,16620,15660,16360,341190
16,2010-10-20,16300,16900,16240,16760,376054
17,2010-10-21,16840,16960,16400,16420,185485
18,2010-10-22,16320,16660,16240,16600,116017
19,2010-10-25,16600,16740,15900,15980,193189
20,2010-10-26,16020,16180,15900,15960,140362
21,2010-10-27,16120,16480,15960,16160,142623
22,2010-10-28,16260,16540,15960,16200,111584
23,2010-10-29,16100,16180,15579,15620,131395
24,2010-11-01,15640,15960,15300,15660,92758
25,2010-11-02,15760,15880,15459,15580,79851
26,2010-11-03,15740,15900,15420,15560,112099
27,2010-11-04,15579,16400,15579,16260,223451
28,2010-11-05,16400,16400,15819,15860,129154
29,2010-11-08,16100,16360,15880,16240,115834
30,2010-11-09,16339,16420,15960,16140,86101
31,2010-11-10,16040,16440,16020,16440,132305
32,2010-11-11,16520,16880,16320,16680,281250
33,2010-11-12,16680,16800,15860,16340,232148
34,2010-11-15,16340,16360,15639,16280,151562
35,2010-11-16,15860,16100,15320,15540,194802
36,2010-11-17,15239,15260,14000,14600,338129
37,2010-11-18,14640,15120,14620,15000,105493
38,2010-11-19,15020,15379,15020,15180,97467
39,2010-11-22,15280,15560,15200,15480,49516
40,2010-11-23,15580,15580,15300,15400,66609
41,2010-11-24,14959,15260,14920,15020,100059
42,2010-11-25,15200,15280,15020,15080,43702
43,2010-11-26,15080,15340,14940,15000,67689
44,2010-11-29,14840,15099,14700,14820,37821
45,2010-11-30,14820,15000,14619,14960,81938
46,2010-12-01,15000,15040,14860,14940,41583
47,2010-12-02,15099,15600,14960,15600,72243
48,2010-12-03,15620,15640,15360,15540,35591
49,2010-12-06,15540,15860,15300,15600,40119
50,2010-12-07,15700,16000,15419,15920,67985
51,2010-12-08,16059,16059,15620,15620,35576
52,2010-12-09,15700,15920,15480,15520,52418
53,2010-12-10,15600,15640,15099,15300,98836
54,2010-12-13,15299,15520,15139,15260,47573
55,2010-12-14,15360,15360,15000,15040,73046
56,2010-12-15,15040,15140,14600,14640,394395
57,2010-12-16,14800,15059,14800,15020,76733
58,2010-12-17,14900,15160,14779,14980,66373
59,2010-12-20,14740,14900,14440,14780,95556
60,2010-12-21,14780,14960,14640,14880,60334
61,2010-12-22,14720,15160,14720,14820,52017
62,2010-12-23,14859,15060,14740,14960,29105
63,2010-12-24,14860,14980,14700,14700,63179
64,2010-12-27,14619,14980,14619,14980,37804
65,2010-12-28,15000,15480,14980,15340,96065
66,2010-12-29,15459,15800,15320,15740,332797
67,2010-12-30,15760,15880,15420,15640,66584
68,2011-01-03,15640,15640,15200,15300,75494
69,2011-01-04,15280,15300,14900,14960,87147
70,2011-01-05,14920,15180,14620,14680,145838
71,2011-01-06,14720,14900,14620,14680,64403
72,2011-01-07,14700,14839,14660,14680,45029
73,2011-01-10,14620,14700,14460,14520,90278
74,2011-01-11,14520,14640,14300,14340,100701
75,2011-01-12,14440,14700,14400,14660,111261
76,2011-01-13,14720,14720,13980,14240,163829
77,2011-01-14,14260,14340,14000,14140,90027
78,2011-01-17,14200,14200,13320,13320,202601
79,2011-01-18,13480,13680,13160,13360,123141
80,2011-01-19,13520,13840,13520,13800,146241
81,2011-01-20,13660,14100,13660,14080,159871
82,2011-01-21,14100,14100,13880,14000,112508
83,2011-01-24,14020,14460,13900,14440,172125
84,2011-01-25,14440,14440,13800,14000,105005
85,2011-01-26,13960,14040,13720,13760,85073
86,2011-01-27,13900,13900,13340,13480,142196
87,2011-01-28,13480,13640,13180,13500,146153
88,2011-01-31,13500,13500,13060,13140,131962
89,2011-02-01,13320,13680,13180,13340,143884
90,2011-02-07,13500,13500,13260,13380,70996
91,2011-02-08,13400,13600,12640,12740,165854
92,2011-02-09,12880,12940,12200,12300,197057
