,날짜,시가,고가,저가,종가,거래량
0,2002-10-07,2713,2713,2306,2307,1610917
1,2002-10-08,2176,2224,1962,1964,714342
2,2002-10-09,1905,2251,1838,2187,2484910
3,2002-10-10,2055,2121,1859,1861,875507
4,2002-10-11,1905,1953,1581,1584,904186
5,2002-10-14,1592,1685,1577,1580,783008
6,2002-10-15,1596,1675,1578,1599,707799
7,2002-10-16,1657,1687,1536,1538,630589
8,2002-10-17,1549,1616,1537,1595,608479
9,2002-10-18,1593,1651,1593,1626,571362
10,2002-10-21,1639,1865,1639,1867,475360
11,2002-10-22,1977,2007,1693,1750,1890327
12,2002-10-23,1777,1790,1657,1780,609988
13,2002-10-24,1809,1860,1694,1695,803963
14,2002-10-25,1645,1681,1636,1647,259767
15,2002-10-28,1651,1702,1645,1659,251115
16,2002-10-29,1642,1675,1615,1641,335556
17,2002-10-30,1646,1667,1574,1592,311604
18,2002-10-31,1597,1830,1597,1725,3415092
19,2002-11-01,1706,1712,1597,1622,696040
20,2002-11-04,1634,1667,1616,1652,424297
21,2002-11-05,1711,1711,1609,1611,294776
22,2002-11-06,1604,1637,1604,1607,177666
23,2002-11-07,1607,1622,1604,1607,142020
24,2002-11-08,1597,1640,1579,1604,292584
25,2002-11-11,1588,1603,1555,1569,113320
26,2002-11-12,1513,1574,1513,1550,154360
27,2002-11-13,1536,1573,1506,1508,170090
28,2002-11-14,1483,1676,1483,1580,1276976
29,2002-11-15,1597,1658,1531,1550,489845
30,2002-11-18,1549,1567,1516,1520,117110
31,2002-11-19,1494,1530,1494,1496,134854
32,2002-11-20,1476,1506,1476,1481,100580
33,2002-11-21,1489,1504,1483,1484,134600
34,2002-11-22,1489,1513,1483,1484,122160
35,2002-11-25,1485,1509,1485,1496,116361
36,2002-11-26,1507,1537,1498,1532,129569
37,2002-11-27,1531,1622,1531,1556,390388
38,2002-11-28,1597,1628,1556,1565,400461
39,2002-11-29,1567,1582,1537,1562,143500
40,2002-12-02,1560,1639,1555,1611,559274
41,2002-12-03,1633,1657,1593,1641,436259
42,2002-12-04,1640,1640,1559,1565,295760
43,2002-12-05,1549,1594,1549,1586,295492
44,2002-12-06,1549,1586,1549,1562,217750
45,2002-12-09,1559,1579,1544,1547,159785
46,2002-12-10,1522,1549,1516,1532,102668
47,2002-12-11,1524,1615,1524,1617,474735
48,2002-12-12,1627,1669,1596,1617,327630
49,2002-12-13,1645,1711,1633,1689,885080
50,2002-12-16,1693,1717,1603,1617,395842
51,2002-12-17,1630,1766,1621,1662,832013
52,2002-12-18,1640,1670,1604,1619,305254
53,2002-12-20,1606,1699,1603,1611,420856
54,2002-12-23,1600,1630,1500,1508,219040
55,2002-12-24,1507,1513,1417,1441,203640
56,2002-12-26,1419,1446,1397,1448,95740
57,2002-12-27,1398,1435,1375,1375,99216
58,2002-12-30,1325,1349,1253,1294,84910
59,2003-01-02,1280,1325,1280,1315,125981
60,2003-01-03,1347,1363,1308,1321,234130
61,2003-01-06,1319,1325,1286,1309,87209
62,2003-01-07,1344,1355,1265,1267,124487
63,2003-01-08,1272,1290,1184,1203,506918
64,2003-01-09,1201,1231,1168,1234,223700
65,2003-01-10,1385,1416,1337,1418,1484226
66,2003-01-13,1476,1615,1397,1436,1534317
67,2003-01-14,1429,1429,1368,1375,480360
68,2003-01-15,1465,1483,1375,1399,368621
69,2003-01-16,1364,1379,1337,1342,253340
70,2003-01-17,1307,1319,1265,1279,262832
71,2003-01-20,1236,1296,1217,1260,94981
72,2003-01-21,1271,1344,1265,1315,126793
73,2003-01-22,1317,1501,1302,1360,663514
74,2003-01-23,1363,1396,1302,1333,182200
75,2003-01-24,1320,1350,1221,1230,208540
76,2003-01-27,1175,1197,1175,1185,129853
77,2003-01-28,1166,1217,1166,1215,73920
78,2003-01-29,1205,1223,1186,1207,68800
79,2003-01-30,1205,1236,1199,1203,72540
80,2003-02-03,1201,1283,1198,1240,91643
81,2003-02-04,1226,1283,1220,1267,55210
82,2003-02-05,1266,1386,1209,1318,195150
83,2003-02-06,1347,1347,1287,1306,59231
84,2003-02-07,1301,1301,1265,1267,46150
85,2003-02-10,1241,1271,1223,1237,61870
86,2003-02-11,1241,1265,1223,1234,96280
87,2003-02-12,1211,1253,1211,1249,38900
88,2003-02-13,1280,1280,1229,1249,66770
89,2003-02-14,1239,1281,1236,1260,40183
90,2003-02-17,1284,1345,1272,1345,73160
91,2003-02-18,1345,1353,1296,1336,55840
92,2003-02-19,1359,1367,1325,1327,62280
93,2003-02-20,1371,1371,1281,1333,23437
94,2003-02-21,1320,1345,1311,1318,16785
95,2003-02-24,1326,1375,1314,1351,67580
96,2003-02-25,1332,1350,1296,1321,25510
97,2003-02-26,1302,1338,1293,1303,19150
98,2003-02-27,1277,1319,1277,1300,45970
99,2003-02-28,1298,1325,1289,1297,37837
100,2003-03-03,1295,1331,1295,1309,13451
101,2003-03-04,1325,1325,1283,1309,62670
102,2003-03-05,1272,1302,1242,1260,66360
103,2003-03-06,1259,1289,1238,1267,43660
