,날짜,시가,고가,저가,종가,거래량
0,2001-10-25,13700,13700,13700,13700,17120
1,2001-10-26,15300,15300,15300,15300,81730
2,2001-10-29,17100,17100,16800,17100,6532070
3,2001-10-30,17000,17600,16150,17100,21017010
4,2001-10-31,17350,17450,16600,16650,6846880
5,2001-11-01,16650,16800,16050,16150,6524050
6,2001-11-02,16100,16400,14800,15350,9836000
7,2001-11-05,15450,16100,14900,16100,10834020
8,2001-11-06,16200,16250,15750,15750,4986610
9,2001-11-07,15800,16400,15800,16000,5579670
10,2001-11-08,16000,16250,15800,15850,3046320
11,2001-11-09,15750,15800,15400,15500,3284020
12,2001-11-12,15150,15400,14900,15300,3341070
13,2001-11-13,15100,15500,14950,15000,3265010
14,2001-11-14,15000,15250,14900,15000,3405150
15,2001-11-15,15200,15500,15050,15350,3919870
16,2001-11-16,15400,15400,15100,15200,1961020
17,2001-11-19,15200,15250,14900,15100,3335700
18,2001-11-20,15050,15300,14900,15000,2506380
19,2001-11-21,14950,15050,14200,14350,4673570
20,2001-11-22,14000,14400,13600,14000,6388040
21,2001-11-23,14100,14650,13900,14250,4085960
22,2001-11-26,14300,14600,14100,14100,2901900
23,2001-11-27,14000,14250,13350,13450,4478470
24,2001-11-28,13300,13700,12500,12500,5332840
25,2001-11-29,12250,13550,11650,13200,9915580
26,2001-11-30,13400,13550,12900,13300,3262040
27,2001-12-03,13450,14500,13450,14500,6335090
28,2001-12-04,14700,15400,14500,14600,5954020
29,2001-12-05,14800,14950,13900,14200,5660110
30,2001-12-06,14200,14650,13800,14150,5654380
31,2001-12-07,14000,14350,13950,14000,2728170
32,2001-12-10,14100,14200,13700,13700,2755780
33,2001-12-11,13450,13750,13400,13500,1667650
34,2001-12-12,13200,13900,13150,13700,2707300
35,2001-12-13,13500,13600,13350,13500,1630380
36,2001-12-14,13550,13900,13300,13350,2276480
37,2001-12-17,13400,13600,13000,13050,1717900
38,2001-12-18,13000,13250,12600,12600,2198620
39,2001-12-19,12600,12800,12200,12300,2695270
40,2001-12-20,12300,12500,12100,12400,1831330
41,2001-12-21,12200,13150,12150,12450,3189460
42,2001-12-24,12500,13300,12500,13200,3371500
43,2001-12-26,13500,13700,13200,13300,2264120
44,2001-12-27,12850,13150,12850,12950,1194570
45,2001-12-28,13100,13400,12950,13250,1747810
46,2002-01-02,13400,14100,13350,14000,3365410
47,2002-01-03,14050,14550,13900,14350,4053540
48,2002-01-04,14600,14950,14350,14450,3395270
49,2002-01-07,14500,14650,14150,14550,1985150
50,2002-01-08,14400,15150,14400,15050,3939830
51,2002-01-09,15100,15400,14950,15100,1839860
52,2002-01-10,15300,16200,15150,15850,4877040
53,2002-01-11,15850,16100,15250,16000,3395760
54,2002-01-14,16000,16150,15800,16100,1760850
55,2002-01-15,15950,16150,15300,15350,2076490
56,2002-01-16,15100,15350,14850,15000,2568020
57,2002-01-17,14900,15150,14550,15000,1805020
58,2002-01-18,14900,15000,14600,14600,1043350
59,2002-01-21,14400,15650,14300,15650,2710030
60,2002-01-22,15650,16150,15550,15850,2517390
61,2002-01-23,15750,16400,15700,16400,3336850
62,2002-01-24,16500,16750,15900,16250,3339790
63,2002-01-25,16500,18200,16500,18200,9182200
64,2002-01-28,19000,20200,18450,18600,13144880
65,2002-01-29,18700,19150,18100,18900,3644170
66,2002-01-30,18300,18550,17150,17400,4737470
67,2002-01-31,17700,18050,17300,18000,2742690
68,2002-02-01,18200,18700,17750,17750,2476840
69,2002-02-04,17600,18150,16900,17150,2159330
70,2002-02-05,16800,17250,16600,17250,2224720
71,2002-02-06,17600,19300,17500,18800,8813810
72,2002-02-07,18500,18700,17850,18050,2909530
73,2002-02-08,18400,19100,18250,18450,3373150
74,2002-02-14,18900,19200,18600,19000,2014560
75,2002-02-15,18800,19150,18450,18500,2484760
76,2002-02-18,18200,18500,17850,18000,3072930
77,2002-02-19,18200,18250,17700,17950,2052460
78,2002-02-20,17900,18550,17750,18550,2653820
79,2002-02-21,18500,18800,18200,18400,1573860
80,2002-02-22,18200,18400,18100,18150,1297570
81,2002-02-25,18500,18900,18400,18600,2790190
82,2002-02-26,18900,18900,18100,18150,2537030
83,2002-02-27,18100,18300,17400,17900,3160420
84,2002-02-28,18000,18350,18000,18100,1893430
85,2002-03-04,18400,18950,18300,18850,3617670
86,2002-03-05,19050,19650,18750,18850,3691630
87,2002-03-06,19000,19050,18550,18750,1289600
88,2002-03-07,18900,19300,18600,18800,2622850
89,2002-03-08,18850,19250,18700,18900,1895480
90,2002-03-11,19150,20000,18850,19950,6169570
91,2002-03-12,20100,20750,19700,20100,5016860
92,2002-03-13,20100,20600,20000,20300,2422960
93,2002-03-14,20500,21000,19900,20950,3558050
94,2002-03-15,20950,22000,20750,21600,5116080
95,2002-03-18,22000,22450,21400,21500,3655480
96,2002-03-19,21500,21600,20550,21500,4533450
97,2002-03-20,21300,21650,20650,20650,2703660
98,2002-03-21,20200,21250,20200,20650,1926340
99,2002-03-22,20800,21100,20550,20900,1555140
100,2002-03-25,20950,21500,20700,21200,1717050
101,2002-03-26,21100,21800,21100,21100,2513500
102,2002-03-27,20700,20850,19650,20400,6101090
103,2002-03-28,20500,20750,20250,20350,1825990
104,2002-03-29,20400,21200,20100,20900,3425540
105,2002-04-01,19500,19950,18400,18550,5788950
106,2002-04-02,18750,18950,18150,18700,2772320
107,2002-04-03,18650,19350,18650,19000,1736660
108,2002-04-04,19000,19350,18900,19000,1132700
109,2002-04-08,19100,19400,18700,18700,1519610
110,2002-04-09,18700,18900,18450,18450,1053800
111,2002-04-10,18450,18500,17700,17750,2318960
112,2002-04-11,17700,18050,17350,17800,1337060
113,2002-04-12,17500,18450,17450,18450,1674780
114,2002-04-15,18500,19150,18500,19050,1489670
115,2002-04-16,19050,19400,18850,19000,1073590
116,2002-04-17,19300,19400,18850,18950,1286120
117,2002-04-18,19000,19350,18900,19350,1225860
118,2002-04-19,19300,19400,18850,18900,927720
119,2002-04-22,18550,18700,17950,18150,1812940
120,2002-04-23,17750,18000,17600,17700,1401210
121,2002-04-24,17700,18200,17550,17750,1330820
122,2002-04-25,17450,17700,16750,16900,1400410
123,2002-04-26,16900,17200,16750,17050,1236290
124,2002-04-29,16500,16700,16000,16200,1501810
125,2002-04-30,16000,16200,15000,15050,3350450
126,2002-05-02,15300,16300,15050,16100,2658350
127,2002-05-03,16200,17350,16200,17000,2856730
128,2002-05-06,17300,17550,16800,17000,1585790
129,2002-05-07,16600,17750,16550,17200,1571130
130,2002-05-08,17600,18150,17550,18150,1647310
131,2002-05-09,18450,19100,18450,18900,2313700
132,2002-05-10,18800,19150,18450,18600,1888940
133,2002-05-13,18400,18400,17900,18050,949270
134,2002-05-14,18150,18500,17500,17600,1675880
135,2002-05-15,17850,18600,17500,18600,2079500
136,2002-05-16,18400,19050,18100,19000,1985280
137,2002-05-17,19000,19200,18800,18950,887200
138,2002-05-20,19050,19050,18650,18700,503330
139,2002-05-21,18300,18500,17950,17950,762490
140,2002-05-22,17700,18200,17700,18200,684930
141,2002-05-23,18200,18550,18000,18100,828500
142,2002-05-24,18000,18350,17950,18100,455550
143,2002-05-27,18050,18250,17850,17950,541520
144,2002-05-28,17800,18000,17450,17650,847180
145,2002-05-29,17100,17300,16600,17050,1440980
146,2002-05-30,16750,16900,16000,16100,1729520
147,2002-05-31,16100,16700,15950,16050,1419370
148,2002-06-03,16050,16800,16050,16800,1044520
149,2002-06-04,16400,16750,16300,16500,1014210
150,2002-06-05,16700,16950,16450,16500,1074530
151,2002-06-07,16200,17000,16200,16600,803590
152,2002-06-10,16850,17000,16700,16900,441960
153,2002-06-11,16900,17450,16900,17450,886890
154,2002-06-12,17550,17850,17450,17800,864410
155,2002-06-14,17600,17700,17400,17550,489420
156,2002-06-17,17400,17650,16750,16900,825460
157,2002-06-18,17100,17250,16800,16900,571810
158,2002-06-19,17000,17000,16150,16200,728240
159,2002-06-20,15800,16300,15600,16300,622770
160,2002-06-21,15900,16400,15850,16300,350060
161,2002-06-24,16100,16300,15900,16250,502700
162,2002-06-25,16250,16450,16000,16100,388920
163,2002-06-26,15800,15850,15000,15200,914430
164,2002-06-27,15500,15700,15300,15450,679560
165,2002-06-28,15800,16350,15800,16050,779390
166,2002-07-02,15500,16200,15500,16200,636280
167,2002-07-03,16200,16350,15750,16150,669060
168,2002-07-04,16300,16500,16200,16400,434240
169,2002-07-05,16500,16800,16250,16800,851880
170,2002-07-08,17000,17250,16700,16800,1024590
171,2002-07-09,16800,17100,16800,17100,511060
172,2002-07-10,17000,17300,16900,17100,527120
173,2002-07-11,16900,17150,16550,16700,582940
174,2002-07-12,16800,16950,16600,16750,613800
175,2002-07-15,16550,16750,16400,16400,499090
176,2002-07-16,16200,16550,16200,16350,430830
177,2002-07-18,16200,16500,16200,16300,342380
178,2002-07-19,16200,16200,15850,15950,509420
179,2002-07-22,15050,15650,15050,15600,668220
180,2002-07-23,15450,16000,15350,16000,653310
181,2002-07-24,15850,15850,15300,15500,610880
182,2002-07-25,16200,16250,15450,15500,459350
183,2002-07-26,15200,15500,15000,15200,653240
184,2002-07-29,15200,15600,15200,15400,426230
185,2002-07-30,15500,16000,15500,15800,543490
186,2002-07-31,15800,16050,15700,15800,389930
187,2002-08-01,15800,15900,15650,15700,379200
188,2002-08-02,15500,15500,15200,15300,410180
189,2002-08-05,15000,15150,14700,14700,577000
190,2002-08-06,14300,14500,14000,14200,811000
191,2002-08-07,14300,14550,13950,14550,2257160
192,2002-08-08,14500,14500,14150,14250,604460
193,2002-08-09,14500,14600,14250,14250,667840
194,2002-08-12,14250,14500,14250,14500,471620
195,2002-08-13,14500,14500,14100,14350,840100
196,2002-08-14,14200,14200,13600,13850,1889820
197,2002-08-16,14000,14100,13650,13750,1340140
198,2002-08-19,13950,14550,13850,14550,1720900
199,2002-08-20,14700,14800,14500,14650,1076180
200,2002-08-21,14600,14800,14250,14500,1282830
201,2002-08-22,14600,15100,14500,14750,1194440
202,2002-08-23,14950,15600,14800,15350,2419510
203,2002-08-26,15200,15550,14900,15200,922040
204,2002-08-27,15300,15500,15000,15050,615630
205,2002-08-28,14750,15050,14700,14800,661530
206,2002-08-29,14500,14650,14150,14500,1139600
