date,open,high,low,close,volume
2001-10-25,13700,13700,13700,13700,17120
2001-10-26,15300,15300,15300,15300,81730
2001-10-29,17100,17100,16800,17100,6532070
2001-10-30,17000,17600,16150,17100,21017010
2001-10-31,17350,17450,16600,16650,6846880
2001-11-01,16650,16800,16050,16150,6524050
2001-11-02,16100,16400,14800,15350,9836000
2001-11-05,15450,16100,14900,16100,10834020
2001-11-06,16200,16250,15750,15750,4986610
2001-11-07,15800,16400,15800,16000,5579670
2001-11-08,16000,16250,15800,15850,3046320
2001-11-09,15750,15800,15400,15500,3284020
2001-11-12,15150,15400,14900,15300,3341070
2001-11-13,15100,15500,14950,15000,3265010
2001-11-14,15000,15250,14900,15000,3405150
2001-11-15,15200,15500,15050,15350,3919870
2001-11-16,15400,15400,15100,15200,1961020
2001-11-19,15200,15250,14900,15100,3335700
2001-11-20,15050,15300,14900,15000,2506380
2001-11-21,14950,15050,14200,14350,4673570
2001-11-22,14000,14400,13600,14000,6388040
2001-11-23,14100,14650,13900,14250,4085960
2001-11-26,14300,14600,14100,14100,2901900
2001-11-27,14000,14250,13350,13450,4478470
2001-11-28,13300,13700,12500,12500,5332840
2001-11-29,12250,13550,11650,13200,9915580
2001-11-30,13400,13550,12900,13300,3262040
2001-12-03,13450,14500,13450,14500,6335090
2001-12-04,14700,15400,14500,14600,5954020
2001-12-05,14800,14950,13900,14200,5660110
2001-12-06,14200,14650,13800,14150,5654380
2001-12-07,14000,14350,13950,14000,2728170
2001-12-10,14100,14200,13700,13700,2755780
2001-12-11,13450,13750,13400,13500,1667650
2001-12-12,13200,13900,13150,13700,2707300
2001-12-13,13500,13600,13350,13500,1630380
2001-12-14,13550,13900,13300,13350,2276480
2001-12-17,13400,13600,13000,13050,1717900
2001-12-18,13000,13250,12600,12600,2198620
2001-12-19,12600,12800,12200,12300,2695270
2001-12-20,12300,12500,12100,12400,1831330
2001-12-21,12200,13150,12150,12450,3189460
2001-12-24,12500,13300,12500,13200,3371500
2001-12-26,13500,13700,13200,13300,2264120
2001-12-27,12850,13150,12850,12950,1194570
